Geneid	Genename	length
ENSG00000132906	CASP9	33615
ENSG00000116138	DNAJC16	44922
ENSG00000116771	AGMAT	13354
ENSG00000197312	DDI2	51588
ENSG00000215695	RSC1A1	1855
ENSG00000116786	PLEKHM2	50451
ENSG00000162461	SLC25A34	5136
ENSG00000162460	TMEM82	5485
ENSG00000162458	FBLIM1	29937
ENSG00000233954	UQCRHL	2181
ENSG00000065526	SPEN	92751
ENSG00000116809	ZBTB17	34263
ENSG00000183888	SRARP	4573
ENSG00000173641	HSPB7	4017
ENSG00000186510	CLCNKA	15177
ENSG00000184908	CLCNKB	11466
ENSG00000185519	FAM131C	15884
ENSG00000142627	EPHA2	31734
ENSG00000142632	ARHGEF19	14800
ENSG00000132881	CPLANE2	5493
ENSG00000037637	FBXO42	105642
ENSG00000055070	SZRD1	30905
ENSG00000187144	SPATA21	41714
ENSG00000157191	NECAP2	19321
ENSG00000219481	NBPF1	51170
ENSG00000058453	CROCC	51035
ENSG00000117122	MFAP2	6121
ENSG00000159363	ATP13A2	25972
ENSG00000117118	SDHB	35312
ENSG00000117115	PADI2	52692
ENSG00000142623	PADI1	40881
ENSG00000142619	PADI3	35137
ENSG00000159339	PADI4	55809
ENSG00000276747	PADI6	29505
ENSG00000179051	RCC2	32919
ENSG00000074964	ARHGEF10L	158173
ENSG00000117148	ACTL8	71732
ENSG00000117154	IGSF21	270687
ENSG00000179023	KLHDC7A	5046
ENSG00000009709	PAX7	118022
ENSG00000179002	TAS1R2	20085
ENSG00000159423	ALDH4A1	31127
ENSG00000169991	IFFO2	52398
ENSG00000127481	UBR4	135758
ENSG00000127463	EMC1	35866
ENSG00000053372	MRTO4	8325
ENSG00000162482	AKR7A3	6199
ENSG00000053371	AKR7A2	8181
ENSG00000040487	SLC66A1	16976
ENSG00000077549	CAPZB	146342
ENSG00000173436	MICOS10	32843
ENSG00000158747	NBL1	12692
ENSG00000158748	HTR6	16093
ENSG00000162542	TMCO4	117678
ENSG00000178828	RNF186	1256
ENSG00000169914	OTUD3	30552
ENSG00000188784	PLA2G2E	3610
ENSG00000188257	PLA2G2A	4178
ENSG00000127472	PLA2G5	21719
ENSG00000117215	PLA2G2D	7599
ENSG00000158786	PLA2G2F	4752
ENSG00000187980	PLA2G2C	16173
ENSG00000162543	UBXN10	9956
ENSG00000158816	VWA5B1	68645
ENSG00000162545	CAMK2N1	3821
ENSG00000090432	MUL1	8705
ENSG00000183114	FAM43B	2449
ENSG00000158825	CDA	29808
ENSG00000158828	PINK1	13189
ENSG00000244038	DDOST	9779
ENSG00000117245	KIF17	54003
ENSG00000189410	SH2D5	12974
ENSG00000127483	HP1BP3	47043
ENSG00000075151	EIF4G3	306643
ENSG00000117298	ECE1	128259
ENSG00000142794	NBPF3	44870
ENSG00000162551	ALPL	68989
ENSG00000076864	RAP1GAP	73080
ENSG00000090686	USP48	104853
ENSG00000187942	LDLRAD2	12962
ENSG00000142798	HSPG2	115068
ENSG00000219073	CELA3B	17542
ENSG00000142789	CELA3A	10887
ENSG00000070831	CDC42	75851
ENSG00000162552	WNT4	25786
ENSG00000184677	ZBTB40	79308
ENSG00000070886	EPHA8	40108
ENSG00000173372	C1QA	3052
ENSG00000159189	C1QC	4479
ENSG00000173369	C1QB	8403
ENSG00000133216	EPHB2	210663
ENSG00000215906	LACTBL1	12297
ENSG00000227868	TEX46	5020
ENSG00000004487	KDM1A	64223
ENSG00000169641	LUZP1	93780
ENSG00000179546	HTR1D	25609
ENSG00000125944	HNRNPR	39598
ENSG00000125945	ZNF436	10390
ENSG00000204219	TCEA3	43841
ENSG00000088280	ASAP3	55618
ENSG00000007968	E2F2	24797
ENSG00000117318	ID3	1577
ENSG00000142676	RPL11	4608
ENSG00000011007	ELOA	18906
ENSG00000057757	PITHD1	9816
ENSG00000011009	LYPLA2	4396
ENSG00000117308	GALE	2427
ENSG00000117305	HMGCL	36735
ENSG00000179163	FUCA1	23215
ENSG00000188822	CNR2	42849
ENSG00000189266	PNRC2	6609
ENSG00000188529	SRSF10	15982
ENSG00000142661	MYOM3	56096
ENSG00000142677	IL22RA1	23371
ENSG00000185436	IFNLR1	33123
ENSG00000158055	GRHL3	35963
ENSG00000001460	STPG1	59931
ENSG00000001461	NIPAL3	57175
ENSG00000117602	RCAN3	38206
ENSG00000184454	NCMAP	19866
ENSG00000133226	SRRM1	29981
ENSG00000169504	CLIC4	98876
ENSG00000020633	RUNX3	65501
ENSG00000117614	SYF2	2195
ENSG00000117616	RSRP1	95911
ENSG00000187010	RHD	57961
ENSG00000183726	TMEM50A	24029
ENSG00000188672	RHCE	67882
ENSG00000204178	MACO1	69314
ENSG00000157978	LDLRAP1	15522
ENSG00000117643	MAN1C1	168740
ENSG00000162430	SELENON	18030
ENSG00000117640	MTFR1L	11415
ENSG00000127423	AUNIP	25453
ENSG00000182749	PAQR7	9771
ENSG00000117632	STMN1	5851
ENSG00000158006	PAFAH2	38298
ENSG00000158008	EXTL1	14691
ENSG00000158014	SLC30A2	8868
ENSG00000158022	TRIM63	16331
ENSG00000175087	PDIK1L	13708
ENSG00000197245	FAM110D	4885
ENSG00000282872	C1orf232	4864
ENSG00000236782	AL391650.1	2307
ENSG00000142684	ZNF593	933
ENSG00000142675	CNKSR1	9680
ENSG00000188782	CATSPER4	12364
ENSG00000130695	CEP85	44608
ENSG00000142669	SH3BGRL3	1330
ENSG00000158062	UBXN11	24361
ENSG00000169442	CD52	1038
ENSG00000176092	CRYBG2	38384
ENSG00000176083	ZNF683	11142
ENSG00000131914	LIN28A	18913
ENSG00000117682	DHDDS	39014
ENSG00000198830	HMGN2	4204
ENSG00000117676	RPS6KA1	29190
ENSG00000117713	ARID1A	86091
ENSG00000060642	PIGV	12459
ENSG00000204160	ZDHHC18	30918
ENSG00000175793	SFN	1309
ENSG00000142751	GPN2	14153
ENSG00000198746	GPATCH3	9981
ENSG00000090273	NUDC	25130
ENSG00000131910	NR0B2	2488
ENSG00000175707	KDF1	10908
ENSG00000253368	TRNP1	7196
ENSG00000158246	TENT5B	7832
ENSG00000090020	SLC9A1	56318
ENSG00000142784	WDTC1	20912
ENSG00000186501	TMEM222	4055
ENSG00000142765	SYTL1	6388
ENSG00000142733	MAP3K6	11779
ENSG00000142748	FCN3	5716
ENSG00000174950	CD164L2	4129
ENSG00000181773	GPR3	3194
ENSG00000158195	WASF2	85939
ENSG00000126705	AHDC1	69331
ENSG00000000938	FGR	23123
ENSG00000126709	IFI6	6149
ENSG00000009780	FAM76A	37157
ENSG00000117758	STX12	51226
ENSG00000117751	PPP1R8	20852
ENSG00000130775	THEMIS2	3277
ENSG00000117748	RPA2	23053
ENSG00000130768	SMPDL3B	24130
ENSG00000158156	XKR8	8126
ENSG00000158161	EYA3	118268
ENSG00000169403	PTAFR	46772
ENSG00000126698	DNAJC8	32753
ENSG00000130770	ATP5IF1	1946
ENSG00000130766	SESN2	22975
ENSG00000130772	MED18	6927
ENSG00000204138	PHACTR4	130626
ENSG00000180198	RCC1	33245
ENSG00000180098	TRNAU1AP	12705
ENSG00000120656	TAF12	40237
ENSG00000188060	RAB42	3186
ENSG00000162419	GMEB1	50571
ENSG00000198492	YTHDF2	33155
ENSG00000116329	OPRD1	59099
ENSG00000159023	EPB41	185992
ENSG00000253304	TMEM200B	3069
ENSG00000116350	SRSF4	25643
ENSG00000116353	MECR	38279
ENSG00000060656	PTPRU	90280
ENSG00000162510	MATN1	12310
ENSG00000162511	LAPTM5	25307
ENSG00000162512	SDC3	9275
ENSG00000134644	PUM1	134213
ENSG00000084628	NKAIN1	60144
ENSG00000060688	SNRNP40	22811
ENSG00000121766	ZCCHC17	67930
ENSG00000121769	FABP3	7825
ENSG00000168528	SERINC2	20866
ENSG00000142910	TINAGL1	10652
ENSG00000121764	HCRTR1	9620
ENSG00000162517	PEF1	15012
ENSG00000084636	COL16A1	51756
ENSG00000121753	ADGRB2	37225
ENSG00000134668	SPOCD1	25629
ENSG00000184007	PTP4A2	31949
ENSG00000121774	KHDRBS1	29953
ENSG00000121775	TMEM39B	30834
ENSG00000025800	KPNA6	68509
ENSG00000084652	TXLNA	18222
ENSG00000160050	CCDC28B	4711
ENSG00000160051	IQCC	3013
ENSG00000222046	DCDC2B	7098
ENSG00000160055	TMEM234	6726
ENSG00000084623	EIF3I	8955
ENSG00000183615	FAM167B	1636
ENSG00000182866	LCK	12032
ENSG00000116478	HDAC1	4157
ENSG00000175130	MARCKSL1	2396
ENSG00000162526	TSSK3	1775
ENSG00000225828	FAM229A	2954
ENSG00000160058	BSDC1	29257
ENSG00000273274	ZBTB8B	31616
ENSG00000160062	ZBTB8A	66516
ENSG00000176261	ZBTB8OS	29732
ENSG00000162521	RBBP4	35005
ENSG00000162520	SYNC	22866
ENSG00000162522	KIAA1522	33142
ENSG00000134684	YARS	42110
ENSG00000116497	S100PBP	41224
ENSG00000160097	FNDC5	8646
ENSG00000121905	HPCA	8157
ENSG00000121900	TMEM54	6796
ENSG00000116514	RNF19B	28362
ENSG00000004455	AK2	28899
ENSG00000142920	AZIN2	38873
ENSG00000116525	TRIM62	36646
ENSG00000160094	ZNF362	44229
ENSG00000184389	A3GALT2	14334
ENSG00000134686	PHC2	107471
ENSG00000121903	ZSCAN20	29000
ENSG00000121904	CSMD2	651234
ENSG00000176256	HMGB4	4293
ENSG00000142698	C1orf94	42226
ENSG00000163866	SMIM12	9389
ENSG00000189280	GJB5	3467
ENSG00000189433	GJB4	2589
ENSG00000188910	GJB3	5152
ENSG00000187513	GJA4	2750
ENSG00000116544	DLGAP3	64216
ENSG00000243749	TMEM35B	3820
ENSG00000163867	ZMYM6	45548
ENSG00000197056	ZMYM1	83454
ENSG00000116560	SFPQ	10211
ENSG00000146463	ZMYM4	153351
ENSG00000142687	KIAA0319L	123913
ENSG00000020129	NCDN	8982
ENSG00000116819	TFAP2E	7311
ENSG00000126067	PSMB2	41987
ENSG00000142686	C1orf216	5009
ENSG00000092853	CLSPN	37868
ENSG00000134698	AGO4	49876
ENSG00000092847	AGO1	47325
ENSG00000092847	AGO1	47325
ENSG00000126070	AGO3	141397
ENSG00000092850	TEKT2	3939
ENSG00000116863	ADPRHL2	5042
ENSG00000171812	COL8A2	29985
ENSG00000054116	TRAPPC3	4419
ENSG00000116871	MAP7D1	24886
ENSG00000054118	THRAP3	80916
ENSG00000214193	SH3D21	17869
ENSG00000142694	EVA1B	2125
ENSG00000196182	STK40	21718
ENSG00000181817	LSM10	6651
ENSG00000116885	OSCP1	32525
ENSG00000116898	MRPS15	3933
ENSG00000119535	CSF3R	10285
ENSG00000163873	GRIK3	238990
ENSG00000163874	ZC3H12A	9782
ENSG00000163875	MEAF6	24775
ENSG00000163877	SNIP1	19846
ENSG00000163879	DNALI1	6320
ENSG00000134697	GNL2	4078
ENSG00000169218	RSPO1	23544
ENSG00000116922	C1orf109	8961
ENSG00000134690	CDCA8	17205
ENSG00000183317	EPHA10	49146
ENSG00000185090	MANEAL	7288
ENSG00000196449	YRDC	5265
ENSG00000197982	C1orf122	2475
ENSG00000188786	MTF1	50020
ENSG00000204084	INPP5B	86362
ENSG00000183431	SF3A3	33049
ENSG00000183386	FHL3	8746
ENSG00000183520	UTP11	12088
ENSG00000185668	POU3F1	2966
ENSG00000116954	RRAGC	21576
ENSG00000214114	MYCBP	10857
ENSG00000131233	GJA9	7520
ENSG00000158315	RHBDL2	40543
ENSG00000174574	AKIRIN1	14785
ENSG00000168653	NDUFS5	8320
ENSG00000127603	MACF1	282933
ENSG00000183682	BMP8A	38235
ENSG00000090621	PABPC4	14252
ENSG00000163909	HEYL	16210
ENSG00000116981	NT5C1A	20880
ENSG00000116983	HPCAL4	12839
ENSG00000084072	PPIE	14830
ENSG00000116985	BMP8B	31685
ENSG00000198754	OXCT2	1827
ENSG00000043514	TRIT1	45317
ENSG00000116990	MYCL	6491
ENSG00000168389	MFSD2A	5757
ENSG00000131236	CAP1	32418
ENSG00000131238	PPT1	24514
ENSG00000117000	RLF	79536
ENSG00000188800	TMCO2	3749
ENSG00000084073	ZMPSTE24	36135
ENSG00000049089	COL9A2	16722
ENSG00000084070	SMAP2	49597
ENSG00000187801	ZFP69B	13614
ENSG00000187815	ZFP69	19055
ENSG00000164002	EXO5	7292
ENSG00000117010	ZNF684	16539
ENSG00000117016	RIMS3	45004
ENSG00000066136	NFYC	62248
ENSG00000117013	KCNQ4	56667
ENSG00000179862	CITED4	1311
ENSG00000171793	CTPS1	18695
ENSG00000171790	SLFNL1	7642
ENSG00000010803	SCMH1	214916
ENSG00000204060	FOXO6	21670
ENSG00000127129	EDN2	5910
ENSG00000127124	HIVEP3	412559
ENSG00000284895	AC119676.1	43512
ENSG00000044012	GUCA2B	2412
ENSG00000197273	GUCA2A	2057
ENSG00000198815	FOXJ3	158428
ENSG00000177181	RIMKLA	43442
ENSG00000066185	ZMYND12	25695
ENSG00000127125	PPCS	4695
ENSG00000186409	CCDC30	59002
ENSG00000171960	PPIH	10450
ENSG00000065978	YBX1	21389
ENSG00000164007	CLDN19	7163
ENSG00000117385	P3H1	7033
ENSG00000164008	C1orf50	12244
ENSG00000274386	TMEM269	15788
ENSG00000177868	SVBP	10347
ENSG00000164010	ERMAP	15072
ENSG00000164011	ZNF691	5842
ENSG00000117394	SLC2A1	33517
ENSG00000186973	FAM183A	8494
ENSG00000117395	EBNA1BP2	8397
ENSG00000243710	CFAP57	82027
ENSG00000179178	TMEM125	3979
ENSG00000253313	C1orf210	3706
ENSG00000066056	TIE1	22128
ENSG00000117400	MPL	16650
ENSG00000117399	CDC20	4192
ENSG00000066322	ELOVL1	4342
ENSG00000159479	MED8	5885
ENSG00000198198	SZT2	64350
ENSG00000178922	HYI	2751
ENSG00000142949	PTPRF	92785
ENSG00000066135	KDM4A	55371
ENSG00000126091	ST3GAL3	106524
ENSG00000117407	ARTN	3921
ENSG00000117408	IPO13	21074
ENSG00000132768	DPH2	3361
ENSG00000117410	ATP6V0B	3326
ENSG00000117411	B4GALT2	8534
ENSG00000159214	CCDC24	5167
ENSG00000196517	SLC6A9	34981
ENSG00000171872	KLF17	16321
ENSG00000283039	KLF18	3812
ENSG00000178028	DMAP1	5850
ENSG00000117419	ERI3	134189
ENSG00000187147	RNF220	8593
ENSG00000126106	TMEM53	21236
ENSG00000198520	ARMH1	50828
ENSG00000142945	KIF2C	21363
ENSG00000142937	RPS8	3145
ENSG00000142959	BEST4	4587
ENSG00000173846	PLK3	5604
ENSG00000188396	TCTEX1D4	1460
ENSG00000222009	BTBD19	6991
ENSG00000117425	PTCH2	21317
ENSG00000070785	EIF2B3	136202
ENSG00000126107	HECTD3	8778
ENSG00000126088	UROD	4556
ENSG00000162415	ZSWIM5	190208
ENSG00000186603	HPDL	1817
ENSG00000132781	MUTYH	6079
ENSG00000132773	TOE1	3745
ENSG00000070759	TESK2	147282
ENSG00000280670	CCDC163	6215
ENSG00000132763	MMACHC	13084
ENSG00000117450	PRDX1	12135
ENSG00000117448	AKR1A1	19508
ENSG00000132780	NASP	7692
ENSG00000159588	CCDC17	3995
ENSG00000159592	GPBP1L1	59231
ENSG00000159596	TMEM69	6257
ENSG00000197429	IPP	51944
ENSG00000086015	MAST2	232512
ENSG00000117461	PIK3R3	92491
ENSG00000117472	TSPAN1	10877
ENSG00000250719	P3R3URF	1004
ENSG00000085998	POMGNT1	31611
ENSG00000171357	LURAP1	17924
ENSG00000085999	RAD54L	30672
ENSG00000132128	LRRC41	21488
ENSG00000173660	UQCRH	5968
ENSG00000117481	NSUN4	24213
ENSG00000117480	FAAH	19530
ENSG00000197587	DMBX1	26382
ENSG00000282881	TMEM275	11805
ENSG00000162456	KNCN	6008
ENSG00000079277	MKNK1	20474
ENSG00000142961	MOB3C	8742
ENSG00000123472	ATPAF1	35719
ENSG00000186118	TEX38	4398
ENSG00000159658	EFCAB14	43960
ENSG00000142973	CYP4B1	20369
ENSG00000187048	CYP4A11	12290
ENSG00000186377	CYP4X1	27084
ENSG00000186160	CYP4Z1	51089
ENSG00000162365	CYP4A22	12288
ENSG00000162366	PDZK1IP1	6456
ENSG00000162367	TAL1	13481
ENSG00000123473	STIL	64721
ENSG00000162368	CMPK1	45051
ENSG00000186790	FOXE3	1769
ENSG00000186564	FOXD2	2649
ENSG00000269113	TRABD2B	236859
ENSG00000117834	SLC5A9	25938
ENSG00000132122	SPATA6	176833
ENSG00000186094	AGBL4	461846
ENSG00000162373	BEND5	49374
ENSG00000162374	ELAVL4	93912
ENSG00000142700	DMRTA2	5895
ENSG00000185104	FAF1	523241
ENSG00000123080	CDKN2C	13890
ENSG00000204006	C1orf185	45860
ENSG00000123091	RNF11	37176
ENSG00000085831	TTC39A	34130
ENSG00000085832	EPS15	165005
ENSG00000117859	OSBPL9	22926
ENSG00000078618	NRDC	89616
ENSG00000169213	RAB3B	82746
ENSG00000117862	TXNDC12	35062
ENSG00000198841	KTI12	1709
ENSG00000134717	BTF3L4	34423
ENSG00000157077	ZFYVE9	206461
ENSG00000154222	CC2D1B	15602
ENSG00000085840	ORC1	31596
ENSG00000134748	PRPF38A	16236
ENSG00000134744	TUT4	129827
ENSG00000116157	GPX7	6682
ENSG00000182183	SHISAL2A	36291
ENSG00000162377	COA7	13900
ENSG00000162378	ZYG11B	100885
ENSG00000203995	ZYG11A	52240
ENSG00000121310	ECHDC2	5818
ENSG00000116171	SCP2	124126
ENSG00000174348	PODN	23283
ENSG00000162383	SLC1A7	55439
ENSG00000157184	CPT2	4540
ENSG00000162384	CZIB	5785
ENSG00000162385	MAGOH	5388
ENSG00000157193	LRP8	82416
ENSG00000143006	DMRTB1	8091
ENSG00000174332	GLIS1	227969
ENSG00000058804	NDC1	72820
ENSG00000058799	YIPF1	38066
ENSG00000211452	DIO1	16901
ENSG00000081870	HSPB11	29000
ENSG00000116212	LRRC42	21820
ENSG00000203985	LDLRAD1	10890
ENSG00000116209	TMEM59	26525
ENSG00000116205	TCEANC2	52476
ENSG00000157211	CDCP2	14777
ENSG00000215883	CYB5RL	30381
ENSG00000116221	MRPL37	25270
ENSG00000157216	SSBP3	180988
ENSG00000162390	ACOT11	90966
ENSG00000162391	FAM151A	14346
ENSG00000184313	MROH7	59031
ENSG00000243725	TTC4	26798
ENSG00000162396	PARS2	7627
ENSG00000006555	TTC22	21613
ENSG00000162398	LEXM	36191
ENSG00000116133	DHCR24	37544
ENSG00000143001	TMEM61	11662
ENSG00000162399	BSND	18241
ENSG00000169174	PCSK9	13918
ENSG00000162402	USP24	149007
ENSG00000162407	PLPP3	84804
ENSG00000162409	PRKAA2	70023
ENSG00000187889	FYB2	100617
ENSG00000157131	C8A	63428
ENSG00000021852	C8B	36930
ENSG00000173406	DAB1	429284
ENSG00000162600	OMA1	70893
ENSG00000184292	TACSTD2	1821
ENSG00000162601	MYSM1	34925
ENSG00000177606	JUN	3258
ENSG00000172456	FGGY	494514
ENSG00000134709	HOOK1	61375
ENSG00000134716	CYP2J2	19924
ENSG00000162598	C1orf87	21585
ENSG00000162599	NFIA	44881
ENSG00000162604	TM2D1	27626
ENSG00000132849	PATJ	421437
ENSG00000240563	L1TD1	17481
ENSG00000132854	KANK4	83271
ENSG00000162607	USP1	14757
ENSG00000116641	DOCK7	205485
ENSG00000132855	ANGPTL3	8795
ENSG00000125703	ATG4C	81386
ENSG00000187140	FOXD3	2563
ENSG00000088035	ALG6	70928
ENSG00000142856	ITGB3BP	82731
ENSG00000203965	EFCAB7	17620
ENSG00000079739	PGM1	37130
ENSG00000185483	ROR1	407483
ENSG00000177414	UBE2U	63743
ENSG00000158966	CACHD1	222926
ENSG00000162437	RAVER2	88136
ENSG00000162434	JAK1	133211
ENSG00000162433	AK4	84317
ENSG00000116675	DNAJC6	106330
ENSG00000213625	LEPROT	15293
ENSG00000116678	LEPR	220893
ENSG00000184588	PDE4B	382153
ENSG00000118473	SGIP1	216988
ENSG00000152760	TCTEX1D1	26590
ENSG00000172410	INSL5	3538
ENSG00000152763	WDR78	92414
ENSG00000198160	MIER1	63631
ENSG00000116704	SLC35D1	54800
ENSG00000203963	C1orf141	42577
ENSG00000162594	IL23R	93527
ENSG00000081985	IL12RB2	90853
ENSG00000142864	SERBP1	22594
ENSG00000116717	GADD45A	3135
ENSG00000172380	GNG12	131994
ENSG00000162595	DIRAS3	5747
ENSG00000116729	WLS	107165
ENSG00000116745	RPE65	21134
ENSG00000024526	DEPDC1	22932
ENSG00000033122	LRRC7	576444
ENSG00000066557	LRRC40	60776
ENSG00000116754	SRSF11	21721
