Geneid	symbol
ENSMUSG00000042589	Cux2
ENSMUSG00000024560	Cxxc1
ENSMUSG00000063455	D630045J12Rik
ENSMUSG00000055639	Dach1
ENSMUSG00000025592	Dach2
ENSMUSG00000059824	Dbp
ENSMUSG00000030507	Dbx1
ENSMUSG00000045608	Dbx2
ENSMUSG00000002109	Ddb2
ENSMUSG00000025408	Ddit3
ENSMUSG00000116429	Ddit3
ENSMUSG00000058886	Deaf1
ENSMUSG00000041911	Dlx1
ENSMUSG00000023391	Dlx2
ENSMUSG00000001510	Dlx3
ENSMUSG00000020871	Dlx4
ENSMUSG00000029755	Dlx5
ENSMUSG00000029754	Dlx6
ENSMUSG00000009640	Dmap1
ENSMUSG00000028707	Dmbx1
ENSMUSG00000024837	Dmrt1
ENSMUSG00000048138	Dmrt2
ENSMUSG00000042372	Dmrt3
ENSMUSG00000043753	Dmrta1
ENSMUSG00000047143	Dmrta2
ENSMUSG00000028610	Dmrtb1
ENSMUSG00000031323	Dmrtc1a
ENSMUSG00000073027	Dmrtc1b
ENSMUSG00000067562	Dmrtc1c1
ENSMUSG00000067561	Dmrtc1c2
ENSMUSG00000011349	Dmrtc2
ENSMUSG00000042508	Dmtf1
ENSMUSG00000026740	Dnajc1
ENSMUSG00000029014	Dnajc2
ENSMUSG00000044224	Dnajc21
ENSMUSG00000004099	Dnmt1
ENSMUSG00000020661	Dnmt3a
ENSMUSG00000027478	Dnmt3b
ENSMUSG00000000730	Dnmt3l
ENSMUSG00000030584	Dpf1
ENSMUSG00000024826	Dpf2
ENSMUSG00000021221	Dpf3
ENSMUSG00000029265	Dr1
ENSMUSG00000024914	Drap1
ENSMUSG00000027490	E2f1
ENSMUSG00000018983	E2f2
ENSMUSG00000016477	E2f3
ENSMUSG00000014859	E2f4
ENSMUSG00000027552	E2f5
ENSMUSG00000057469	E2f6
ENSMUSG00000020185	E2f7
ENSMUSG00000046179	E2f8
ENSMUSG00000024137	E4f1
ENSMUSG00000057098	Ebf1
ENSMUSG00000022053	Ebf2
ENSMUSG00000010476	Ebf3
ENSMUSG00000053552	Ebf4
ENSMUSG00000038418	Egr1
ENSMUSG00000037868	Egr2
ENSMUSG00000033730	Egr3
ENSMUSG00000071341	Egr4
ENSMUSG00000012350	Ehf
ENSMUSG00000036461	Elf1
ENSMUSG00000037174	Elf2
ENSMUSG00000003051	Elf3
ENSMUSG00000031103	Elf4
ENSMUSG00000027186	Elf5
ENSMUSG00000009406	Elk1
ENSMUSG00000008398	Elk3
ENSMUSG00000026436	Elk4
ENSMUSG00000042507	Elmsan1
ENSMUSG00000033726	Emx1
ENSMUSG00000043969	Emx2
ENSMUSG00000058665	En1
ENSMUSG00000039095	En2
ENSMUSG00000063524	Eno1
ENSMUSG00000032446	Eomes
ENSMUSG00000024140	Epas1
ENSMUSG00000040857	Erf
ENSMUSG00000040732	Erg
ENSMUSG00000019768	Esr1
ENSMUSG00000021055	Esr2
ENSMUSG00000024955	Esrra
ENSMUSG00000021255	Esrrb
ENSMUSG00000026610	Esrrg
ENSMUSG00000023443	Esx1
ENSMUSG00000032035	Ets1
ENSMUSG00000022895	Ets2
ENSMUSG00000004151	Etv1
ENSMUSG00000006311	Etv2
ENSMUSG00000003382	Etv3
ENSMUSG00000017724	Etv4
ENSMUSG00000013089	Etv5
ENSMUSG00000030199	Etv6
ENSMUSG00000005503	Evx1
ENSMUSG00000001815	Evx2
ENSMUSG00000006920	Ezh1
ENSMUSG00000029687	Ezh2
ENSMUSG00000035420	Fam170a
ENSMUSG00000046518	Ferd3l
ENSMUSG00000055197	Fev
ENSMUSG00000029697	Fezf1
ENSMUSG00000021743	Fezf2
ENSMUSG00000030001	Figla
ENSMUSG00000061374	Fiz1
ENSMUSG00000016087	Fli1
ENSMUSG00000021250	Fos
ENSMUSG00000003545	Fosb
ENSMUSG00000024912	Fosl1
ENSMUSG00000029135	Fosl2
ENSMUSG00000035451	Foxa1
ENSMUSG00000037025	Foxa2
ENSMUSG00000040891	Foxa3
ENSMUSG00000059246	Foxb1
ENSMUSG00000056829	Foxb2
ENSMUSG00000050295	Foxc1
ENSMUSG00000046714	Foxc2
ENSMUSG00000078302	Foxd1
ENSMUSG00000055210	Foxd2
ENSMUSG00000067261	Foxd3
ENSMUSG00000051490	Foxd4
ENSMUSG00000070990	Foxe1
ENSMUSG00000044518	Foxe3
ENSMUSG00000042812	Foxf1
ENSMUSG00000038402	Foxf2
ENSMUSG00000020950	Foxg1
ENSMUSG00000033837	Foxh1
ENSMUSG00000047861	Foxi1
ENSMUSG00000048377	Foxi2
ENSMUSG00000055874	Foxi3
ENSMUSG00000034227	Foxj1
ENSMUSG00000003154	Foxj2
ENSMUSG00000032998	Foxj3
ENSMUSG00000056493	Foxk1
ENSMUSG00000039275	Foxk2
ENSMUSG00000097084	Foxl1
ENSMUSG00000050397	Foxl2
ENSMUSG00000001517	Foxm1
ENSMUSG00000002057	Foxn1
ENSMUSG00000034998	Foxn2
ENSMUSG00000033713	Foxn3
ENSMUSG00000042002	Foxn4
ENSMUSG00000044167	Foxo1
ENSMUSG00000048756	Foxo3
ENSMUSG00000042903	Foxo4
ENSMUSG00000052135	Foxo6
ENSMUSG00000030067	Foxp1
ENSMUSG00000029563	Foxp2
ENSMUSG00000039521	Foxp3
ENSMUSG00000023991	Foxp4
ENSMUSG00000038415	Foxq1
ENSMUSG00000074397	Foxr1
ENSMUSG00000071665	Foxr2
ENSMUSG00000074676	Foxs1
ENSMUSG00000028034	Fubp1
ENSMUSG00000026843	Fubp3
ENSMUSG00000008976	Gabpa
ENSMUSG00000027361	Gabpb1
ENSMUSG00000038766	Gabpb2
ENSMUSG00000031162	Gata1
ENSMUSG00000015053	Gata2
ENSMUSG00000015619	Gata3
ENSMUSG00000021944	Gata4
ENSMUSG00000015627	Gata5
ENSMUSG00000005836	Gata6
ENSMUSG00000007415	Gatad1
ENSMUSG00000036180	Gatad2a
ENSMUSG00000042390	Gatad2b
ENSMUSG00000067724	Gbx1
ENSMUSG00000034486	Gbx2
ENSMUSG00000035125	Gcfc2
ENSMUSG00000023333	Gcm1
ENSMUSG00000021362	Gcm2
ENSMUSG00000029275	Gfi1
ENSMUSG00000026815	Gfi1b
ENSMUSG00000025407	Gli1
ENSMUSG00000048402	Gli2
ENSMUSG00000021318	Gli3
ENSMUSG00000034762	Glis1
ENSMUSG00000014303	Glis2
ENSMUSG00000052942	Glis3
ENSMUSG00000028901	Gmeb1
ENSMUSG00000038705	Gmeb2
ENSMUSG00000054199	Gon4l
ENSMUSG00000020656	Grhl1
ENSMUSG00000022286	Grhl2
ENSMUSG00000037188	Grhl3
ENSMUSG00000021095	Gsc
ENSMUSG00000022738	Gsc2
ENSMUSG00000053129	Gsx1
ENSMUSG00000035946	Gsx2
ENSMUSG00000060261	Gtf2i
ENSMUSG00000016503	Gtf3a
ENSMUSG00000027439	Gzf1
ENSMUSG00000037335	Hand1
ENSMUSG00000038193	Hand2
ENSMUSG00000002996	Hbp1
ENSMUSG00000034551	Hdx
ENSMUSG00000047171	Helt
ENSMUSG00000022528	Hes1
ENSMUSG00000028940	Hes2
ENSMUSG00000028946	Hes3
ENSMUSG00000048001	Hes5
ENSMUSG00000067071	Hes6
ENSMUSG00000023781	Hes7
ENSMUSG00000040726	Hesx1
ENSMUSG00000040289	Hey1
ENSMUSG00000019789	Hey2
ENSMUSG00000032744	Heyl
ENSMUSG00000024986	Hhex
ENSMUSG00000043099	Hic1
ENSMUSG00000050240	Hic2
ENSMUSG00000021109	Hif1a
ENSMUSG00000004328	Hif3a
ENSMUSG00000032119	Hinfp
ENSMUSG00000021366	Hivep1
ENSMUSG00000015501	Hivep2
ENSMUSG00000028634	Hivep3
ENSMUSG00000003949	Hlf
ENSMUSG00000002428	Hltf
ENSMUSG00000039377	Hlx
ENSMUSG00000021972	Hmbox1
ENSMUSG00000032329	Hmg20a
ENSMUSG00000020232	Hmg20b
ENSMUSG00000046711	Hmga1
ENSMUSG00000056758	Hmga2
ENSMUSG00000024622	Hmgxb3
ENSMUSG00000034518	Hmgxb4
ENSMUSG00000067438	Hmx1
ENSMUSG00000050100	Hmx2
ENSMUSG00000040148	Hmx3
ENSMUSG00000029556	Hnf1a
ENSMUSG00000020679	Hnf1b
ENSMUSG00000017950	Hnf4a
ENSMUSG00000017688	Hnf4g
ENSMUSG00000021546	Hnrnpk
ENSMUSG00000057156	Homez
ENSMUSG00000059325	Hopx
ENSMUSG00000029844	Hoxa1
ENSMUSG00000000938	Hoxa10
ENSMUSG00000038210	Hoxa11
ENSMUSG00000038203	Hoxa13
ENSMUSG00000014704	Hoxa2
ENSMUSG00000079560	Hoxa3
ENSMUSG00000000942	Hoxa4
ENSMUSG00000038253	Hoxa5
ENSMUSG00000043219	Hoxa6
ENSMUSG00000038236	Hoxa7
ENSMUSG00000038227	Hoxa9
ENSMUSG00000018973	Hoxb1
ENSMUSG00000049604	Hoxb13
ENSMUSG00000075588	Hoxb2
ENSMUSG00000048763	Hoxb3
ENSMUSG00000038692	Hoxb4
ENSMUSG00000038700	Hoxb5
ENSMUSG00000000690	Hoxb6
ENSMUSG00000038721	Hoxb7
ENSMUSG00000056648	Hoxb8
ENSMUSG00000020875	Hoxb9
ENSMUSG00000022484	Hoxc10
ENSMUSG00000001656	Hoxc11
ENSMUSG00000050328	Hoxc12
ENSMUSG00000001655	Hoxc13
ENSMUSG00000075394	Hoxc4
ENSMUSG00000022485	Hoxc5
ENSMUSG00000001661	Hoxc6
ENSMUSG00000001657	Hoxc8
ENSMUSG00000036139	Hoxc9
ENSMUSG00000042448	Hoxd1
ENSMUSG00000050368	Hoxd10
ENSMUSG00000042499	Hoxd11
ENSMUSG00000001823	Hoxd12
ENSMUSG00000001819	Hoxd13
ENSMUSG00000079277	Hoxd3
ENSMUSG00000101174	Hoxd4
ENSMUSG00000027102	Hoxd8
ENSMUSG00000043342	Hoxd9
ENSMUSG00000022556	Hsf1
ENSMUSG00000019878	Hsf2
ENSMUSG00000045802	Hsf3
ENSMUSG00000033249	Hsf4
ENSMUSG00000070345	Hsf5
ENSMUSG00000045336	Hsfy2
ENSMUSG00000042745	Id1
ENSMUSG00000020644	Id2
ENSMUSG00000007872	Id3
ENSMUSG00000021379	Id4
ENSMUSG00000018654	Ikzf1
ENSMUSG00000025997	Ikzf2
ENSMUSG00000018168	Ikzf3
ENSMUSG00000002578	Ikzf4
ENSMUSG00000040167	Ikzf5
ENSMUSG00000068154	Insm1
ENSMUSG00000045440	Insm2
ENSMUSG00000018899	Irf1
ENSMUSG00000031627	Irf2
ENSMUSG00000003184	Irf3
ENSMUSG00000021356	Irf4
ENSMUSG00000029771	Irf5
ENSMUSG00000026638	Irf6
ENSMUSG00000025498	Irf7
ENSMUSG00000041515	Irf8
ENSMUSG00000002325	Irf9
ENSMUSG00000060969	Irx1
ENSMUSG00000001504	Irx2
ENSMUSG00000031734	Irx3
ENSMUSG00000021604	Irx4
ENSMUSG00000031737	Irx5
ENSMUSG00000031738	Irx6
ENSMUSG00000042258	Isl1
ENSMUSG00000032318	Isl2
ENSMUSG00000031621	Isx
ENSMUSG00000038518	Jarid2
ENSMUSG00000063568	Jazf1
ENSMUSG00000034271	Jdp2
ENSMUSG00000052684	Jun
ENSMUSG00000052837	Junb
ENSMUSG00000071076	Jund
ENSMUSG00000024926	Kat5
ENSMUSG00000031540	Kat6a
ENSMUSG00000021767	Kat6b
ENSMUSG00000038909	Kat7
ENSMUSG00000030801	Kat8
ENSMUSG00000055239	Kcmf1
ENSMUSG00000079056	Kcnip3
ENSMUSG00000054611	Kdm2a
ENSMUSG00000030180	Kdm5a
ENSMUSG00000042207	Kdm5b
ENSMUSG00000025332	Kdm5c
ENSMUSG00000056673	Kdm5d
ENSMUSG00000007670	Khsrp
ENSMUSG00000054191	Klf1
ENSMUSG00000037465	Klf10
ENSMUSG00000020653	Klf11
ENSMUSG00000072294	Klf12
ENSMUSG00000052040	Klf13
ENSMUSG00000073209	Klf14
ENSMUSG00000030087	Klf15
ENSMUSG00000035397	Klf16
ENSMUSG00000048626	Klf17
ENSMUSG00000055148	Klf2
ENSMUSG00000029178	Klf3
ENSMUSG00000003032	Klf4
ENSMUSG00000005148	Klf5
ENSMUSG00000000078	Klf6
ENSMUSG00000025959	Klf7
ENSMUSG00000041649	Klf8
ENSMUSG00000033863	Klf9
ENSMUSG00000002028	Kmt2a
ENSMUSG00000006307	Kmt2b
ENSMUSG00000038056	Kmt2c
ENSMUSG00000029004	Kmt2e
ENSMUSG00000035576	L3mbtl1
ENSMUSG00000022394	L3mbtl2
ENSMUSG00000039089	L3mbtl3
ENSMUSG00000041565	L3mbtl4
ENSMUSG00000025216	Lbx1
ENSMUSG00000034968	Lbx2
ENSMUSG00000025019	Lcor
ENSMUSG00000015882	Lcorl
ENSMUSG00000027985	Lef1
ENSMUSG00000018698	Lhx1
ENSMUSG00000000247	Lhx2
ENSMUSG00000026934	Lhx3
ENSMUSG00000026468	Lhx4
ENSMUSG00000029595	Lhx5
ENSMUSG00000026890	Lhx6
ENSMUSG00000096225	Lhx8
ENSMUSG00000019230	Lhx9
ENSMUSG00000026686	Lmx1a
ENSMUSG00000038765	Lmx1b
ENSMUSG00000026305	Lrrfip1
ENSMUSG00000032497	Lrrfip2
ENSMUSG00000067367	Lyar
ENSMUSG00000034041	Lyl1
ENSMUSG00000040629	Mael
ENSMUSG00000055435	Maf
ENSMUSG00000022553	Maf1
ENSMUSG00000047591	Mafa
ENSMUSG00000074622	Mafb
ENSMUSG00000042622	Maff
ENSMUSG00000051510	Mafg
ENSMUSG00000018143	Mafk
ENSMUSG00000037236	Matr3
ENSMUSG00000059436	Max
ENSMUSG00000030678	Maz
ENSMUSG00000024561	Mbd1
ENSMUSG00000024513	Mbd2
ENSMUSG00000035478	Mbd3
ENSMUSG00000038691	Mbd3l1
ENSMUSG00000047508	Mbd3l2
ENSMUSG00000030322	Mbd4
ENSMUSG00000036792	Mbd5
ENSMUSG00000025409	Mbd6
ENSMUSG00000036109	Mbnl3
ENSMUSG00000027684	Mecom
ENSMUSG00000031393	Mecp2
ENSMUSG00000030557	Mef2a
ENSMUSG00000079033	Mef2b
ENSMUSG00000005583	Mef2c
ENSMUSG00000001419	Mef2d
ENSMUSG00000020160	Meis1
ENSMUSG00000027210	Meis2
ENSMUSG00000041420	Meis3
ENSMUSG00000001493	Meox1
ENSMUSG00000036144	Meox2
ENSMUSG00000030544	Mesp1
ENSMUSG00000030543	Mesp2
ENSMUSG00000033943	Mga
ENSMUSG00000028522	Mier1
ENSMUSG00000042570	Mier2
ENSMUSG00000032727	Mier3
ENSMUSG00000035158	Mitf
ENSMUSG00000026497	Mixl1
ENSMUSG00000061013	Mkx
ENSMUSG00000024212	Mllt1
ENSMUSG00000026743	Mllt10
ENSMUSG00000053192	Mllt11
ENSMUSG00000028496	Mllt3
ENSMUSG00000038437	Mllt6
ENSMUSG00000017801	Mlx
ENSMUSG00000038342	Mlxip
ENSMUSG00000005373	Mlxipl
ENSMUSG00000000282	Mnt
ENSMUSG00000001566	Mnx1
ENSMUSG00000025930	Msc
ENSMUSG00000047002	Msgn1
ENSMUSG00000048450	Msx1
ENSMUSG00000021469	Msx2
ENSMUSG00000025469	Msx3
ENSMUSG00000021144	Mta1
ENSMUSG00000071646	Mta2
ENSMUSG00000055817	Mta3
ENSMUSG00000028890	Mtf1
ENSMUSG00000029267	Mtf2
ENSMUSG00000001156	Mxd1
ENSMUSG00000021485	Mxd3
ENSMUSG00000037235	Mxd4
ENSMUSG00000025025	Mxi1
ENSMUSG00000019982	Myb
ENSMUSG00000025912	Mybl1
ENSMUSG00000017861	Mybl2
ENSMUSG00000022346	Myc
ENSMUSG00000028654	Mycl
ENSMUSG00000037169	Mycn
ENSMUSG00000044597	Mycs
ENSMUSG00000000435	Myf5
ENSMUSG00000035923	Myf6
ENSMUSG00000037730	Mynn
ENSMUSG00000009471	Myod1
ENSMUSG00000026459	Myog
ENSMUSG00000036098	Myrf
ENSMUSG00000062627	Mysm1
ENSMUSG00000010505	Myt1
ENSMUSG00000061911	Myt1l
ENSMUSG00000030380	Mzf1
ENSMUSG00000012396	Nanog
ENSMUSG00000020647	Ncoa1
ENSMUSG00000005886	Ncoa2
ENSMUSG00000027678	Ncoa3
ENSMUSG00000056234	Ncoa4
ENSMUSG00000039804	Ncoa5
ENSMUSG00000038369	Ncoa6
ENSMUSG00000039697	Ncoa7
ENSMUSG00000018501	Ncor1
ENSMUSG00000029478	Ncor2
ENSMUSG00000034701	Neurod1
ENSMUSG00000038255	Neurod2
ENSMUSG00000048015	Neurod4
ENSMUSG00000037984	Neurod6
ENSMUSG00000048904	Neurog1
ENSMUSG00000027967	Neurog2
ENSMUSG00000044312	Neurog3
ENSMUSG00000003847	Nfat5
ENSMUSG00000033016	Nfatc1
ENSMUSG00000027544	Nfatc2
ENSMUSG00000031902	Nfatc3
ENSMUSG00000023411	Nfatc4
ENSMUSG00000058794	Nfe2
ENSMUSG00000038615	Nfe2l1
ENSMUSG00000015839	Nfe2l2
ENSMUSG00000029832	Nfe2l3
ENSMUSG00000028565	Nfia
ENSMUSG00000008575	Nfib
ENSMUSG00000055053	Nfic
ENSMUSG00000056749	Nfil3
ENSMUSG00000001911	Nfix
ENSMUSG00000028163	Nfkb1
ENSMUSG00000025225	Nfkb2
ENSMUSG00000021025	Nfkbia
ENSMUSG00000030595	Nfkbib
ENSMUSG00000036931	Nfkbid
ENSMUSG00000023947	Nfkbie
ENSMUSG00000042419	Nfkbil1
ENSMUSG00000035356	Nfkbiz
ENSMUSG00000042185	Nfrkb
ENSMUSG00000028423	Nfx1
ENSMUSG00000072889	Nfxl1
ENSMUSG00000023994	Nfya
ENSMUSG00000020248	Nfyb
ENSMUSG00000032897	Nfyc
ENSMUSG00000051251	Nhlh1
ENSMUSG00000048540	Nhlh2
ENSMUSG00000044149	Nkrf
ENSMUSG00000029112	Nkx1-1
ENSMUSG00000048528	Nkx1-2
ENSMUSG00000001496	Nkx2-1
ENSMUSG00000027434	Nkx2-2
ENSMUSG00000044220	Nkx2-3
ENSMUSG00000054160	Nkx2-4
ENSMUSG00000015579	Nkx2-5
ENSMUSG00000044186	Nkx2-6
ENSMUSG00000058669	Nkx2-9
ENSMUSG00000022061	Nkx3-1
ENSMUSG00000049691	Nkx3-2
ENSMUSG00000035187	Nkx6-1
ENSMUSG00000041309	Nkx6-2
ENSMUSG00000063672	Nkx6-3
ENSMUSG00000029736	Nobox
ENSMUSG00000024999	Noc3l
ENSMUSG00000033294	Noc4l
ENSMUSG00000031311	Nono
ENSMUSG00000068302	Noto
ENSMUSG00000001988	Npas1
ENSMUSG00000026077	Npas2
ENSMUSG00000021010	Npas3
ENSMUSG00000045903	Npas4
ENSMUSG00000025056	Nr0b1
ENSMUSG00000037583	Nr0b2
ENSMUSG00000020889	Nr1d1
ENSMUSG00000021775	Nr1d2
ENSMUSG00000060601	Nr1h2
ENSMUSG00000002108	Nr1h3
ENSMUSG00000047638	Nr1h4
ENSMUSG00000048938	Nr1h5
ENSMUSG00000022809	Nr1i2
ENSMUSG00000005677	Nr1i3
ENSMUSG00000005897	Nr2c1
ENSMUSG00000005893	Nr2c2
ENSMUSG00000019803	Nr2e1
ENSMUSG00000032292	Nr2e3
ENSMUSG00000069171	Nr2f1
ENSMUSG00000030551	Nr2f2
ENSMUSG00000002393	Nr2f6
ENSMUSG00000024431	Nr3c1
ENSMUSG00000031618	Nr3c2
ENSMUSG00000023034	Nr4a1
ENSMUSG00000026826	Nr4a2
ENSMUSG00000028341	Nr4a3
ENSMUSG00000026751	Nr5a1
ENSMUSG00000026398	Nr5a2
ENSMUSG00000063972	Nr6a1
ENSMUSG00000058440	Nrf1
ENSMUSG00000040632	Nrl
ENSMUSG00000046160	Olig1
ENSMUSG00000039830	Olig2
ENSMUSG00000045591	Olig3
ENSMUSG00000043013	Onecut1
ENSMUSG00000045991	Onecut2
ENSMUSG00000045518	Onecut3
ENSMUSG00000048387	Osr1
ENSMUSG00000022330	Osr2
ENSMUSG00000021685	Otp
ENSMUSG00000005917	Otx1
ENSMUSG00000021848	Otx2
ENSMUSG00000024922	Ovol1
ENSMUSG00000037279	Ovol2
ENSMUSG00000100512	Ovol3
ENSMUSG00000026496	Parp1
ENSMUSG00000038507	Parp12
ENSMUSG00000020453	Patz1
ENSMUSG00000035873	Pawr
ENSMUSG00000037034	Pax1
ENSMUSG00000004231	Pax2
ENSMUSG00000004872	Pax3
ENSMUSG00000029706	Pax4
ENSMUSG00000014030	Pax5
ENSMUSG00000027168	Pax6
ENSMUSG00000028736	Pax7
ENSMUSG00000026976	Pax8
ENSMUSG00000001497	Pax9
ENSMUSG00000022974	Paxbp1
ENSMUSG00000042323	Pbrm1
ENSMUSG00000052534	Pbx1
ENSMUSG00000034673	Pbx2
ENSMUSG00000038718	Pbx3
ENSMUSG00000031860	Pbx4
ENSMUSG00000051695	Pcbp1
ENSMUSG00000056851	Pcbp2
ENSMUSG00000001120	Pcbp3
ENSMUSG00000023495	Pcbp4
ENSMUSG00000025050	Pcgf6
ENSMUSG00000029644	Pdx1
ENSMUSG00000002265	Peg3
ENSMUSG00000031870	Pgr
ENSMUSG00000038845	Phb
ENSMUSG00000004264	Phb2
ENSMUSG00000038116	Phf20
ENSMUSG00000061360	Phf5a
ENSMUSG00000007946	Phox2a
ENSMUSG00000012520	Phox2b
ENSMUSG00000058388	Phtf1
ENSMUSG00000039987	Phtf2
ENSMUSG00000021506	Pitx1
ENSMUSG00000028023	Pitx2
ENSMUSG00000025229	Pitx3
ENSMUSG00000006705	Pknox1
ENSMUSG00000035934	Pknox2
ENSMUSG00000003282	Plag1
ENSMUSG00000019817	Plagl1
ENSMUSG00000051413	Plagl2
ENSMUSG00000020120	Plek
ENSMUSG00000038902	Pogz
ENSMUSG00000004842	Pou1f1
ENSMUSG00000032053	Pou2af1
ENSMUSG00000026565	Pou2f1
ENSMUSG00000008496	Pou2f2
ENSMUSG00000032015	Pou2f3
ENSMUSG00000090125	Pou3f1
ENSMUSG00000095139	Pou3f2
ENSMUSG00000045515	Pou3f3
ENSMUSG00000056854	Pou3f4
ENSMUSG00000048349	Pou4f1
ENSMUSG00000031688	Pou4f2
ENSMUSG00000024497	Pou4f3
ENSMUSG00000024406	Pou5f1
ENSMUSG00000093668	Pou5f2
ENSMUSG00000009739	Pou6f1
ENSMUSG00000009734	Pou6f2
ENSMUSG00000022383	Ppara
ENSMUSG00000002250	Ppard
ENSMUSG00000000440	Pparg
ENSMUSG00000040734	Ppp1r13l
ENSMUSG00000038151	Prdm1
ENSMUSG00000042496	Prdm10
ENSMUSG00000075028	Prdm11
ENSMUSG00000079466	Prdm12
ENSMUSG00000040478	Prdm13
ENSMUSG00000042414	Prdm14
ENSMUSG00000014039	Prdm15
ENSMUSG00000039410	Prdm16
ENSMUSG00000057637	Prdm2
ENSMUSG00000035529	Prdm4
ENSMUSG00000029913	Prdm5
ENSMUSG00000069378	Prdm6
ENSMUSG00000035456	Prdm8
ENSMUSG00000051977	Prdm9
ENSMUSG00000045302	Preb
ENSMUSG00000044542	Prop1
ENSMUSG00000010175	Prox1
