Geneid	tsid	length	Total_num_exons	Total_exons_len	avg_exon_length	Total_num_introns	Total_introns_len	avg_intron_length	Total_num_utr_5	Total_utr_5_len	avg_utr_5_length	Total_num_utr_3	Total_utr_3_len	avg_utr_3_length
ENSMUSG00000000103	ENSMUST00000115891	64236	9	2825	313.89	8.0	61427.0	7678.38	3.0	361.0	120.33	1.0	125.0	125.0
ENSMUSG00000000120	ENSMUST00000000122	18919	6	3452	575.33	5.0	15477.0	3095.4	1.0	178.0	178.0	1.0	1986.0	1986.0
ENSMUSG00000000125	ENSMUST00000000127	43809	5	3081	616.2	4.0	40736.0	10184.0	1.0	120.0	120.0	2.0	1891.0	945.5
ENSMUSG00000000126	ENSMUST00000000128	26626	4	3324	831.0	3.0	23308.0	7769.33	1.0	46.0	46.0	1.0	2178.0	2178.0
ENSMUSG00000000127	ENSMUST00000233190	261432	18	2931	162.83	17.0	258535.0	15207.94	2.0	138.0	69.0	1.0	480.0	480.0
ENSMUSG00000000131	ENSMUST00000168189	98788	24	4576	190.67	23.0	94258.0	4098.17	1.0	601.0	601.0	1.0	575.0	575.0
ENSMUSG00000000134	ENSMUST00000077680	12546	10	3287	328.7	9.0	9277.0	1030.78	1.0	288.0	288.0	1.0	1272.0	1272.0
ENSMUSG00000000142	ENSMUST00000052915	30436	11	4271	388.27	10.0	26185.0	2618.5	2.0	351.0	175.5	1.0	1389.0	1389.0
ENSMUSG00000000148	ENSMUST00000041588	14370	14	3347	239.07	13.0	11049.0	849.92	2.0	84.0	42.0	1.0	783.0	783.0
ENSMUSG00000000149	ENSMUST00000000153	72025	4	3420	855.0	3.0	68611.0	22870.33	1.0	136.0	136.0	1.0	2142.0	2142.0
ENSMUSG00000000154	ENSMUST00000052348	25600	11	1536	139.64	10.0	24084.0	2408.4	2.0	232.0	116.0	1.0	63.0	63.0
ENSMUSG00000000157	ENSMUST00000000161	21333	16	2649	165.56	15.0	18714.0	1247.6	2.0	85.0	42.5	1.0	334.0	334.0
ENSMUSG00000000159	ENSMUST00000113794	60455	9	1610	178.89	8.0	58861.0	7357.62	2.0	199.0	99.5	1.0	286.0	286.0
ENSMUSG00000000167	ENSMUST00000000171	7678	6	1262	210.33	5.0	6426.0	1285.2	2.0	307.0	153.5	1.0	4.0	4.0
ENSMUSG00000000168	ENSMUST00000034567	25149	14	4049	289.21	13.0	21126.0	1625.08	1.0	315.0	315.0	1.0	1793.0	1793.0
ENSMUSG00000000171	ENSMUST00000000175	7457	4	1235	308.75	3.0	6228.0	2076.0	1.0	24.0	24.0	1.0	729.0	729.0
ENSMUSG00000000182	ENSMUST00000000186	8508	3	1817	605.67	2.0	6695.0	3347.5	1.0	129.0	129.0	1.0	931.0	931.0
ENSMUSG00000000183	ENSMUST00000000187	12603	3	4660	1553.33	2.0	7947.0	3973.5	0.0	0.0	0.0	1.0	4031.0	4031.0
ENSMUSG00000000184	ENSMUST00000000188	25900	5	6335	1267.0	4.0	19573.0	4893.25	1.0	288.0	288.0	1.0	5174.0	5174.0
ENSMUSG00000000194	ENSMUST00000056433	66461	18	6152	341.78	17.0	60343.0	3549.59	1.0	44.0	44.0	1.0	4436.0	4436.0
ENSMUSG00000000197	ENSMUST00000000201	350512	44	7166	162.86	43.0	343432.0	7986.79	2.0	370.0	185.0	1.0	1535.0	1535.0
ENSMUSG00000000202	ENSMUST00000156192	4695	2	2991	1495.5	1.0	1706.0	1706.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000204	ENSMUST00000000208	15032	8	3966	495.75	7.0	11080.0	1582.86	6.0	1233.0	205.5	1.0	923.0	923.0
ENSMUSG00000000214	ENSMUST00000105929	38332	12	1962	163.5	11.0	36392.0	3308.36	1.0	506.0	506.0	1.0	234.0	234.0
ENSMUSG00000000215	ENSMUST00000210288	64727	5	923	184.6	4.0	63812.0	15953.0	4.0	532.0	133.0	1.0	58.0	58.0
ENSMUSG00000000216	ENSMUST00000000221	33998	13	3004	231.08	12.0	31018.0	2584.83	2.0	99.0	49.5	1.0	927.0	927.0
ENSMUSG00000000223	ENSMUST00000153424	51947	23	7158	311.22	22.0	44833.0	2037.86	2.0	390.0	195.0	1.0	3874.0	3874.0
ENSMUSG00000000244	ENSMUST00000009396	14442	9	1591	176.78	8.0	12867.0	1608.38	1.0	65.0	65.0	1.0	748.0	748.0
ENSMUSG00000000247	ENSMUST00000143783	29920	5	1701	340.2	4.0	28227.0	7056.75	2.0	530.0	265.0	1.0	71.0	71.0
ENSMUSG00000000248	ENSMUST00000000254	50325	7	2470	352.86	6.0	47867.0	7977.83	1.0	37.0	37.0	1.0	1618.0	1618.0
ENSMUSG00000000253	ENSMUST00000000260	38940	9	1589	176.56	8.0	37367.0	4670.88	1.0	214.0	214.0	1.0	330.0	330.0
ENSMUSG00000000263	ENSMUST00000102716	93962	9	2399	266.56	8.0	91579.0	11447.38	1.0	466.0	466.0	1.0	576.0	576.0
ENSMUSG00000000266	ENSMUST00000112990	102761	10	6281	628.1	9.0	96498.0	10722.0	2.0	381.0	190.5	1.0	3835.0	3835.0
ENSMUSG00000000275	ENSMUST00000000284	20919	8	5574	696.75	7.0	15359.0	2194.14	1.0	114.0	114.0	1.0	3573.0	3573.0
ENSMUSG00000000275	ENSMUST00000107896	20919	9	5599	622.11	8.0	15336.0	1917.0	1.0	114.0	114.0	1.0	3573.0	3573.0
ENSMUSG00000000276	ENSMUST00000107894	31673	12	8359	696.58	11.0	23336.0	2121.45	2.0	1101.0	550.5	1.0	5554.0	5554.0
ENSMUSG00000000278	ENSMUST00000000287	31447	13	2110	162.31	12.0	29361.0	2446.75	1.0	97.0	97.0	1.0	643.0	643.0
ENSMUSG00000000282	ENSMUST00000000291	14807	6	4596	766.0	5.0	10221.0	2044.2	1.0	410.0	410.0	1.0	2406.0	2406.0
ENSMUSG00000000290	ENSMUST00000000299	35436	16	2986	186.62	15.0	32480.0	2165.33	2.0	213.0	106.5	1.0	447.0	447.0
ENSMUSG00000000295	ENSMUST00000000304	14823	6	864	144.0	5.0	13969.0	2793.8	1.0	33.0	33.0	1.0	227.0	227.0
ENSMUSG00000000296	ENSMUST00000000305	113584	7	1315	187.86	6.0	112281.0	18713.5	1.0	229.0	229.0	1.0	466.0	466.0
ENSMUSG00000000301	ENSMUST00000102693	75869	7	968	138.29	6.0	74913.0	12485.5	1.0	47.0	47.0	1.0	205.0	205.0
ENSMUSG00000000303	ENSMUST00000000312	66897	16	4446	277.88	15.0	62481.0	4165.4	1.0	145.0	145.0	1.0	1632.0	1632.0
ENSMUSG00000000305	ENSMUST00000000314	456944	16	6404	400.25	15.0	450570.0	30038.0	1.0	192.0	192.0	1.0	3456.0	3456.0
ENSMUSG00000000308	ENSMUST00000078222	5963	10	1528	152.8	9.0	4453.0	494.78	2.0	140.0	70.0	1.0	124.0	124.0
ENSMUSG00000000317	ENSMUST00000000326	5613	9	3375	375.0	8.0	2254.0	281.75	2.0	44.0	22.0	1.0	1900.0	1900.0
ENSMUSG00000000318	ENSMUST00000144935	14068	8	797	99.62	7.0	13285.0	1897.86	2.0	147.0	73.5	0.0	0.0	0.0
ENSMUSG00000000320	ENSMUST00000000329	13898	14	3015	215.36	13.0	10909.0	839.15	1.0	82.0	82.0	1.0	929.0	929.0
ENSMUSG00000000326	ENSMUST00000115609	19588	5	1871	374.2	4.0	17725.0	4431.25	1.0	498.0	498.0	1.0	572.0	572.0
ENSMUSG00000000339	ENSMUST00000000348	19247	11	1605	145.91	10.0	17662.0	1766.2	1.0	220.0	220.0	1.0	275.0	275.0
ENSMUSG00000000340	ENSMUST00000000349	36913	11	3312	301.09	10.0	33621.0	3362.1	1.0	72.0	72.0	1.0	1782.0	1782.0
ENSMUSG00000000346	ENSMUST00000000356	5414	4	2139	534.75	3.0	3281.0	1093.67	1.0	364.0	364.0	1.0	1266.0	1266.0
ENSMUSG00000000355	ENSMUST00000000365	12773	6	789	131.5	5.0	11994.0	2398.8	1.0	114.0	114.0	1.0	125.0	125.0
ENSMUSG00000000359	ENSMUST00000000369	8245	5	1668	333.6	4.0	6585.0	1646.25	2.0	294.0	147.0	1.0	478.0	478.0
ENSMUSG00000000365	ENSMUST00000095793	122453	37	5301	143.27	36.0	117224.0	3256.22	1.0	121.0	121.0	2.0	223.0	111.5
ENSMUSG00000000374	ENSMUST00000000384	57918	23	5070	220.43	22.0	52892.0	2404.18	1.0	140.0	140.0	1.0	1132.0	1132.0
ENSMUSG00000000378	ENSMUST00000000388	49859	10	1868	186.8	9.0	48009.0	5334.33	1.0	114.0	114.0	1.0	384.0	384.0
ENSMUSG00000000381	ENSMUST00000102910	3157	4	555	138.75	3.0	2608.0	869.33	1.0	16.0	16.0	1.0	132.0	132.0
ENSMUSG00000000384	ENSMUST00000189268	10470	13	2360	181.54	12.0	8134.0	677.83	3.0	234.0	78.0	2.0	225.0	112.5
ENSMUSG00000000385	ENSMUST00000000395	46515	14	3175	226.79	13.0	43366.0	3335.85	2.0	232.0	116.0	1.0	1459.0	1459.0
ENSMUSG00000000386	ENSMUST00000023655	15871	15	3400	226.67	14.0	12499.0	892.79	2.0	398.0	199.0	1.0	1106.0	1106.0
ENSMUSG00000000392	ENSMUST00000102732	73134	26	2777	106.81	25.0	70407.0	2816.28	1.0	225.0	225.0	1.0	242.0	242.0
ENSMUSG00000000394	ENSMUST00000102733	9122	6	1094	182.33	5.0	8038.0	1607.6	2.0	99.0	49.5	1.0	449.0	449.0
ENSMUSG00000000399	ENSMUST00000205002	27406	11	1456	132.36	10.0	25970.0	2597.0	1.0	14.0	14.0	1.0	299.0	299.0
ENSMUSG00000000402	ENSMUST00000000412	62715	12	2716	226.33	11.0	60021.0	5456.45	1.0	198.0	198.0	1.0	855.0	855.0
ENSMUSG00000000409	ENSMUST00000102596	25294	13	2124	163.38	12.0	23194.0	1932.83	2.0	134.0	67.0	1.0	450.0	450.0
ENSMUSG00000000411	ENSMUST00000000421	2010	2	1282	641.0	1.0	730.0	730.0	1.0	417.0	417.0	1.0	58.0	58.0
ENSMUSG00000000416	ENSMUST00000148602	148044	23	5485	238.48	22.0	142603.0	6481.95	1.0	15.0	15.0	19.0	3574.0	188.11
ENSMUSG00000000420	ENSMUST00000000430	81476	13	3990	306.92	12.0	77510.0	6459.17	3.0	338.0	112.67	1.0	1963.0	1963.0
ENSMUSG00000000435	ENSMUST00000000445	3228	3	2086	695.33	2.0	1146.0	573.0	1.0	204.0	204.0	1.0	1113.0	1113.0
ENSMUSG00000000439	ENSMUST00000000449	20724	8	6238	779.75	7.0	14500.0	2071.43	1.0	87.0	87.0	1.0	4894.0	4894.0
ENSMUSG00000000440	ENSMUST00000171644	129450	8	2133	266.62	7.0	127331.0	18190.14	3.0	496.0	165.33	1.0	205.0	205.0
ENSMUSG00000000441	ENSMUST00000000451	58068	17	3087	181.59	16.0	55013.0	3438.31	2.0	428.0	214.0	1.0	698.0	698.0
ENSMUSG00000000486	ENSMUST00000133913	15920	6	605	100.83	5.0	15325.0	3065.0	2.0	165.0	82.5	0.0	0.0	0.0
ENSMUSG00000000489	ENSMUST00000000500	18936	7	2951	421.57	6.0	15997.0	2666.17	1.0	811.0	811.0	2.0	1410.0	705.0
ENSMUSG00000000530	ENSMUST00000000542	16816	11	3651	331.91	10.0	13185.0	1318.5	3.0	275.0	91.67	1.0	1860.0	1860.0
ENSMUSG00000000531	ENSMUST00000000543	8570	8	2041	255.12	7.0	6543.0	934.71	1.0	115.0	115.0	1.0	741.0	741.0
ENSMUSG00000000532	ENSMUST00000000544	39619	9	4427	491.89	8.0	35208.0	4401.0	1.0	79.0	79.0	1.0	2823.0	2823.0
ENSMUSG00000000538	ENSMUST00000095254	126193	14	4954	353.86	13.0	121265.0	9328.08	1.0	98.0	98.0	1.0	3380.0	3380.0
ENSMUSG00000000544	ENSMUST00000060833	36274	7	2522	360.29	6.0	33764.0	5627.33	1.0	325.0	325.0	1.0	1232.0	1232.0
ENSMUSG00000000552	ENSMUST00000168828	26200	8	2306	288.25	7.0	23908.0	3415.43	1.0	38.0	38.0	1.0	1101.0	1101.0
ENSMUSG00000000555	ENSMUST00000023128	22479	30	4412	147.07	29.0	18125.0	625.0	1.0	238.0	238.0	1.0	984.0	984.0
ENSMUSG00000000560	ENSMUST00000197284	138254	10	5862	586.2	9.0	132410.0	14712.22	2.0	293.0	146.5	1.0	4206.0	4206.0
ENSMUSG00000000561	ENSMUST00000130994	10525	9	4295	477.22	8.0	6246.0	780.75	1.0	71.0	71.0	8.0	4041.0	505.12
ENSMUSG00000000562	ENSMUST00000164730	37497	2	1221	610.5	1.0	36278.0	36278.0	2.0	241.0	120.5	1.0	459.0	459.0
ENSMUSG00000000563	ENSMUST00000118209	17403	8	1612	201.5	7.0	15805.0	2257.86	2.0	547.0	273.5	1.0	289.0	289.0
ENSMUSG00000000567	ENSMUST00000000579	5538	3	4138	1379.33	2.0	1404.0	702.0	1.0	362.0	362.0	1.0	2251.0	2251.0
ENSMUSG00000000568	ENSMUST00000172361	23005	9	6820	757.78	8.0	16201.0	2025.12	1.0	315.0	315.0	2.0	5431.0	2715.5
ENSMUSG00000000579	ENSMUST00000092966	8010	5	2594	518.8	4.0	5424.0	1356.0	1.0	140.0	140.0	1.0	2109.0	2109.0
ENSMUSG00000000581	ENSMUST00000000594	11584	5	2986	597.2	4.0	8606.0	2151.5	2.0	76.0	38.0	1.0	2482.0	2482.0
ENSMUSG00000000594	ENSMUST00000000608	14916	4	4131	1032.75	3.0	10791.0	3597.0	1.0	50.0	50.0	1.0	3497.0	3497.0
ENSMUSG00000000600	ENSMUST00000200386	42376	16	2359	147.44	15.0	40047.0	2669.8	2.0	344.0	172.0	1.0	58.0	58.0
ENSMUSG00000000605	ENSMUST00000000619	17226	13	4620	355.38	12.0	12630.0	1052.5	3.0	491.0	163.67	1.0	1876.0	1876.0
ENSMUSG00000000606	ENSMUST00000159674	9903	6	4573	762.17	5.0	5340.0	1068.0	1.0	182.0	182.0	1.0	1840.0	1840.0
ENSMUSG00000000606	ENSMUST00000163019	9903	4	4225	1056.25	3.0	5684.0	1894.67	1.0	182.0	182.0	1.0	2727.0	2727.0
ENSMUSG00000000606	ENSMUST00000232797	9903	5	4448	889.6	4.0	5463.0	1365.75	1.0	182.0	182.0	1.0	2727.0	2727.0
ENSMUSG00000000606	ENSMUST00000232951	9903	5	4347	869.4	4.0	5564.0	1391.0	1.0	182.0	182.0	1.0	1840.0	1840.0
ENSMUSG00000000606	ENSMUST00000233126	9903	5	4451	890.2	4.0	5460.0	1365.0	1.0	182.0	182.0	1.0	2727.0	2727.0
ENSMUSG00000000606	ENSMUST00000233280	9903	6	4579	763.17	5.0	5334.0	1066.8	1.0	182.0	182.0	1.0	1840.0	1840.0
ENSMUSG00000000606	ENSMUST00000233394	9903	6	4576	762.67	5.0	5337.0	1067.4	1.0	182.0	182.0	1.0	1840.0	1840.0
ENSMUSG00000000606	ENSMUST00000233766	9903	4	4222	1055.5	3.0	5687.0	1895.67	1.0	182.0	182.0	1.0	2727.0	2727.0
ENSMUSG00000000606	ENSMUST00000233920	9903	5	4350	870.0	4.0	5561.0	1390.25	1.0	182.0	182.0	1.0	1840.0	1840.0
ENSMUSG00000000617	ENSMUST00000171427	15523	11	4341	394.64	10.0	11202.0	1120.2	2.0	168.0	84.0	1.0	1549.0	1549.0
ENSMUSG00000000627	ENSMUST00000000641	27886	14	4100	292.86	13.0	23812.0	1831.69	1.0	147.0	147.0	1.0	1607.0	1607.0
ENSMUSG00000000628	ENSMUST00000000642	49431	18	5531	307.28	17.0	43934.0	2584.35	1.0	475.0	475.0	1.0	2286.0	2286.0
ENSMUSG00000000631	ENSMUST00000108375	102736	42	7555	179.88	41.0	95263.0	2323.49	2.0	217.0	108.5	1.0	1146.0	1146.0
ENSMUSG00000000632	ENSMUST00000093995	48250	17	4256	250.35	16.0	44026.0	2751.62	1.0	261.0	261.0	1.0	1004.0	1004.0
ENSMUSG00000000673	ENSMUST00000000687	15595	10	1391	139.1	9.0	14222.0	1580.22	1.0	34.0	34.0	1.0	488.0	488.0
ENSMUSG00000000682	ENSMUST00000145122	12595	2	382	191.0	1.0	12215.0	12215.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000686	ENSMUST00000145676	22625	2	444	222.0	1.0	22183.0	22183.0	0.0	0.0	0.0	1.0	268.0	268.0
ENSMUSG00000000690	ENSMUST00000173432	9095	3	1967	655.67	2.0	7132.0	3566.0	2.0	650.0	325.0	1.0	642.0	642.0
ENSMUSG00000000693	ENSMUST00000000707	18391	14	4112	293.71	13.0	14305.0	1100.38	2.0	146.0	73.0	1.0	1690.0	1690.0
ENSMUSG00000000693	ENSMUST00000101257	18391	9	3261	362.33	8.0	15146.0	1893.25	2.0	146.0	73.0	1.0	1690.0	1690.0
ENSMUSG00000000701	ENSMUST00000000717	4803	4	1059	264.75	3.0	3750.0	1250.0	1.0	72.0	72.0	2.0	620.0	310.0
ENSMUSG00000000706	ENSMUST00000041674	8885	8	3431	428.88	7.0	5468.0	781.14	2.0	139.0	69.5	1.0	1712.0	1712.0
ENSMUSG00000000708	ENSMUST00000000724	105751	18	4671	259.5	17.0	101114.0	5947.88	1.0	360.0	360.0	1.0	1853.0	1853.0
ENSMUSG00000000711	ENSMUST00000000727	19091	6	3186	531.0	5.0	15915.0	3183.0	2.0	179.0	89.5	1.0	2356.0	2356.0
ENSMUSG00000000724	ENSMUST00000078623	6658	6	784	130.67	5.0	5884.0	1176.8	1.0	3.0	3.0	1.0	129.0	129.0
ENSMUSG00000000730	ENSMUST00000138785	21337	14	1836	131.14	13.0	19527.0	1502.08	3.0	286.0	95.33	1.0	274.0	274.0
ENSMUSG00000000731	ENSMUST00000131028	13589	14	2980	212.86	13.0	10635.0	818.08	1.0	88.0	88.0	12.0	2687.0	223.92
ENSMUSG00000000732	ENSMUST00000219038	12754	6	1697	282.83	5.0	11067.0	2213.4	0.0	0.0	0.0	1.0	659.0	659.0
ENSMUSG00000000738	ENSMUST00000125975	34774	17	2425	142.65	16.0	32381.0	2023.81	3.0	178.0	59.33	1.0	203.0	203.0
ENSMUSG00000000739	ENSMUST00000000755	18080	7	3812	544.57	6.0	14280.0	2380.0	2.0	92.0	46.0	1.0	2840.0	2840.0
ENSMUSG00000000740	ENSMUST00000000756	2896	6	786	131.0	5.0	2120.0	424.0	2.0	104.0	52.0	1.0	43.0	43.0
ENSMUSG00000000743	ENSMUST00000000759	8498	7	2147	306.71	6.0	6363.0	1060.5	1.0	89.0	89.0	1.0	1462.0	1462.0
ENSMUSG00000000751	ENSMUST00000092907	50160	17	5094	299.65	16.0	45098.0	2818.62	1.0	67.0	67.0	1.0	3140.0	3140.0
ENSMUSG00000000753	ENSMUST00000000769	12934	8	1840	230.0	7.0	11108.0	1586.86	2.0	215.0	107.5	1.0	366.0	366.0
ENSMUSG00000000759	ENSMUST00000000776	57973	22	3819	173.59	21.0	54196.0	2580.76	1.0	219.0	219.0	1.0	862.0	862.0
ENSMUSG00000000766	ENSMUST00000063036	278955	5	1432	286.4	4.0	277531.0	69382.75	1.0	19.0	19.0	2.0	433.0	216.5
ENSMUSG00000000776	ENSMUST00000000793	4692	9	2025	225.0	8.0	2683.0	335.38	2.0	122.0	61.0	1.0	700.0	700.0
ENSMUSG00000000782	ENSMUST00000086844	30202	10	2481	248.1	9.0	27739.0	3082.11	2.0	49.0	24.5	1.0	1513.0	1513.0
ENSMUSG00000000787	ENSMUST00000000804	13084	17	4709	277.0	16.0	8407.0	525.44	1.0	144.0	144.0	1.0	2561.0	2561.0
ENSMUSG00000000791	ENSMUST00000000808	12977	16	2889	180.56	15.0	10118.0	674.53	1.0	104.0	104.0	1.0	554.0	554.0
ENSMUSG00000000792	ENSMUST00000000809	9870	15	2943	196.2	14.0	6955.0	496.79	1.0	97.0	97.0	1.0	976.0	976.0
ENSMUSG00000000794	ENSMUST00000000811	147599	8	2892	361.5	7.0	144721.0	20674.43	1.0	306.0	306.0	1.0	381.0	381.0
ENSMUSG00000000804	ENSMUST00000108075	155598	34	7087	208.44	33.0	148577.0	4502.33	1.0	271.0	271.0	1.0	1969.0	1969.0
ENSMUSG00000000805	ENSMUST00000103194	8258	8	1264	158.0	7.0	7008.0	1001.14	1.0	100.0	100.0	1.0	240.0	240.0
ENSMUSG00000000811	ENSMUST00000000828	31543	16	2852	178.25	15.0	28721.0	1914.73	1.0	257.0	257.0	1.0	733.0	733.0
ENSMUSG00000000811	ENSMUST00000101171	31543	14	2508	179.14	13.0	29061.0	2235.46	1.0	257.0	257.0	1.0	733.0	733.0
ENSMUSG00000000817	ENSMUST00000000834	7808	4	1941	485.25	3.0	5873.0	1957.67	1.0	211.0	211.0	1.0	888.0	888.0
ENSMUSG00000000823	ENSMUST00000108789	10702	17	5731	337.12	16.0	5003.0	312.69	2.0	387.0	193.5	1.0	2720.0	2720.0
ENSMUSG00000000826	ENSMUST00000072334	34650	5	6583	1316.6	4.0	28075.0	7018.75	2.0	226.0	113.0	1.0	5758.0	5758.0
ENSMUSG00000000827	ENSMUST00000149163	20803	8	3611	451.38	7.0	17206.0	2458.0	1.0	150.0	150.0	1.0	2792.0	2792.0
ENSMUSG00000000838	ENSMUST00000088546	39424	17	4426	260.35	16.0	35030.0	2189.38	1.0	277.0	277.0	1.0	2289.0	2289.0
ENSMUSG00000000861	ENSMUST00000109516	96008	5	2334	466.8	4.0	93682.0	23420.5	1.0	275.0	275.0	1.0	1324.0	1324.0
ENSMUSG00000000869	ENSMUST00000127858	14244	4	545	136.25	3.0	13705.0	4568.33	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000876	ENSMUST00000000896	17952	4	2793	698.25	3.0	15165.0	5055.0	1.0	80.0	80.0	1.0	2072.0	2072.0
ENSMUSG00000000881	ENSMUST00000113736	50687	20	4960	248.0	19.0	45765.0	2408.68	1.0	350.0	350.0	1.0	2084.0	2084.0
ENSMUSG00000000884	ENSMUST00000090086	67793	8	3557	444.62	7.0	64250.0	9178.57	3.0	178.0	59.33	1.0	2394.0	2394.0
ENSMUSG00000000884	ENSMUST00000115601	67793	8	3515	439.38	7.0	64292.0	9184.57	3.0	178.0	59.33	1.0	2394.0	2394.0
ENSMUSG00000000889	ENSMUST00000000910	17969	12	2564	213.67	11.0	15427.0	1402.45	1.0	284.0	284.0	1.0	401.0	401.0
ENSMUSG00000000901	ENSMUST00000219728	9329	4	678	169.5	3.0	8657.0	2885.67	3.0	566.0	188.67	0.0	0.0	0.0
ENSMUSG00000000902	ENSMUST00000000925	24850	9	1669	185.44	8.0	23197.0	2899.62	1.0	223.0	223.0	1.0	281.0	281.0
ENSMUSG00000000903	ENSMUST00000121151	6582	2	731	365.5	1.0	5853.0	5853.0	1.0	162.0	162.0	1.0	176.0	176.0
ENSMUSG00000000915	ENSMUST00000000939	31932	32	6767	211.47	31.0	25227.0	813.77	1.0	136.0	136.0	1.0	3394.0	3394.0
ENSMUSG00000000916	ENSMUST00000000940	6847	10	2253	225.3	9.0	4612.0	512.44	1.0	32.0	32.0	1.0	815.0	815.0
ENSMUSG00000000934	ENSMUST00000000958	21767	14	1917	136.93	13.0	19876.0	1528.92	1.0	45.0	45.0	1.0	78.0	78.0
ENSMUSG00000000938	ENSMUST00000121043	8934	2	1438	719.0	1.0	7498.0	7498.0	1.0	568.0	568.0	1.0	585.0	585.0
ENSMUSG00000000942	ENSMUST00000101395	2084	2	1596	798.0	1.0	490.0	490.0	1.0	66.0	66.0	1.0	672.0	672.0
ENSMUSG00000000948	ENSMUST00000179360	30917	7	1206	172.29	6.0	29723.0	4953.83	1.0	16.0	16.0	5.0	973.0	194.6
ENSMUSG00000000948	ENSMUST00000189432	30917	6	545	90.83	5.0	30382.0	6076.4	1.0	16.0	16.0	4.0	411.0	102.75
ENSMUSG00000000957	ENSMUST00000225641	13733	10	3248	324.8	9.0	10503.0	1167.0	1.0	234.0	234.0	1.0	1329.0	1329.0
ENSMUSG00000000958	ENSMUST00000197440	48257	12	2290	190.83	11.0	45989.0	4180.82	4.0	407.0	101.75	1.0	343.0	343.0
ENSMUSG00000000959	ENSMUST00000000985	8834	10	2548	254.8	9.0	6304.0	700.44	1.0	15.0	15.0	1.0	1223.0	1223.0
ENSMUSG00000000976	ENSMUST00000001002	30060	20	5634	281.7	19.0	24464.0	1287.58	1.0	28.0	28.0	1.0	2033.0	2033.0
ENSMUSG00000000982	ENSMUST00000001008	1513	3	769	256.33	2.0	748.0	374.0	1.0	79.0	79.0	1.0	410.0	410.0
ENSMUSG00000000983	ENSMUST00000001009	2335	3	524	174.67	2.0	1815.0	907.5	1.0	104.0	104.0	1.0	194.0	194.0
ENSMUSG00000001014	ENSMUST00000001040	1224	3	974	324.67	2.0	254.0	127.0	1.0	82.0	82.0	1.0	102.0	102.0
ENSMUSG00000001016	ENSMUST00000001042	12234	14	2041	145.79	13.0	10219.0	786.08	1.0	95.0	95.0	1.0	761.0	761.0
ENSMUSG00000001017	ENSMUST00000049937	10535	6	2018	336.33	5.0	8527.0	1705.4	2.0	327.0	163.5	1.0	938.0	938.0
ENSMUSG00000001018	ENSMUST00000149884	3001	4	1932	483.0	3.0	1075.0	358.33	1.0	60.0	60.0	1.0	1459.0	1459.0
ENSMUSG00000001020	ENSMUST00000001046	2276	3	501	167.0	2.0	1779.0	889.5	2.0	53.0	26.5	1.0	142.0	142.0
ENSMUSG00000001021	ENSMUST00000200508	17821	3	590	196.67	2.0	17235.0	8617.5	2.0	160.0	80.0	1.0	124.0	124.0
ENSMUSG00000001023	ENSMUST00000107329	3259	3	434	144.67	2.0	2829.0	1414.5	2.0	25.0	12.5	1.0	127.0	127.0
