Geneid	Gene_name	mca3gini	mtdtau_log	mtdroku_specificity_log	Total_utr_5_len	tss_dis	TF_motif_meanexon	TF_motif_cv_tss_3kb	TF_motif_totaltss_2kb_norm_GL	utr5_mirna_count	exon_avg_CS_median	R_codon_bias_median_trans	AT_transcript_pct	GC_intron_pct	AT_intron_pct	GC_tss_2kb_pct
ENSMUSG00000043629	1700019D03Rik	0.8773	0.7504	0.0	255.0	175167.0	0.085561497	2.133965083	0.003073749	2554.0	0.15	72.0	0.591092	0.408387117	0.591612883	0.38675
ENSMUSG00000100937	1700020D05Rik	0.9944	0.8938	0.3501	37.0	13333.0	0.216195569	1.985285322	1.377690802	49.0	0.11	3.0	0.476004			0.462
ENSMUSG00000035085	1700020L24Rik	0.8656	0.7271	0.1605	69.0	8221.0	0.154316272	3.720824267	0.226812816	66.0	0.2	11.0	0.479618	0.49309816	0.50690184	0.46625
ENSMUSG00000050844	1700020N01Rik	0.9933	0.3391	0.0	149.0	215854.0	0.213139801	2.122200336	0.011151781		0.13	21.0	0.565374	0.433226837	0.566773163	0.425
ENSMUSG00000019797	1700021F05Rik	0.2372	0.4356	0.0904	43.0	16885.0	0.142857143	1.705365559	0.033844794	158.0	0.79	24.0	0.515597	0.484842415	0.515157585	0.488
ENSMUSG00000020940	1700023F06Rik	0.8708	0.0	0.0	173.0	37452.0	0.152788388	2.013373157	0.099240612	180.0	0.34	10.0	0.503849	0.481791397	0.518208603	0.51475
ENSMUSG00000032666	1700025G04Rik	0.479	0.4911	0.0761	170.0	334597.0	0.419404125	3.662710792	0.002563466	371.0	1.79	252.0	0.557306	0.443277168	0.556722832	0.556
ENSMUSG00000038782	1700028J19Rik	0.9549	0.8711	0.262	225.0	10519.0	0.222307105	1.531836767	0.058613082		0.18	14.0	0.515265	0.480082773	0.519917227	0.49775
ENSMUSG00000089798	1700028K03Rik	0.9537	0.8617	0.3557	119.0	27090.0	1.802902979	2.420870918	0.091011703	380.0	0.85	17.0	0.590661	0.408779849	0.591220151	0.42375
ENSMUSG00000033053	1700028P14Rik	0.98	0.6042	0.0	87.0	204414.0	0.169595111	1.88722003	0.004667184	235.0	0.48	67.0	0.583064	0.416526265	0.583473735	0.4365
ENSMUSG00000052075	1700029F12Rik	0.9998	0.5482	0.0	98.0	109674.0	0.288006112	2.373705927	0.04952	183.0	0.0	10.0	0.554204	0.440066837	0.559933163	0.4035
ENSMUSG00000031452	1700029H14Rik	0.9997	0.565	0.0	114.0	67971.0	0.809778457	2.025080223	0.126513214	1042.0	0.15	12.0	0.492455	0.503091411	0.496908589	0.49325
ENSMUSG00000044916	1700029I15Rik	0.8671	0.7373	0.0	31.0	8242.0	0.087089381	1.851495871	0.253939828	71.0	0.35	3.0	0.442135	0.557473684	0.442526316	0.5615
ENSMUSG00000071103	1700029J07Rik	0.5922	0.7349	0.1749	441.0	40822.0	0.258212376	2.230815588	0.033571494	1534.0	0.7	22.0	0.591169	0.403124537	0.596875463	0.43725
ENSMUSG00000031847	1700030J22Rik	0.9469	0.8733	0.2528	205.0	35551.0	0.541634836	2.44195106	0.051010587	293.0	0.22	18.0	0.50631	0.48336994	0.51663006	0.47375
ENSMUSG00000052794	1700030K09Rik	0.2604	0.4952	0.1497	113.0	9.0	0.617265088	3.37969435	0.063832272	87.0	0.16	18.0	0.524296	0.467369161	0.532630839	0.482
ENSMUSG00000005983	1700037C18Rik	0.5172	0.697	0.1193	0.0	24006.0	0.190221543	1.607356476	0.1002523	265.0	0.65	14.0	0.519035	0.476197909	0.523802091	0.4875
ENSMUSG00000027327	1700037H04Rik	0.4235	0.398	0.1382	182.0	26538.0	0.227654698	2.368729112	0.038579347	953.0	1.04	12.0	0.488294	0.503683316	0.496316684	0.5205
ENSMUSG00000044854	1700056E22Rik	0.5543	0.8512	0.2036	0.0	567106.0	0.238349885	3.027979399	0.694422624	79.0	-0.01	4.0	0.371069			0.53975
ENSMUSG00000024209	1700061G19Rik	0.8776	0.862	0.0	379.0	1029.0	0.372803667	1.578935488	0.073423189	621.0	0.22	19.0	0.492851	0.49948842	0.50051158	0.516
ENSMUSG00000082766	1700064H15Rik	0.5135	0.0	0.0	70.0	120063.0	0.071810542	2.012519173	0.024138496		-0.15	16.0	0.57231	0.427048448	0.572951552	0.46775
ENSMUSG00000073598	1700066B19Rik	0.477	0.7667	0.0	0.0	103.0	0.210847976	1.906445851	0.032207029	138.0	0.17	23.0	0.531078	0.465042543	0.534957457	0.4535
ENSMUSG00000038323	1700066M21Rik	0.4233	0.4019	0.0654	52.0	405117.0	0.501909855	2.389906388	0.069698911	27.0	0.53	11.0	0.589698	0.413261051	0.586738949	0.45875
ENSMUSG00000021545	1700067P10Rik	0.9997	0.423	0.0	385.0	50736.0	0.227654698	2.177361031	0.234853217		0.06	2.0	0.513125	0.442424242	0.557575758	0.48125
ENSMUSG00000042184	1700069L16Rik	0.9822	0.2316	0.0	202.0	74346.0	0.113063407	3.094979326	0.020246044		0.21	31.0	0.509072	0.490440828	0.509559172	0.50175
ENSMUSG00000033029	1700088E04Rik	0.652	0.5056	0.1038	110.0	245.0	0.486631016	2.870778372	0.207916288	450.0	0.55	11.0	0.514182	0.470808383	0.529191617	0.487
ENSMUSG00000020286	1700093K21Rik	0.9885	0.8705	0.0	494.0	22012.0	0.154316272	2.816243022	0.161186848	1090.0	0.23	5.0	0.573797	0.410743802	0.589256198	0.45475
ENSMUSG00000032611	1700102P08Rik	0.8473	0.908	0.3347	61.0	44952.0	0.145912911	2.042687571	0.042634162	61.0	0.44	20.0	0.541423	0.456559066	0.543440934	0.481
ENSMUSG00000008307	1700109H08Rik	0.8142	0.0	0.0	188.0	27733.0	0.115355233	1.796920257	0.040072004	122.0	1.02	11.0	0.56841	0.432143156	0.567856844	0.43025
ENSMUSG00000040822	1700123O20Rik	0.1765	0.2254	0.1226	908.0	44851.0	0.38961039	1.484135181	0.199911641	1177.0	0.85	10.0	0.52563	0.426388371	0.573611629	0.45575
ENSMUSG00000018479	1700125H20Rik	0.9635	0.4636	0.0	135.0	30365.0	0.05500382	3.854328419	0.067485805	811.0	0.44	9.0	0.534724	0.463053207	0.536946793	0.463
ENSMUSG00000071653	1810009A15Rik	0.3014	0.457	0.0682	74.0	4923.0	0.412528648	2.183060246	1.197536946	87.0	0.76	5.0	0.526861	0.439084219	0.560915781	0.4685
ENSMUSG00000078607	1810010H24Rik	0.5728	0.5383	0.1092	98.0	26139.0	0.323147441	2.409701574	0.129859214	21.0	0.71	14.0	0.477091	0.489126907	0.510873093	0.49775
ENSMUSG00000022507	1810013L24Rik	0.3458	0.3296	0.1202	361.0	37791.0	0.741023682	3.741071167	0.025846517	288.0	2.1	26.0	0.591541	0.40184235	0.59815765	0.5525
ENSMUSG00000044145	1810024B03Rik	0.1731	0.7547	0.0	345.0	64838.0	0.143621085	2.170018692	0.03835454	406.0	-0.19	12.0	0.600748	0.396515005	0.603484995	0.437
ENSMUSG00000044148	1810030O07Rik	0.1593	0.3512	0.1228	128.0	85868.0	0.377387319	1.780294384	0.02543771	131.0	0.92	16.0	0.558329	0.437822385	0.562177615	0.4455
ENSMUSG00000054091	1810037I17Rik	0.2317	0.2266	0.1163	258.0	4842.0	0.337662338	3.521091641	0.344427635	84.0	0.02	5.0	0.572654	0.367396594	0.632603406	0.4355
ENSMUSG00000035372	1810055G02Rik	0.4289	0.3789	0.1347	418.0	21771.0	0.211611917	1.773066562	0.042827225	2812.0	0.19	11.0	0.501623	0.484283292	0.515716708	0.48175
ENSMUSG00000073155	1810058I24Rik	0.1637	0.224	0.1888	115.0	75233.0	0.815889992	1.667447934	0.045739579	155.0	1.14	18.0	0.549018	0.444484499	0.555515501	0.4865
ENSMUSG00000027713	1810062G17Rik	0.4575	0.7702	0.0	199.0	42.0	0.158899924	3.617180094	0.257071025	331.0	0.11	5.0	0.550369	0.439104916	0.560895084	0.50125
ENSMUSG00000042041	2010003K11Rik	0.948	0.6885	0.0	65.0	21136.0	0.205500382	2.204564229	0.22426266	82.0	0.11	4.0	0.463252	0.511923688	0.488076312	0.514
ENSMUSG00000029384	2010109A12Rik	0.8379	0.0	0.0	163.0	22.0	0.097784568	3.731198753	0.273889927	391.0	-0.03	7.0	0.58077	0.417225776	0.582774224	0.492
ENSMUSG00000026090	2010300C02Rik	0.6349	0.6802	0.0781	528.0	179069.0	0.678380443	4.140866327	0.006899732	111.0	0.9	126.0	0.526921	0.467916165	0.532083835	0.52475
ENSMUSG00000074829	2010315B03Rik	0.3043	0.5189	0.0911	135.0	146542.0	0.341482047	2.403124712	0.02809419	277.0	0.31	10.0	0.617815	0.382922824	0.617077176	0.42425
ENSMUSG00000030587	2200002D01Rik	0.8409	0.7034	0.0959	89.0	10138.0	0.281894576	2.472750091	0.219192449	169.0	0.22	4.0	0.413431	0.606818182	0.393181818	0.53825
ENSMUSG00000013083	2200002J24Rik	0.8652	0.0	0.0	0.0	27320.0	0.17723453	3.127789356	0.314516129	212.0	0.07	4.0	0.494724	0.498498498	0.501501502	0.49
ENSMUSG00000074217	2210011C24Rik	0.8069	0.0	0.0	475.0	10657.0	0.12223071	2.628740935	0.124871001	16.0	0.35	12.0	0.386164	0.571672355	0.428327645	0.5725
ENSMUSG00000021550	2210016F16Rik	0.2169	0.3365	0.0802	72.0	26103.0	0.479755539	2.620443766	0.112014787	64.0	0.92	15.0	0.533001	0.421119593	0.578880407	0.458
ENSMUSG00000029559	2210016L21Rik	0.1878	0.296	0.1044	51.0	18918.0	0.695187166	1.936585448	0.05991871	13.0	0.54	13.0	0.482166	0.49651325	0.50348675	0.4575
ENSMUSG00000071252	2210408I21Rik	0.3461	0.6915	0.1088	94.0	66.0	0.863254393	2.444030831	0.002366983	352.0	1.13	263.0	0.616274	0.383369189	0.616630811	0.41475
ENSMUSG00000032403	2300009A05Rik	0.3442	0.3412	0.1035	21.0	21339.0	0.171886937	2.31244837	0.125938282	18.0	1.35	8.0	0.608759	0.365714286	0.634285714	0.44275
ENSMUSG00000098332	2310009A05Rik	0.1701	0.2996	0.1681	221.0	54289.0	0.09854851	2.143552656	0.337251061	468.0	0.49	5.0	0.561071	0.435307872	0.564692128	0.475
ENSMUSG00000079283	2310009B15Rik	0.1532	0.3186	0.1332	36.0	8275.0	0.110771581	2.327168062	0.083761035	66.0	0.54	9.0	0.56037	0.424390244	0.575609756	0.45775
ENSMUSG00000020133	2310011J03Rik	0.1588	0.2417	0.0845	226.0	24561.0	0.184110008	1.656257658	0.30809628	223.0	-0.01	6.0	0.42951	0.525984252	0.474015748	0.57125
ENSMUSG00000049643	2310022A10Rik	0.1871	0.3931	0.1255	199.0	14.0	0.45683728	1.740837061	0.040425385	506.0	1.38	32.0	0.505179	0.486929603	0.513070397	0.48475
ENSMUSG00000031983	2310022B05Rik	0.3396	0.2697	0.0843	187.0	87259.0	0.556913675	2.351007186	0.01560746	162.0	1.19	40.0	0.490766	0.500884519	0.499115481	0.53375
ENSMUSG00000032062	2310030G06Rik	0.6546	0.4688	0.0661	64.0	7019.0	0.280366692	1.845634988	0.070687893	118.0	0.55	8.0	0.554923	0.441581678	0.558418322	0.437
ENSMUSG00000020441	2310033P09Rik	0.1238	0.2068	0.1016	109.0	5829.0	0.203208556	2.02222605	0.20752377	65.0	1.05	9.0	0.436725	0.546337158	0.453662842	0.52425
ENSMUSG00000099655	2310034G01Rik	0.3289	0.7952	0.1546	151.0	9182.0	0.352177235	1.670822515	0.589633856		0.12	8.0	0.426261	0.534979424	0.465020576	0.53075
ENSMUSG00000062619	2310039H08Rik	0.2184	0.3189	0.0983	179.0	8922.0	0.062643239	2.156555478	0.269986894	189.0	-0.04	4.0	0.41601			0.51975
ENSMUSG00000040177	2310057M21Rik	0.2506	0.3686	0.0646	89.0	28896.0	2.687547746	2.304449553	0.068334624	77.0	0.42	26.0	0.576569	0.415376822	0.584623178	0.47975
ENSMUSG00000050705	2310061I04Rik	0.3014	0.2804	0.0938	170.0	17613.0	0.189457601	2.136414121	0.200168209	456.0	1.14	19.0	0.484332	0.49220104	0.50779896	0.535
ENSMUSG00000045411	2410002F23Rik	0.2264	0.3323	0.1193	341.0	26.0	0.31092437	1.538940597	0.176638685	2085.0	-0.15	16.0	0.493391	0.481471239	0.518528761	0.49775
ENSMUSG00000036873	2410004B18Rik	0.1574	0.2481	0.0669	46.0	13752.0	0.193277311	2.564939451	0.059116914	60.0	1.29	13.0	0.542107	0.448851775	0.551148225	0.5115
ENSMUSG00000032840	2410131K14Rik	0.2245	0.2458	0.1542	122.0	110.0	1.205500382	1.673891191	0.064213149	125.0	1.34	29.0	0.494513	0.502957025	0.497042975	0.53025
ENSMUSG00000071632	2510002D24Rik	0.1786	0.2351	0.1144	19.0	24605.0	0.424751719	1.945898522	0.328404018	55.0	0.36	4.0	0.505721	0.476976542	0.523023458	0.4675
ENSMUSG00000043391	2510009E07Rik	0.5001	0.4553	0.0739	261.0	271548.0	0.851795264	2.842833511	0.012581649	282.0	0.32	45.0	0.563359	0.432286131	0.567713869	0.513
ENSMUSG00000044496	2510039O18Rik	0.2726	0.2822	0.0812	131.0	4127.0	0.377387319	2.032849542	0.082697399	76.0	1.21	18.0	0.45919	0.486310653	0.513689347	0.53
ENSMUSG00000052419	2610001J05Rik	0.2411	0.3822	0.1167	203.0	31576.0	0.572192513	1.924267447	0.111756935	249.0	0.39	4.0	0.596195	0.349258649	0.650741351	0.38
ENSMUSG00000031242	2610002M06Rik	0.1752	0.4584	0.063	185.0	23745.0	1.171122995	3.377203591	0.084263808	187.0	1.27	22.0	0.624107	0.372900296	0.627099704	0.40625
ENSMUSG00000060301	2610008E11Rik	0.3105	0.5818	0.0602	123.0	68860.0	0.603514133	2.981923004	0.014325268	199.0	0.24	18.0	0.60496	0.392716739	0.607283261	0.4135
ENSMUSG00000091474	2610021A01Rik	0.2793	0.0	0.0	347.0	25598.0	0.533995416	2.583763285	0.017729043		0.15	19.0	0.603423	0.396454153	0.603545847	0.442
ENSMUSG00000071302	2610044O15Rik8	0.2174	0.4437	0.0518	140.0	102385.0	0.220779221	2.265099802	0.022832599	226.0	0.0	6.0	0.603516	0.397248225	0.602751775	0.44
ENSMUSG00000059482	2610301B20Rik	0.2748	0.4037	0.0402	118.0	1030126.0	0.220015279	3.04965532	0.020381143	112.0	0.81	23.0	0.573905	0.425596282	0.574403718	0.48375
ENSMUSG00000049916	2610318N02Rik	0.8574	0.7715	0.0	187.0	13883.0	0.136745607	1.931475322	0.079792217	1389.0	0.5	15.0	0.5132	0.479217835	0.520782165	0.48525
ENSMUSG00000010277	2610507B11Rik	0.3427	0.1941	0.2188	99.0	15764.0	0.951871658	2.494220911	0.021334811	82.0	2.21	32.0	0.553304	0.426478137	0.573521863	0.4895
ENSMUSG00000096001	2610528A11Rik	0.791	0.7349	0.0	0.0	15675.0	0.097784568	2.041455293	0.031386738	103.0	-0.04	7.0	0.542624	0.454911433	0.545088567	0.45775
ENSMUSG00000028536	2610528J11Rik	0.8031	0.4938	0.0	191.0	37181.0	0.155844156	1.842138435	0.13759625	830.0	0.43	5.0	0.473543	0.522682446	0.477317554	0.51625
ENSMUSG00000034601	2700049A03Rik	0.2616	0.6434	0.1342	993.0	174.0	0.938884645	2.04771155	0.010868238	1003.0	0.82	96.0	0.58581	0.412064394	0.587935606	0.44425
ENSMUSG00000024273	2700062C07Rik	0.1797	0.3985	0.0631	55.0	265506.0	0.18487395	3.090406477	0.091942446	20.0	0.51	9.0	0.558785	0.432017922	0.567982078	0.463
ENSMUSG00000053080	2700081O15Rik	0.5073	0.4368	0.0631	155.0	34630.0	0.852559206	2.524362282	0.069073783	17.0	0.9	33.0	0.420169	0.533576421	0.466423579	0.58725
ENSMUSG00000062198	2700097O09Rik	0.2447	0.508	0.0963	34.0	93581.0	0.135217723	1.571054334	0.027081942	97.0	1.26	30.0	0.586415	0.412595592	0.587404408	0.44175
ENSMUSG00000031984	2810004N23Rik	0.2368	0.3521	0.1215	0.0	69923.0	0.292589763	2.032016234	0.046872003	123.0	0.02	30.0	0.538704	0.460127558	0.539872442	0.4865
ENSMUSG00000047635	2810006K23Rik	0.1981	0.3208	0.1235	152.0	125.0	0.304812834	1.902000822	0.063063718	387.0	0.15	18.0	0.523969	0.473902237	0.526097763	0.49375
ENSMUSG00000020491	2810021J22Rik	0.3529	0.4741	0.0733	273.0	20058.0	0.424751719	1.711831322	0.023267388	255.0	0.21	25.0	0.553039	0.442369132	0.557630868	0.45975
ENSMUSG00000018570	2810408A11Rik	0.7594	0.8041	0.1116	225.0	5436.0	0.301757066	2.383254424	0.195074709	1169.0	0.25	6.0	0.468586	0.510791367	0.489208633	0.559
ENSMUSG00000026227	2810459M11Rik	0.6887	0.7915	0.1733	101.0	27795.0	0.479755539	1.759305723	0.043355915	89.0	0.34	18.0	0.51157	0.45265847	0.54734153	0.5245
ENSMUSG00000051339	2900026A02Rik	0.4869	0.405	0.1693	231.0	139652.0	1.422459893	2.412802401	0.004158174	709.0	0.52	204.0	0.468721	0.528890885	0.471109115	0.553
ENSMUSG00000079737	3110001I22Rik	0.1958	0.5402	0.1084	0.0	71.0	0.35828877	2.024153587	0.170097508		0.16	10.0	0.560526	0.438696109	0.561303891	0.46875
ENSMUSG00000026388	3110009E18Rik	0.3572	0.473	0.1111	638.0	108.0	0.190221543	1.833903727	0.011103815	2635.0	1.07	65.0	0.542483	0.457361052	0.542638948	0.50825
ENSMUSG00000094958	3110021N24Rik	0.6025	0.6111	0.0842	348.0	99709.0	0.730328495	2.335196116	0.026133607		1.12	37.0	0.604231	0.391800675	0.608199325	0.409
ENSMUSG00000025102	3110040N11Rik	0.1389	0.3448	0.1173	95.0	26554.0	0.126814362	2.310755337	0.06631954	162.0	0.74	10.0	0.559956	0.43400936	0.56599064	0.44625
ENSMUSG00000053553	3110082I17Rik	0.275	0.3697	0.0497	62.0	37377.0	0.339954163	2.881127895	0.005060026	144.0	0.05	150.0	0.477016	0.522413147	0.477586853	0.483
ENSMUSG00000063364	3300002I08Rik	0.3522	0.641	0.0	122.0	39064.0	0.156608098	2.019506938	0.018077635	207.0	0.31	33.0	0.59148	0.407397276	0.592602724	0.454
ENSMUSG00000031125	3830403N18Rik	0.4925	0.7104	0.0	112.0	909696.0	0.13368984	2.711123581	0.031604442	79.0	0.11	7.0	0.629172	0.37227287	0.62772713	0.38225
ENSMUSG00000033111	3830406C13Rik	0.2029	0.4253	0.1014	118.0	64017.0	0.715049656	2.301483601	0.048058762	1214.0	0.63	13.0	0.592528	0.408321792	0.591678208	0.427
ENSMUSG00000064202	4430402I18Rik	0.8845	0.8783	0.2463	99.0	3778.0	0.281130634	2.012198843	0.016429947		0.68	67.0	0.558175	0.440689239	0.559310761	0.43825
ENSMUSG00000062822	4833420G17Rik	0.1931	0.2837	0.0789	447.0	33846.0	0.347593583	1.960180071	0.015331249	1974.0	1.04	32.0	0.588437	0.405725283	0.594274717	0.435
ENSMUSG00000032057	4833427G06Rik	0.9813	0.4707	0.0	109.0	25012.0	0.346065699	2.890043277	0.09802051	197.0	0.57	16.0	0.596069	0.402531139	0.597468861	0.49475
ENSMUSG00000025871	4833439L19Rik	0.2815	0.3349	0.1701	424.0	61657.0	0.482811306	2.326247223	0.035234545	680.0	1.03	13.0	0.52736	0.465059612	0.534940388	0.4925
ENSMUSG00000029828	4921507P07Rik	0.918	0.9024	0.2664	214.0	30094.0	0.333078686	2.097254052	0.021129779	292.0	0.83	20.0	0.582915	0.414069584	0.585930416	0.49675
ENSMUSG00000036934	4921524J17Rik	0.1945	0.3918	0.0612	110.0	51855.0	0.349885409	3.501365258	0.036010965	250.0	1.6	25.0	0.596719	0.403504091	0.596495909	0.46625
ENSMUSG00000027309	4930402H24Rik	0.4228	0.2786	0.0891	89.0	142615.0	1.049656226	2.052217743	0.003874985	370.0	1.75	100.0	0.559324	0.438459786	0.561540214	0.48375
ENSMUSG00000020234	4930404N11Rik	0.9139	0.6785	0.1168	31.0	8326.0	0.093964859	1.723221485	0.802118172	87.0	0.28	6.0	0.390407	0.582577132	0.417422868	0.5925
