ts_id	Geneid	length	Total_num_exons	Total_exons_len	avg_exon_length	Total_num_introns	Total_introns_len	avg_intron_length	Total_num_utr_5	Total_utr_5_len	avg_utr_5_length	Total_num_utr_3	Total_utr_3_len	avg_utr_3_length
ENST00000394391	ENSG00000005194	19200	9	2030	225.56	8	17186	2148.25	2	101	50.5	1	984	984
ENST00000613503	ENSG00000005206	26413	15	3706	247.07	14	22735	1623.93	1	27	27	1	1887	1887
ENST00000378561	ENSG00000005238	7453	8	5779	722.38	7	1688	241.14	2	3058	1529	1	1099	1099
ENST00000621465	ENSG00000005243	11632	9	923	102.56	8	10725	1340.62	1	21	21	1	262	262
ENST00000265717	ENSG00000005249	117108	11	3700	336.36	10	113428	11342.8	1	204	204	1	2230	2230
ENST00000648207	ENSG00000005302	15997	10	6554	655.4	9	9461	1051.22	0	0	0	0	0	0
ENST00000262367	ENSG00000005339	155661	31	10821	349.06	30	144900	4830	1	798	798	1	2665	2665
ENST00000343736	ENSG00000005379	27566	32	7730	241.56	31	19898	641.87	1	876	876	2	1251	625.5
ENST00000225275	ENSG00000005381	11082	12	3228	269	11	7876	716	1	178	178	1	802	802
ENST00000222381	ENSG00000005421	26858	9	2402	266.89	8	24472	3059	1	58	58	1	1269	1269
ENST00000321027	ENSG00000005436	48212	17	4384	257.88	16	43860	2741.25	1	61	61	1	1962	1962
ENST00000468778	ENSG00000005448	3991	6	2362	393.67	5	1639	327.8	0	0	0	0	0	0
ENST00000331536	ENSG00000005469	54132	18	3223	179.06	17	50943	2996.65	3	219	73	1	1151	1151
ENST00000649586	ENSG00000005471	73986	28	4321	154.32	27	69719	2582.19	2	55	27.5	1	401	401
ENST00000311117	ENSG00000005483	100816	27	7809	289.22	26	93059	3579.19	3	522	174	1	1687	1687
ENST00000318622	ENSG00000005486	9929	5	1883	376.6	4	8054	2013.5	3	632	210.67	1	578	578
ENST00000566034	ENSG00000005513	4894	2	4155	2077.5	1	741	741	0	0	0	0	0	0
ENST00000306270	ENSG00000005700	77759	29	6069	209.28	28	71746	2562.36	2	542	271	1	1439	1439
ENST00000649622	ENSG00000005801	21080	5	9948	1989.6	4	11140	2785	0	0	0	0	0	0
ENST00000682321	ENSG00000005810	284622	85	17567	206.67	84	267223	3181.23	1	320	320	1	2905	2905
ENST00000355619	ENSG00000005812	21901	5	3511	702.2	4	18398	4599.5	2	336	168	1	1886	1886
ENST00000676652	ENSG00000005844	44093	26	7550	290.38	25	36593	1463.72	0	0	0	20	6616	330.8
ENST00000503176	ENSG00000005882	16803	11	3375	306.82	10	13448	1344.8	1	86	86	1	2056	2056
ENST00000505306	ENSG00000005884	34414	24	5503	229.29	23	28957	1259	0	0	0	0	0	0
ENST00000304543	ENSG00000005889	66528	10	7622	762.2	9	58924	6547.11	4	319	79.75	1	4880	4880
ENST00000200639	ENSG00000005893	43150	9	6544	727.11	8	36622	4577.75	1	128	128	1	5176	5176
ENST00000262407	ENSG00000005961	17470	30	3509	116.97	29	14019	483.41	1	177	177	1	184	184
ENST00000325885	ENSG00000005981	54292	5	3789	757.8	4	50511	12627.75	1	30	30	1	2475	2475
ENST00000353258	ENSG00000006007	20407	6	2913	485.5	5	17504	3500.8	1	135	135	1	1778	1778
ENST00000595077	ENSG00000006015	2466	1	2466	2466	0	0	0	0	0	0	0	0	0
ENST00000684169	ENSG00000006016	13564	9	1755	195	8	11825	1478.12	1	144	144	1	323	323
ENST00000583167	ENSG00000006025	9630	11	4508	409.82	10	5142	514.2	0	0	0	0	0	0
ENST00000579849	ENSG00000006042	16164	8	4226	528.25	7	11952	1707.43	3	218	72.67	1	3323	3323
ENST00000571485	ENSG00000006047	6328	6	4559	759.83	5	1779	355.8	0	0	0	0	0	0
ENST00000007735	ENSG00000006059	4738	7	1310	187.14	6	3440	573.33	1	62	62	1	28	28
ENST00000376926	ENSG00000006062	27850	15	4598	306.53	14	23280	1662.86	1	232	232	1	1509	1509
ENST00000647086	ENSG00000006071	83938	38	6603	173.76	37	77409	2092.14	1	64	64	26	4446	171
ENST00000005284	ENSG00000006116	106079	4	1921	480.25	3	104164	34721.33	1	421	421	1	550	550
ENST00000544098	ENSG00000006118	7551	5	3986	797.2	4	3573	893.25	0	0	0	0	0	0
ENST00000621914	ENSG00000006125	139137	21	5723	272.52	20	133454	6672.7	2	180	90	1	2711	2711
ENST00000319273	ENSG00000006128	8388	7	1068	152.57	6	7332	1222	2	121	60.5	1	553	553
ENST00000219069	ENSG00000006194	7971	6	3288	548	5	4693	938.6	1	329	329	1	903	903
ENST00000565912	ENSG00000006210	8072	2	5798	2899	1	2276	2276	1	2707	2707	1	2011	2011
ENST00000504334	ENSG00000006282	12794	18	3557	197.61	17	9271	545.35	3	798	266	15	2627	175.13
ENST00000359106	ENSG00000006283	66761	38	8640	227.37	37	58195	1572.84	1	746	746	1	724	724
ENST00000571351	ENSG00000006327	1995	3	1681	560.33	2	318	159	0	0	0	0	0	0
ENST00000518156	ENSG00000006377	5489	3	2303	767.67	2	3190	1595	1	426	426	1	994	994
ENST00000554752	ENSG00000006432	86989	12	11523	960.25	11	75488	6862.55	1	343	343	1	7855	7855
ENST00000005257	ENSG00000006451	84550	5	2792	558.4	4	81766	20441.5	2	293	146.5	1	1876	1876
ENST00000005260	ENSG00000006453	109442	14	3659	261.36	13	105809	8139.15	1	239	239	1	1872	1872
ENST00000397560	ENSG00000006459	92239	20	9240	462	19	83037	4370.37	1	47	47	1	6349	6349
ENST00000430479	ENSG00000006468	98439	14	6473	462.36	13	91992	7076.31	3	391	130.33	1	4638	4638
ENST00000649365	ENSG00000006530	102651	16	3890	243.12	15	98791	6586.07	2	48	24	13	3595	276.54
ENST00000615368	ENSG00000006534	18957	9	5893	654.78	8	13080	1635	0	0	0	0	0	0
ENST00000371276	ENSG00000006555	21613	7	3408	486.86	6	18217	3036.17	1	161	161	1	1532	1532
ENST00000416283	ENSG00000006576	158713	20	5218	260.9	19	153533	8080.68	2	217	108.5	1	2626	2626
ENST00000394905	ENSG00000006606	20365	4	707	176.75	3	19664	6554.67	2	260	130	1	161	161
ENST00000413432	ENSG00000006607	12921	4	6069	1517.25	3	6858	2286	0	0	0	1	4617	4617
ENST00000005226	ENSG00000006611	50518	27	3268	121.04	26	47302	1819.31	1	110	110	1	433	433
ENST00000275428	ENSG00000006625	8210	4	1162	290.5	3	7054	2351.33	1	121	121	1	472	472
ENST00000265728	ENSG00000006634	33062	12	3667	305.58	11	29417	2674.27	1	241	241	1	1391	1391
ENST00000375190	ENSG00000006638	12370	3	2645	881.67	2	9729	4864.5	2	431	215.5	1	1182	1182
ENST00000675578	ENSG00000006652	54271	13	3663	281.77	12	50632	4219.33	2	659	329.5	1	1638	1638
ENST00000360675	ENSG00000006659	4834	5	778	155.6	4	4064	1016	2	268	134	0	0	0
ENST00000664217	ENSG00000006695	162248	14	4962	354.43	13	157312	12100.92	1	117	117	8	3508	438.5
ENST00000476977	ENSG00000006704	96601	26	5894	226.69	25	90757	3630.28	2	1693	846.5	1	1295	1295
ENST00000221265	ENSG00000006712	5479	14	2214	158.14	13	3291	253.15	1	243	243	1	363	363
ENST00000310301	ENSG00000006715	186219	29	5883	202.86	28	180392	6442.57	1	18	18	1	3273	3273
ENST00000584974	ENSG00000006740	4429	1	4429	4429	0	0	0	0	0	0	0	0	0
ENST00000338034	ENSG00000006744	26417	24	3791	157.96	23	22672	985.74	1	81	81	1	1207	1207
ENST00000297029	ENSG00000006747	89464	16	9698	606.12	15	79796	5319.73	1	68	68	1	7468	7468
ENST00000381154	ENSG00000006756	25369	10	5155	515.5	9	20232	2248	1	65	65	1	3300	3300
ENST00000381042	ENSG00000006757	29168	7	3349	478.43	6	25831	4305.17	2	143	71.5	1	2440	2440
ENST00000418404	ENSG00000006788	72267	40	6107	152.68	39	66238	1698.41	2	166	83	1	87	87
ENST00000357103	ENSG00000006831	97606	8	3979	497.38	7	93641	13377.29	2	210	105	1	2603	2603
ENST00000265334	ENSG00000006837	68749	13	2235	171.92	12	66538	5544.83	2	218	109	1	228	228
ENST00000605860	ENSG00000007001	259454	10	2445	244.5	9	257027	28558.56	2	48	24	1	1265	1265
ENST00000450020	ENSG00000007038	4541	6	1112	185.33	5	3439	687.8	1	90	90	1	115	115
ENST00000300843	ENSG00000007047	53993	18	5227	290.39	17	48800	2870.59	1	298	298	1	2846	2846
ENST00000505450	ENSG00000007062	116152	27	4376	162.07	26	111828	4301.08	2	615	307.5	2	1167	583.5
ENST00000597436	ENSG00000007080	8897	5	1060	212	4	7845	1961.25	2	109	54.5	1	277	277
ENST00000407170	ENSG00000007129	37327	8	1699	212.38	7	35642	5091.71	4	817	204.25	1	381	381
ENST00000675574	ENSG00000007168	13291	4	8096	2024	3	5201	1733.67	0	0	0	0	0	0
ENST00000313735	ENSG00000007171	43765	27	4233	156.78	26	39584	1522.46	2	266	133	1	481	481
ENST00000262442	ENSG00000007174	371280	69	13780	199.71	68	357636	5259.35	1	30	30	1	222	222
ENST00000528896	ENSG00000007202	30714	39	7467	191.46	38	23323	613.76	1	103	103	1	619	619
ENST00000444914	ENSG00000007216	24487	12	2867	238.92	11	21642	1967.45	1	421	421	1	510	510
ENST00000432992	ENSG00000007237	288002	14	8283	591.64	13	279745	21518.85	1	217	217	1	6623	6623
ENST00000006275	ENSG00000007255	15311	6	811	135.17	5	14510	2902	1	20	20	1	265	265
ENST00000310132	ENSG00000007264	8410	14	2112	150.86	13	6324	486.46	2	366	183	1	211	211
ENST00000006724	ENSG00000007306	15062	5	2494	498.8	4	12576	3144	1	203	203	2	1491	745.5
ENST00000392795	ENSG00000007312	3598	6	1260	210	5	2348	469.6	1	76	76	1	487	487
ENST00000435607	ENSG00000007314	34366	24	7829	326.21	23	26583	1155.78	1	78	78	1	2218	2218
ENST00000490715	ENSG00000007341	96267	17	4500	264.71	16	91799	5737.44	2	168	84	2	2651	1325.5
ENST00000369912	ENSG00000007350	25295	12	2578	214.83	11	22739	2067.18	1	282	282	1	663	663
ENST00000643871	ENSG00000007372	26541	13	6957	535.15	12	19608	1634	4	537	134.25	1	5143	5143
ENST00000561734	ENSG00000007376	3009	5	2164	432.8	4	853	213.25	1	245	245	1	977	977
ENST00000262316	ENSG00000007384	14574	18	3010	167.22	17	11598	682.24	2	145	72.5	1	282	282
ENST00000426094	ENSG00000007392	40472	10	2747	274.7	9	37743	4193.67	1	101	101	10	2518	251.8
ENST00000424201	ENSG00000007402	141023	38	5734	150.89	37	135363	3658.46	1	212	212	1	2054	2054
ENST00000628027	ENSG00000007516	14939	34	4766	140.18	33	10239	310.27	2	265	132.5	1	960	960
ENST00000007390	ENSG00000007520	2640	6	1216	202.67	5	1434	286.8	1	75	75	1	198	198
ENST00000321878	ENSG00000007541	14143	11	2969	269.91	10	11194	1119.4	2	140	70	1	1075	1075
ENST00000397412	ENSG00000007545	65550	21	7993	380.62	20	57597	2879.85	2	301	150.5	1	3864	3864
ENST00000338863	ENSG00000007866	23484	13	2999	230.69	12	20509	1709.08	2	233	116.5	1	1448	1448
ENST00000333360	ENSG00000007908	11441	14	3889	277.79	13	7578	582.92	2	159	79.5	2	1887	943.5
ENST00000377577	ENSG00000007923	67648	16	3217	201.06	15	64461	4297.4	1	17	17	1	1506	1506
ENST00000367755	ENSG00000007933	26916	9	2068	229.78	8	24864	3108	2	85	42.5	1	378	378
ENST00000356840	ENSG00000007944	19164	7	3079	439.86	6	16097	2682.83	1	238	238	1	1498	1498
ENST00000372966	ENSG00000007952	31037	13	2556	196.62	12	28505	2375.42	1	221	221	1	629	629
ENST00000361729	ENSG00000007968	24797	7	5203	743.29	6	19606	3267.67	1	441	441	1	3443	3443
ENST00000462957	ENSG00000008018	15221	5	1944	388.8	4	13285	3321.25	0	0	0	0	0	0
ENST00000295987	ENSG00000008056	47958	13	3223	247.92	12	44759	3729.92	1	130	130	1	964	964
ENST00000341776	ENSG00000008083	275975	18	6021	334.5	17	269988	15881.65	1	472	472	1	1792	1792
ENST00000674046	ENSG00000008086	214590	19	14714	774.42	18	199912	11106.22	2	252	126	1	11440	11440
ENST00000651530	ENSG00000008118	30212	14	3103	221.64	13	27135	2087.31	5	1026	205.2	2	927	463.5
ENST00000404249	ENSG00000008128	21980	20	3004	150.2	19	19014	1000.74	2	115	57.5	1	529	529
ENST00000378625	ENSG00000008130	28839	14	3667	261.93	13	25198	1938.31	2	207	103.5	1	1673	1673
ENST00000393655	ENSG00000008196	28750	7	5638	805.43	6	23124	3854	1	22	22	1	4228	4228
ENST00000008391	ENSG00000008197	59509	8	2066	258.25	7	57457	8208.14	1	531	531	1	170	170
ENST00000308059	ENSG00000008226	84819	37	6936	187.46	36	77955	2165.42	1	19	19	1	1614	1614
ENST00000396741	ENSG00000008256	110870	13	4521	347.77	12	106373	8864.42	1	138	138	1	3169	3169
ENST00000413139	ENSG00000008277	268640	32	9540	298.12	31	259162	8360.06	1	216	216	1	6399	6399
ENST00000455385	ENSG00000008282	21809	5	2135	427	4	19682	4920.5	1	105	105	1	1301	1301
ENST00000584031	ENSG00000008283	13881	6	3206	534.33	5	10685	2137	2	302	151	2	2317	1158.5
ENST00000262013	ENSG00000008294	158696	30	8306	276.87	29	150448	5187.86	1	213	213	1	4099	4099
ENST00000164024	ENSG00000008300	26425	35	11968	341.94	34	14525	427.21	1	253	253	1	1743	1743
ENST00000681708	ENSG00000008311	70745	22	8576	389.82	21	62211	2962.43	0	0	0	0	0	0
ENST00000449001	ENSG00000008323	15836	15	3126	208.4	14	12738	909.86	1	495	495	1	341	341
ENST00000011691	ENSG00000008324	6076	3	2700	900	2	3380	1690	1	39	39	1	2426	2426
ENST00000599840	ENSG00000008382	16518	13	1627	125.15	12	14915	1242.92	1	33	33	1	77	77
ENST00000359720	ENSG00000008394	55936	2	2154	1077	1	53784	53784	0	0	0	0	0	0
ENST00000552790	ENSG00000008405	58994	13	3847	295.92	12	55171	4597.58	0	0	0	0	0	0
ENST00000008938	ENSG00000008438	3902	3	711	237	2	3195	1597.5	1	33	33	1	86	86
ENST00000592199	ENSG00000008441	103323	11	6030	548.18	10	97313	9731.3	1	364	364	1	4148	4148
ENST00000521180	ENSG00000008513	117074	9	6960	773.33	8	110130	13766.25	4	1021	255.25	1	4912	4912
ENST00000612971	ENSG00000008516	14657	11	4424	402.18	10	10253	1025.3	1	857	857	7	2856	408
ENST00000532247	ENSG00000008517	3028	3	1384	461.33	2	1648	824	0	0	0	0	0	0
ENST00000262304	ENSG00000008710	47192	46	14186	308.39	45	33096	735.47	1	210	210	1	1020	1020
ENST00000329492	ENSG00000008735	13187	12	5712	476	11	7497	681.55	1	27	27	1	3200	3200
ENST00000394126	ENSG00000008838	34997	25	3921	156.84	24	31124	1296.83	1	420	420	1	433	433
ENST00000251822	ENSG00000008853	20653	10	5492	549.2	9	15179	1686.56	2	570	285	1	2731	2731
ENST00000233099	ENSG00000008869	103479	36	6973	193.69	35	96576	2759.31	2	128	64	1	596	596
ENST00000337002	ENSG00000008952	31568	8	6534	816.75	7	25048	3578.29	1	17	17	1	5311	5311
ENST00000676918	ENSG00000008988	6899	5	4716	943.2	4	2191	547.75	1	126	126	2	4228	2114
ENST00000610726	ENSG00000009307	41138	21	4333	206.33	20	36845	1842.25	3	525	175	1	1256	1256
ENST00000348165	ENSG00000009335	130446	23	5237	227.7	22	125253	5693.32	1	348	348	1	1616	1616
ENST00000422377	ENSG00000009413	184686	34	10998	323.47	33	173754	5265.27	2	460	230	32	10394	324.81
ENST00000422452	ENSG00000009694	587911	32	12923	403.84	31	575050	18550	1	65	65	1	4629	4629
ENST00000420770	ENSG00000009709	118022	9	6222	691.33	8	111816	13977	1	759	759	1	3938	3938
ENST00000400897	ENSG00000009724	20718	11	2466	224.18	10	18272	1827.2	1	33	33	1	363	363
ENST00000344419	ENSG00000009765	36959	5	8627	1725.4	4	28340	7085	1	21	21	1	7733	7733
ENST00000373954	ENSG00000009780	37157	9	3588	398.67	8	33585	4198.12	1	121	121	1	2536	2536
ENST00000476050	ENSG00000009790	11060	4	3306	826.5	3	7760	2586.67	0	0	0	0	0	0
ENST00000452340	ENSG00000009830	45748	20	5667	283.35	19	40119	2111.53	0	0	0	0	0	0
ENST00000367630	ENSG00000009844	77424	8	6999	874.88	7	70439	10062.71	1	26	26	1	6043	6043
ENST00000313375	ENSG00000009950	31322	16	3268	205.045	15	28080	1880.335	1	27	27	1	864.5	864.5
ENST00000339594	ENSG00000009954	81889	20	6135	306.75	19	75792	3989.05	1	361	361	2	1305	652.5
ENST00000011619	ENSG00000010017	90339	14	3398	242.71	13	86967	6689.77	1	331	331	1	865	865
ENST00000615781	ENSG00000010030	21607	8	1784	223	7	19837	2833.86	3	480	160	1	451	451
ENST00000391858	ENSG00000010072	16030	4	3563	890.75	3	12473	4157.67	1	1281	1281	1	1527	1527
ENST00000361735	ENSG00000010165	16058	8	3376	422	7	12696	1813.71	1	309	309	1	961	961
ENST00000540757	ENSG00000010219	25226	13	3285	252.69	12	21965	1830.42	3	163	54.33	1	1550	1550
ENST00000394670	ENSG00000010244	31730	12	13752	1146	11	18000	1636.36	1	130	130	1	12127	12127
ENST00000203407	ENSG00000010256	10646	13	1608	123.69	12	9062	755.17	1	27	27	1	127	127
ENST00000471550	ENSG00000010270	52348	7	3660	522.86	6	48700	8116.67	0	0	0	0	0	0
ENST00000677318	ENSG00000010278	37875	6	3351	558.5	5	34534	6906.8	0	0	0	0	0	0
ENST00000441594	ENSG00000010282	10137	12	1848	154	11	8311	755.55	2	235	117.5	1	89	89
ENST00000315579	ENSG00000010292	37855	32	4857	151.78	31	33060	1066.45	2	78	39	1	544	544
ENST00000488007	ENSG00000010295	16496	9	3010	334.44	8	13502	1687.75	0	0	0	0	0	0
ENST00000652180	ENSG00000010310	15465	15	3419	227.93	14	12074	862.43	5	442	88.4	1	1750	1750
ENST00000327906	ENSG00000010318	12983	11	2138	194.36	10	10865	1086.5	2	659	329.5	1	325	325
ENST00000231721	ENSG00000010319	12070	16	5009	313.06	15	7091	472.73	1	77	77	1	2569	2569
ENST00000489895	ENSG00000010322	34378	18	5368	298.22	17	29044	1708.47	0	0	0	0	0	0
ENST00000321725	ENSG00000010327	29159	69	7997	115.9	68	21298	313.21	1	77	77	1	140	140
ENST00000313777	ENSG00000010361	6428	11	1739	158.09	10	4709	470.9	1	187	187	1	286	286
ENST00000343164	ENSG00000010379	42216	15	2203	146.87	14	40041	2860.07	2	55	27.5	1	327	327
ENST00000340855	ENSG00000010404	28320	9	7589	843.22	8	20747	2593.38	1	170	170	1	5759	5759
ENST00000342836	ENSG00000010438	48542	6	926	154.33	5	47626	9525.2	2	92	46	1	51	51
ENST00000575285	ENSG00000010539	4309	1	4309	4309	0	0	0	0	0	0	0	0	0
