Geneid	Genename	length
ENSMUSG00000000957	Mmp14	13733
ENSMUSG00000000958	Slc7a7	48257
ENSMUSG00000000959	Oxa1l	8834
ENSMUSG00000000976	Heatr6	30060
ENSMUSG00000000982	Ccl3	1513
ENSMUSG00000000983	Wfdc18	2335
ENSMUSG00000001014	Icam4	1224
ENSMUSG00000001016	Ilf2	12234
ENSMUSG00000001017	Chtop	10535
ENSMUSG00000001018	Snapin	3001
ENSMUSG00000001020	S100a4	2276
ENSMUSG00000001021	S100a3	17821
ENSMUSG00000001023	S100a5	3259
ENSMUSG00000001025	S100a6	10423
ENSMUSG00000001027	Scn4a	30799
ENSMUSG00000001029	Icam2	9268
ENSMUSG00000001034	Mapk7	5486
ENSMUSG00000001034	Mapk7	5486
ENSMUSG00000001034	Mapk7	5486
ENSMUSG00000001036	Epn2	62439
ENSMUSG00000001036	Epn2	62439
ENSMUSG00000001039	B9d1	7789
ENSMUSG00000001052	Sec24b	78150
ENSMUSG00000001053	N4bp3	7781
ENSMUSG00000001054	Rmnd5b	12225
ENSMUSG00000001056	Nhp2	3981
ENSMUSG00000001062	Vps9d1	11994
ENSMUSG00000001065	Zfp276	15552
ENSMUSG00000001076	C1ql4	3733
ENSMUSG00000001082	Mfsd10	3568
ENSMUSG00000001089	Luzp1	79560
ENSMUSG00000001095	Slc13a2	25132
ENSMUSG00000001098	Kctd10	16943
ENSMUSG00000001100	Poldip2	10545
ENSMUSG00000001103	Sebox	1636
ENSMUSG00000001105	Ift20	5378
ENSMUSG00000001119	Col6a1	17378
ENSMUSG00000001120	Pcbp3	200029
ENSMUSG00000001123	Lgals9	21974
ENSMUSG00000001127	Araf	62685
ENSMUSG00000001128	Cfp	6103
ENSMUSG00000001131	Timp1	4569
ENSMUSG00000001134	Uxt	20271
ENSMUSG00000001138	Cnnm3	16372
ENSMUSG00000001138	Cnnm3	16372
ENSMUSG00000001143	Lman2l	23208
ENSMUSG00000001150	Mcm3ap	46932
ENSMUSG00000001151	Pcnt	91525
ENSMUSG00000001155	Ftcd	14688
ENSMUSG00000001156	Mxd1	22121
ENSMUSG00000001157	Gmcl1	41617
ENSMUSG00000001158	Snrnp27	9373
ENSMUSG00000001166	Oas1c	12322
ENSMUSG00000001168	Oas1h	12087
ENSMUSG00000001173	Ocrl	53483
ENSMUSG00000001175	Calm1	10381
ENSMUSG00000001211	Agpat3	83266
ENSMUSG00000001225	Slc26a3	60103
ENSMUSG00000001227	Sema6b	17260
ENSMUSG00000001228	Uhrf1	20167
ENSMUSG00000001229	Dpp9	32074
ENSMUSG00000001240	Ramp2	13157
ENSMUSG00000001247	Lsr	15691
ENSMUSG00000001248	Gramd1a	20957
ENSMUSG00000001249	Hpn	16567
ENSMUSG00000001260	Gabrg1	91572
ENSMUSG00000001270	Ckb	2979
ENSMUSG00000001280	Sp1	30026
ENSMUSG00000001281	Itgb7	15951
ENSMUSG00000001285	Myg1	6432
ENSMUSG00000001288	Rarg	22581
ENSMUSG00000001289	Pfdn5	5759
ENSMUSG00000001300	Efnb2	43810
ENSMUSG00000001305	Rrp15	28382
ENSMUSG00000001313	Rnd2	6856
ENSMUSG00000001323	Srr	19441
ENSMUSG00000001333	Sync	20944
ENSMUSG00000001334	Fndc5	7596
ENSMUSG00000001348	Acp5	8986
ENSMUSG00000001349	Cnn1	10364
ENSMUSG00000001366	Fbxo9	27565
ENSMUSG00000001376	Vps50	105151
ENSMUSG00000001380	Hars	16679
ENSMUSG00000001383	Zmat2	5792
ENSMUSG00000001403	Ube2c	8921
ENSMUSG00000001415	Smg5	26080
ENSMUSG00000001416	Cct3	24653
ENSMUSG00000001418	Glmp	6292
ENSMUSG00000001419	Mef2d	29716
ENSMUSG00000001420	Tmem79	5851
ENSMUSG00000001424	Snd1	454805
ENSMUSG00000001435	Col18a1	114372
ENSMUSG00000001436	Slc19a1	18213
ENSMUSG00000001440	Kpnb1	28169
ENSMUSG00000001441	Npepps	74796
ENSMUSG00000001444	Tbx21	17262
ENSMUSG00000001445	Mrpl10	7655
ENSMUSG00000001467	Cyp51	23603
ENSMUSG00000001472	Tcf25	30055
ENSMUSG00000001473	Tubb6	12034
ENSMUSG00000001482	Def8	29268
ENSMUSG00000001493	Meox1	16866
ENSMUSG00000001494	Sost	4559
ENSMUSG00000001496	Nkx2-1	4952
ENSMUSG00000001497	Pax9	20942
ENSMUSG00000001504	Irx2	5380
ENSMUSG00000001506	Col1a1	16820
ENSMUSG00000001507	Itga3	32329
ENSMUSG00000001508	Sgca	13538
ENSMUSG00000001510	Dlx3	5179
ENSMUSG00000001517	Foxm1	13181
ENSMUSG00000001518	Itfg2	15489
ENSMUSG00000001520	Nrip2	16136
ENSMUSG00000001521	Tulp3	34692
ENSMUSG00000001524	Gtf2h4	6011
ENSMUSG00000001525	Tubb5	4387
ENSMUSG00000001542	Ell2	65609
ENSMUSG00000001552	Jup	27132
ENSMUSG00000001555	Fkbp10	9129
ENSMUSG00000001558	Klhl10	15107
ENSMUSG00000001566	Mnx1	5438
ENSMUSG00000001569	Nom1	23181
ENSMUSG00000001576	Ergic1	95444
ENSMUSG00000001583	Tnk1	7727
ENSMUSG00000001588	Acap1	13974
ENSMUSG00000001604	Tcea3	26948
ENSMUSG00000001622	Csn3	7088
ENSMUSG00000001627	Ifrd1	34394
ENSMUSG00000001630	Stk38l	53819
ENSMUSG00000001632	Brpf1	17722
ENSMUSG00000001642	Akr1b3	13546
ENSMUSG00000001655	Hoxc13	7713
ENSMUSG00000001656	Hoxc11	3283
ENSMUSG00000001657	Hoxc8	3216
ENSMUSG00000001661	Hoxc6	12513
ENSMUSG00000001663	Gstt1	14773
ENSMUSG00000001665	Gstt3	7301
ENSMUSG00000001666	Ddt	2183
ENSMUSG00000001670	Tat	9368
ENSMUSG00000001672	Marveld3	14256
ENSMUSG00000001674	Ddx18	14156
ENSMUSG00000001687	Ubl3	48029
ENSMUSG00000001700	Gramd3	103229
ENSMUSG00000001707	Eef1e1	14853
ENSMUSG00000001729	Akt1	20457
ENSMUSG00000001739	Cldn15	9244
ENSMUSG00000001741	Il16	92700
ENSMUSG00000001750	Tcirg1	11085
ENSMUSG00000001751	Naglu	7662
ENSMUSG00000001755	Coasy	4056
ENSMUSG00000001761	Smo	25673
ENSMUSG00000001763	Tspan33	24339
ENSMUSG00000001767	Crnkl1	17537
ENSMUSG00000001768	Rin2	112114
ENSMUSG00000001773	Folh1	56968
ENSMUSG00000001774	Chordc1	25319
ENSMUSG00000001783	Rtcb	19188
ENSMUSG00000001785	Pwp1	49082
ENSMUSG00000001786	Fbxo7	29903
ENSMUSG00000001794	Capns1	11871
ENSMUSG00000001802	Lrp3	14622
ENSMUSG00000001804	Dsg4	35648
ENSMUSG00000001815	Evx2	6568
ENSMUSG00000001819	Hoxd13	3291
ENSMUSG00000001823	Hoxd12	2694
ENSMUSG00000001827	Folr1	12459
ENSMUSG00000001829	Clpb	131735
ENSMUSG00000001833	7-Sep	56134
ENSMUSG00000001844	Zdhhc4	12769
ENSMUSG00000001847	Rac1	24404
ENSMUSG00000001855	Nup214	77937
ENSMUSG00000001864	Aif1l	23305
ENSMUSG00000001865	Cpa3	26563
ENSMUSG00000001870	Ltbp1	386201
ENSMUSG00000001891	Ugp2	49530
ENSMUSG00000001901	Kcnh6	26378
ENSMUSG00000001909	Trmt1	10944
ENSMUSG00000001910	Nacc1	17425
ENSMUSG00000001911	Nfix	91730
ENSMUSG00000001918	Slc1a5	16936
ENSMUSG00000001924	Uba1	24855
ENSMUSG00000001930	Vwf	133733
ENSMUSG00000001942	Siae	91291
ENSMUSG00000001943	Vsig2	4948
ENSMUSG00000001946	Esam	10243
ENSMUSG00000001948	Spa17	10434
ENSMUSG00000001962	Fam50a	7118
ENSMUSG00000001964	Emd	6720
ENSMUSG00000001983	Taco1	7553
ENSMUSG00000001985	Grik3	223475
ENSMUSG00000001986	Gria3	277299
ENSMUSG00000001988	Npas1	21061
ENSMUSG00000001995	Sipa1l2	151734
ENSMUSG00000001998	Ap4e1	59181
ENSMUSG00000001999	Blvra	26419
ENSMUSG00000002006	Pdzd4	31612
ENSMUSG00000002006	Pdzd4	31612
ENSMUSG00000002007	Srpk3	4522
ENSMUSG00000002007	Srpk3	4522
ENSMUSG00000002010	Idh3g	7936
ENSMUSG00000002010	Idh3g	7936
ENSMUSG00000002012	Pnck	4124
ENSMUSG00000002014	Ssr4	3798
ENSMUSG00000002015	Bcap31	29999
ENSMUSG00000002017	Fam98a	14862
ENSMUSG00000002020	Ltbp2	93322
ENSMUSG00000002028	Kmt2a	77944
ENSMUSG00000002028	Kmt2a	77944
ENSMUSG00000002031	Ift46	20539
ENSMUSG00000002032	Tmem25	5533
ENSMUSG00000002033	Cd3g	10861
ENSMUSG00000002043	Trappc6a	7470
ENSMUSG00000002052	Supt6	39243
ENSMUSG00000002055	Spag5	20930
ENSMUSG00000002057	Foxn1	28983
ENSMUSG00000002058	Unc119	5684
ENSMUSG00000002059	Rab34	3760
ENSMUSG00000002064	Sdf2	9752
ENSMUSG00000002068	Ccne1	9552
ENSMUSG00000002076	Hsf2bp	91582
ENSMUSG00000002083	Bbc3	8591
ENSMUSG00000002100	Mybpc3	18374
ENSMUSG00000002102	Psmc3	12316
ENSMUSG00000002103	Acp2	11191
ENSMUSG00000002103	Acp2	11191
ENSMUSG00000002104	Rapsn	10111
ENSMUSG00000002105	Slc39a13	8628
ENSMUSG00000002107	Celf2	856308
ENSMUSG00000002108	Nr1h3	11061
ENSMUSG00000002109	Ddb2	25341
ENSMUSG00000002111	Spi1	31978
ENSMUSG00000002129	Sf3a1	22193
ENSMUSG00000002147	Stat6	17973
ENSMUSG00000002190	Clgn	38687
ENSMUSG00000002204	Napsa	14484
ENSMUSG00000002205	Vrk3	29104
ENSMUSG00000002210	Smg9	23161
ENSMUSG00000002221	Paxip1	51472
ENSMUSG00000002222	Rmnd5a	52005
ENSMUSG00000002227	Mov10	23729
ENSMUSG00000002227	Mov10	23729
ENSMUSG00000002227	Mov10	23729
ENSMUSG00000002228	Ppm1j	4964
ENSMUSG00000002233	Rhoc	5909
ENSMUSG00000002240	Prr27	20703
ENSMUSG00000002240	Prr27	20703
ENSMUSG00000002249	Tead3	19105
ENSMUSG00000002250	Ppard	68776
ENSMUSG00000002257	Def6	20832
ENSMUSG00000002265	Peg3	26531
ENSMUSG00000002265	Peg3	26531
ENSMUSG00000002266	Zim1	25183
ENSMUSG00000002274	Metrn	3864
ENSMUSG00000002279	Lmf1	83654
ENSMUSG00000002280	Ciao3	9558
ENSMUSG00000002289	Angptl4	8082
ENSMUSG00000002297	Dbf4	25709
ENSMUSG00000002307	Daxx	6147
ENSMUSG00000002308	Cd320	6685
ENSMUSG00000002319	Ipo4	10286
ENSMUSG00000002320	Tm9sf1	7843
ENSMUSG00000002324	Rec8	7360
ENSMUSG00000002325	Irf9	6461
ENSMUSG00000002326	Gmpr2	6967
ENSMUSG00000002329	Mdp1	2631
ENSMUSG00000002332	Dhrs1	6672
ENSMUSG00000002341	Ncan	27790
ENSMUSG00000002342	Tmem161a	11278
ENSMUSG00000002343	Armc6	14296
ENSMUSG00000002345	Borcs8	7759
ENSMUSG00000002346	Slc25a42	27967
ENSMUSG00000002346	Slc25a42	27967
ENSMUSG00000002365	Snx9	90627
ENSMUSG00000002372	Ranbp3	38408
ENSMUSG00000002379	Ndufa11	4372
ENSMUSG00000002384	Bmp8b	20928
ENSMUSG00000002393	Nr2f6	7835
ENSMUSG00000002395	Use1	2883
ENSMUSG00000002396	Ocel1	8017
ENSMUSG00000002409	Dyrk1b	7827
ENSMUSG00000002413	Braf	122228
ENSMUSG00000002416	Ndufb2	10810
ENSMUSG00000002428	Hltf	60681
ENSMUSG00000002455	Prpf6	54343
ENSMUSG00000002458	Rgs19	5557
ENSMUSG00000002459	Rgs20	160711
ENSMUSG00000002475	Abhd3	64616
ENSMUSG00000002477	Snrpd1	22201
ENSMUSG00000002486	Tchp	14569
ENSMUSG00000002489	Tiam1	356660
ENSMUSG00000002496	Tsc2	36813
ENSMUSG00000002500	Rpl3l	8325
ENSMUSG00000002504	Slc9a3r2	11043
ENSMUSG00000002524	Puf60	10733
ENSMUSG00000002546	Golga2	19670
ENSMUSG00000002546	Golga2	19670
ENSMUSG00000002546	Golga2	19670
ENSMUSG00000002550	Uck1	5159
ENSMUSG00000002565	Scin	74457
ENSMUSG00000002578	Ikzf4	38517
ENSMUSG00000002578	Ikzf4	38517
ENSMUSG00000002580	Mien1	1285
ENSMUSG00000002588	Pon1	25858
ENSMUSG00000002602	Axl	31416
ENSMUSG00000002603	Tgfb1	18077
ENSMUSG00000002608	Ccdc97	7984
ENSMUSG00000002617	Zfp40	19385
ENSMUSG00000002625	Akap8l	29185
ENSMUSG00000002633	Shh	10443
ENSMUSG00000002635	Pdcd2l	12164
ENSMUSG00000002658	Gtf2f1	7885
ENSMUSG00000002660	Clpp	5885
ENSMUSG00000002661	Alkbh7	1981
ENSMUSG00000002664	Pspn	563
ENSMUSG00000002668	Dennd1c	12536
ENSMUSG00000002679	Med6	21451
ENSMUSG00000002688	Prkd1	307869
ENSMUSG00000002699	Lcp2	45377
ENSMUSG00000002718	Cse1l	40332
ENSMUSG00000002728	Naa20	13186
ENSMUSG00000002728	Naa20	13186
ENSMUSG00000002731	Prkra	18119
ENSMUSG00000002732	Fkbp7	10028
ENSMUSG00000002733	Plekha3	21549
ENSMUSG00000002741	Ykt6	12089
ENSMUSG00000002748	Baz1b	58867
ENSMUSG00000002763	Pex6	14080
ENSMUSG00000002763	Pex6	14080
ENSMUSG00000002767	Mrpl2	3905
ENSMUSG00000002768	Mea1	3340
ENSMUSG00000002769	Gnmt	3506
ENSMUSG00000002771	Grin2d	38178
ENSMUSG00000002778	Kdelr1	10962
ENSMUSG00000002781	Tmem143	20474
ENSMUSG00000002797	Ggct	10372
ENSMUSG00000002799	Jag2	21959
ENSMUSG00000002803	Btbd6	2450
ENSMUSG00000002804	Nudt14	7835
ENSMUSG00000002808	Epdr1	28100
ENSMUSG00000002812	Flii	13122
ENSMUSG00000002814	Top3a	37309
ENSMUSG00000002820	Atg4d	12481
ENSMUSG00000002825	Qtrt1	8439
ENSMUSG00000002831	Plin4	9214
ENSMUSG00000002831	Plin4	9214
ENSMUSG00000002833	Hdgfl2	20960
ENSMUSG00000002833	Hdgfl2	20960
ENSMUSG00000002835	Chaf1a	29839
ENSMUSG00000002844	Adprh	8675
ENSMUSG00000002845	Tmem39a	32494
ENSMUSG00000002846	Timmdc1	24318
ENSMUSG00000002847	Pla1a	37030
ENSMUSG00000002870	Mcm2	15308
ENSMUSG00000002871	Tpra1	9982
ENSMUSG00000002881	Nab1	43387
ENSMUSG00000002885	Adgre5	18077
ENSMUSG00000002885	Adgre5	18077
ENSMUSG00000002897	Il17ra	24314
ENSMUSG00000002900	Lamb1	64353
ENSMUSG00000002908	Kcnn1	19354
ENSMUSG00000002910	Arrdc2	4593
ENSMUSG00000002930	Ppp1r17	15194
ENSMUSG00000002944	Cd36	106382
ENSMUSG00000002948	Map2k7	9158
ENSMUSG00000002949	Timm44	16184
ENSMUSG00000002957	Ap2a2	70840
ENSMUSG00000002963	Pnkp	5835
ENSMUSG00000002968	Med25	15628
ENSMUSG00000002980	Bcam	14418
ENSMUSG00000002981	Clptm1	33464
ENSMUSG00000002983	Relb	23223
ENSMUSG00000002983	Relb	23223
ENSMUSG00000002983	Relb	23223
ENSMUSG00000002983	Relb	23223
ENSMUSG00000002983	Relb	23223
ENSMUSG00000002984	Tomm40	14127
ENSMUSG00000002985	Apoe	3081
ENSMUSG00000002992	Apoc2	6364
ENSMUSG00000002996	Hbp1	24283
ENSMUSG00000002997	Prkar2b	102822
ENSMUSG00000003031	Cdkn1b	5114
ENSMUSG00000003031	Cdkn1b	5114
ENSMUSG00000003032	Klf4	5325
ENSMUSG00000003033	Ap1m1	17369
ENSMUSG00000003037	Rab8a	22706
ENSMUSG00000003038	Hmgn2	3265
ENSMUSG00000003039	Fam32a	4690
ENSMUSG00000003051	Elf3	4995
ENSMUSG00000003053	Cyp2c29	61245
ENSMUSG00000003062	Stard3nl	38121
ENSMUSG00000003068	Stk11	14881
ENSMUSG00000003070	Efna2	10530
ENSMUSG00000003072	Atp5d	4358
ENSMUSG00000003099	Ppp5c	23278
ENSMUSG00000003119	Cdk12	48507
ENSMUSG00000003123	Lipe	19051
ENSMUSG00000003131	Pafah1b2	37588
ENSMUSG00000003134	Tbc1d8	107265
ENSMUSG00000003135	Cnot11	11899
ENSMUSG00000003153	Slc2a3	64557
ENSMUSG00000003154	Foxj2	25454
ENSMUSG00000003161	Sri	23303
ENSMUSG00000003166	Dgcr2	52174
ENSMUSG00000003184	Irf3	5202
ENSMUSG00000003190	Bcl2l12	7492
ENSMUSG00000003198	Zfp959	6810
ENSMUSG00000003199	Mpnd	7591
ENSMUSG00000003200	Sh3gl1	19887
ENSMUSG00000003206	Ebi3	4384
ENSMUSG00000003208	Yju2	9184
ENSMUSG00000003226	Ranbp2	47436
ENSMUSG00000003227	Edar	74867
ENSMUSG00000003228	Grk5	206221
ENSMUSG00000003233	Dvl3	16948
ENSMUSG00000003234	Abcf3	12804
ENSMUSG00000003235	Eif2b5	10508
ENSMUSG00000003269	Cyth2	7681
ENSMUSG00000003271	Sult2b1	54688
ENSMUSG00000003273	Car11	4841
ENSMUSG00000003279	Dlgap1	852342
ENSMUSG00000003282	Plag1	37388
ENSMUSG00000003283	Hck	42975
ENSMUSG00000003283	Hck	42975
ENSMUSG00000003299	Mrpl4	6103
ENSMUSG00000003308	Keap1	9604
ENSMUSG00000003309	Ap1m2	18043
ENSMUSG00000003316	Glg1	104797
ENSMUSG00000003341	Atp8b3	19542
ENSMUSG00000003344	Btbd2	14456
ENSMUSG00000003345	Csnk1g2	17905
ENSMUSG00000003346	Abhd17a	6689
ENSMUSG00000003348	Mob3a	16604
ENSMUSG00000003352	Cacnb3	12155
ENSMUSG00000003354	Ccdc65	15131
ENSMUSG00000003355	Fkbp11	3830
ENSMUSG00000003360	Ddx23	17757
ENSMUSG00000003363	Pld3	21220
ENSMUSG00000003378	Grik5	62499
ENSMUSG00000003379	Cd79a	4818
ENSMUSG00000003380	Rabac1	3004
ENSMUSG00000003382	Etv3	14751
ENSMUSG00000003402	Prkcsh	11418
ENSMUSG00000003410	Elavl3	37007
ENSMUSG00000003411	Rab3b	64263
ENSMUSG00000003418	St8sia6	143045
ENSMUSG00000003420	Fcgrt	10863
ENSMUSG00000003421	Nosip	15756
ENSMUSG00000003423	Pih1d1	5764
ENSMUSG00000003429	Rps11	2062
ENSMUSG00000003435	Supt5	23857
ENSMUSG00000003436	Dll3	8687
ENSMUSG00000003437	Paf1	6439
ENSMUSG00000003438	Timm50	6558
ENSMUSG00000003444	Med29	6564
ENSMUSG00000003452	Bicd1	154347
ENSMUSG00000003458	Ncstn	16784
ENSMUSG00000003458	Ncstn	16784
ENSMUSG00000003458	Ncstn	16784
ENSMUSG00000003464	Pex19	9733
ENSMUSG00000003469	Phyhip	11358
ENSMUSG00000003476	Crhr2	42967
ENSMUSG00000003477	Inmt	4419
ENSMUSG00000003484	Cyp4f18	21146
ENSMUSG00000003500	Impdh1	15929
ENSMUSG00000003505	Psg18	9203
ENSMUSG00000003518	Dusp3	15872
ENSMUSG00000003518	Dusp3	15872
ENSMUSG00000003526	Prodh	28808
ENSMUSG00000003527	Ess2	10641
ENSMUSG00000003528	Slc25a1	2998
ENSMUSG00000003531	Dgcr6	18502
ENSMUSG00000003534	Ddr1	23034
ENSMUSG00000003541	Ier3	1241
ENSMUSG00000003545	Fosb	7357
ENSMUSG00000003546	Klc4	15400
ENSMUSG00000003549	Ercc1	11748
ENSMUSG00000003555	Cyp17a1	5994
ENSMUSG00000003559	As3mt	33639
ENSMUSG00000003573	Homer3	11536
ENSMUSG00000003575	Crtc1	57226
ENSMUSG00000003575	Crtc1	57226
ENSMUSG00000003581	Rnf215	5972
ENSMUSG00000003585	Sec14l2	21794
ENSMUSG00000003604	Aven	141611
ENSMUSG00000003617	Cp	52078
ENSMUSG00000003623	Crot	31293
ENSMUSG00000003644	Rps6ka1	40509
ENSMUSG00000003657	Calb2	30710
ENSMUSG00000003660	Snrnp200	32054
ENSMUSG00000003662	Ciao1	6880
ENSMUSG00000003665	Has1	11867
ENSMUSG00000003680	Taf6l	11923
ENSMUSG00000003721	Insig2	27069
ENSMUSG00000003731	Kpna6	28789
ENSMUSG00000003746	Man1a	171013
ENSMUSG00000003752	Itpkc	21458
