TPM_exon_exp_mean	Gene_name	label	hpa_256_tiss_ntpmtau	gtex_db_tissuegini	Total_utr_3_len	tss_dis	TF_motif_total_exons	rna_motif_total_gene_norm_len_cv	utr3_mirna_count	exon_cs_mean	tss_500bp_cs_median	V_codon_bias_sum	P_codon_bias_max	Y_codon_bias_max	A_codon_bias_median	cds_len	AT_cds_pct	AT_intron_pct	AT_tss_3kb_PTG_pct	GC_tss_4kb_PTG_pct
2.847	PRDM1	1	0.956	0.614	2453.0	683253.0	14441.0	1.994	3636.0	3.673	0.434	40.0	37.0	27.0	9.0	2478.0	0.463	0.599	0.973	1.019
2.62	PRDM1	1	0.956	0.614	2453.0	683253.0	14441.0	1.994	3636.0	3.673	0.434	40.0	37.0	27.0	9.0	2478.0	0.463	0.599	0.973	1.019
7.933	PTPRC	1	0.968	0.782	1296.0	98094.0	7036.0	1.408	1408.0	1.552	0.0	79.0	28.0	31.0	18.0	3921.0	0.584	0.659	1.034	0.983
-0.702	PTPRJ	1	0.688	0.389	3480.0	132090.0	10626.0	2.53	2243.0	1.601	0.025	106.0	32.0	27.0	22.0	4017.0	0.504	0.547	0.814	1.151
5.108	SDC1	1	0.978	0.854	1968.0	173805.0	3837.0	1.4	3510.0	0.669	-0.074	20.0	9.0	2.0	3.0	933.0	0.364	0.428	0.908	1.001
5.443	SOX4	1	0.929	0.451	2661.0	1059294.0	12770.0	3.093	1222.0	2.603	1.992	12.0	20.0	9.0	4.0	1425.0	0.295	0.0	0.768	1.329
6.642	STAT3	1	0.632	0.304	0.0	100908.0	6698.0	3.177	6685.0	4.376	0.405	0.0	0.0	0.0	0.0	0.0	0.0	0.554	0.95	1.063
6.295	STAT3	1	0.632	0.304	0.0	100908.0	6698.0	3.177	6685.0	4.376	0.405	0.0	0.0	0.0	0.0	0.0	0.0	0.554	0.95	1.063
5.209	TCF3	1	0.783	0.381	2416.0	47153.0	6829.0	1.895	7106.0	1.868	-0.04	74.0	19.0	1.0	3.0	1965.0	0.328	0.408	0.927	1.037
8.25	TCF3	1	0.783	0.381	2416.0	47153.0	6829.0	1.895	7106.0	1.868	-0.04	74.0	19.0	1.0	3.0	1965.0	0.328	0.408	0.927	1.037
5.203	TNF	1	0.997	0.928	800.0	3511.0	2440.0	1.983	839.0	0.985	0.365	16.0	9.0	4.0	3.0	702.0	0.387	0.495	0.926	1.061
5.638	TNFRSF13B	1	0.992	0.983	0.0	250802.0	3005.0	2.49	760.0	-0.318	-0.223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7.003	XBP1	1	0.951	0.514	0.0	24351.0	2468.0	1.82	1119.0	1.378	0.233	0.0	0.0	0.0	0.0	0.0	0.0	0.618	0.0	0.0
3.963	ANXA3	1	0.948	0.596	0.0	544541.0	3252.0	1.285	160.0	0.368	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.627	0.983	1.009
7.528	BCAR1	1	0.886	0.286	3777.0	40399.0	5499.0	1.907	9670.0	2.119	-0.15	2.0	4.0	1.0	1.0	174.0	0.374	0.416	0.883	1.05
8.539	CD93	1	0.963	0.581	4591.0	36652.0	9305.0	1.433	1406.0	0.106	0.355	56.0	32.0	2.0	15.0	1959.0	0.362	0.363	0.774	1.214
9.873	EDN1	1	0.601	0.432	1128.0	278049.0	2302.0	1.889	901.0	1.64	0.812	10.0	7.0	4.0	1.0	639.0	0.512	0.581	0.86	1.184
10.111	EGFL7	1	0.577	0.447	393.0	112807.0	3805.0	1.678	786.0	0.534	-0.712	18.0	9.0	6.0	3.0	822.0	0.335	0.328	1.095	0.96
7.112	ERG	1	0.821	0.562	3374.0	404790.0	6592.0	1.641	14084.0	3.262	0.664	60.0	9.0	1.0	6.0	1389.0	0.451	0.582	0.911	1.081
5.386	ETS1	1	0.951	0.516	3597.0	1586788.0	5868.0	1.633	7702.0	3.547	0.138	50.0	10.0	1.0	5.0	1458.0	0.49	0.575	1.064	0.908
1.207	ETV2	1	0.87	0.607	20.0	12709.0	1864.0	1.957	2.0	1.149	0.178	10.0	12.0	7.0	7.0	1113.0	0.339	0.365	1.17	1.015
6.637	FLI1	1	0.934	0.512	0.0	216317.0	7293.0	1.502	3410.0	2.819	0.136	0.0	0.0	0.0	0.0	0.0	0.0	0.588	0.938	1.101
4.315	FOXC2	1	0.881	0.811	888.0	33028.0	5571.0	1.936	287.0	1.893	0.258	18.0	30.0	22.0	4.0	1506.0	0.293	0.0	0.728	1.329
5.023	FOXP1	1	0.856	0.398	4540.0	1271090.0	16051.0	2.011	33617.0	4.517	0.912	48.0	8.0	9.0	4.0	2034.0	0.493	0.589	0.798	1.19
5.76	GATA2	1	0.92	0.633	1593.0	26233.0	5145.0	1.321	3001.0	3.458	0.086	64.0	14.0	0.0	7.0	1443.0	0.352	0.393	1.042	1.017
6.521	HIF1A	1	0.939	0.379	1175.0	168494.0	10954.0	2.075	1004.0	3.941	0.296	41.0	24.0	18.0	12.5	2553.0	0.598	0.632	0.909	1.099
6.757	ITGB3	1	0.978	0.653	3540.0	53381.0	20834.0	1.639	2245.0	3.294	0.046	52.0	14.0	14.0	5.0	2367.0	0.453	0.538	0.935	1.04
7.35	KDR	1	0.923	0.57	1461.0	467639.0	10085.0	1.464	977.0	3.374	0.05	101.0	19.0	15.0	15.0	4071.0	0.529	0.602	0.906	1.077
4.208	NFATC1	1	0.846	0.408	1747.0	282620.0	5590.0	1.289	8655.0	3.193	0.003	55.0	50.0	25.0	5.0	2832.0	0.349	0.433	0.826	1.099
6.737	NOS3	1	0.908	0.492	420.0	30140.0	6199.0	1.476	828.0	2.834	0.136	73.0	54.0	23.0	12.0	3612.0	0.35	0.435	1.03	0.98
7.762	NRP1	1	0.923	0.54	2585.0	378009.0	9123.0	1.895	1716.0	3.532	-0.005	100.0	23.0	14.0	10.0	2772.0	0.508	0.588	0.79	1.23
9.317	PECAM1	1	0.949	0.0	4402.0	127600.0	8148.0	2.354	3040.0	1.114	0.168	64.0	8.0	11.0	4.0	2217.0	0.525	0.53	0.984	1.053
6.853	PLCG1	1	0.478	0.33	3118.0	108323.0	10780.0	1.246	3293.0	4.207	0.093	67.0	25.0	39.0	10.0	3873.0	0.432	0.474	0.901	1.058
5.465	PLCG1	1	0.478	0.33	3118.0	108323.0	10780.0	1.246	3293.0	4.207	0.093	67.0	25.0	39.0	10.0	3873.0	0.432	0.474	0.901	1.058
8.077	PVRL2	1	0.615	0.359	845.0	37226.0	5907.0	2.916	975.0	1.322	-0.073	39.0	16.0	8.0	9.0	1617.0	0.373	0.478	0.826	1.122
9.006	S1PR1	1	0.515	0.393	1386.0	211256.0	3456.0	1.565	1101.0	1.655	0.0	24.0	6.0	11.0	3.0	1149.0	0.455	0.537	0.871	1.646
6.058	TAL1	1	0.864	0.454	3429.0	39735.0	8016.0	1.462	3901.0	1.805	0.0	22.0	11.0	0.0	10.0	996.0	0.301	0.473	0.974	1.027
5.793	TEK	1	0.863	0.435	943.0	103552.0	5635.0	1.759	901.0	3.571	1.044	77.0	24.0	19.0	14.0	3375.0	0.522	0.596	1.028	0.969
4.773	CBX4	1	0.935	0.208	804.0	42363.0	4107.0	1.912	327.0	2.957	0.426	70.0	13.0	3.0	12.0	1683.0	0.345	0.372	0.889	1.079
8.448	CDH1	1	0.958	0.762	2039.0	91982.0	6419.0	3.145	2700.0	1.951	-0.032	70.0	24.0	17.0	10.0	2649.0	0.485	0.532	0.875	1.11
3.172	CDSN	1	1.0	0.985	939.0	5697.0	5067.0	1.55	883.0	0.783	0.042	36.0	17.0	3.0	7.0	1590.0	0.404	0.512	1.051	1.016
2.589	EHF	1	0.974	0.882	4358.0	109293.0	5866.0	1.599	11159.0	3.031	0.838	11.0	6.0	6.0	3.0	903.0	0.502	0.561	1.01	1.002
1.132	ELF3	1	0.966	0.836	687.0	25297.0	12350.0	2.131	2434.0	2.039	0.0	12.0	13.0	11.0	4.0	1116.0	0.411	0.43	1.12	0.917
7.664	F11R	1	0.868	0.525	3661.0	66534.0	9547.0	2.799	5886.0	1.107	0.0	14.0	9.0	2.0	3.0	840.0	0.483	0.529	0.974	1.014
3.033	GRHL3	1	0.987	0.932	831.0	132067.0	3596.0	1.248	1706.0	3.087	0.803	37.0	21.0	16.0	5.0	1809.0	0.453	0.489	1.016	0.977
5.697	HR	1	0.913	0.674	1282.0	2676.0	6527.0	1.312	1796.0	1.354	0.364	80.0	42.0	3.0	31.0	3570.0	0.349	0.404	0.923	1.033
8.028	ITGA6	1	0.77	0.501	2393.0	324685.0	11281.0	1.763	2298.0	3.443	0.417	75.0	20.0	27.0	14.0	3222.0	0.553	0.584	0.859	1.151
4.611	KLF4	1	0.925	0.626	900.0	206491.0	3970.0	1.551	636.0	2.653	0.372	49.0	10.0	0.0	8.0	1440.0	0.346	0.464	0.642	1.561
0.518	KLF4	1	0.925	0.626	900.0	206491.0	3970.0	1.551	636.0	2.653	0.372	49.0	10.0	0.0	8.0	1440.0	0.346	0.464	0.642	1.561
7.305	KLF5	1	0.97	0.79	1653.0	276872.0	6255.0	2.081	1408.0	3.089	0.904	20.0	17.0	10.0	8.0	1374.0	0.445	0.619	0.87	1.198
-0.586	KLF5	1	0.97	0.79	1653.0	276872.0	6255.0	2.081	1408.0	3.089	0.904	20.0	17.0	10.0	8.0	1374.0	0.445	0.619	0.87	1.198
14.085	KRT14	1	0.999	0.962	157.0	14836.0	1688.0	2.542	201.0	1.873	0.368	43.0	9.0	0.0	19.0	1419.0	0.391	0.478	1.057	0.99
8.91	KRT18	1	0.951	0.681	0.0	44074.0	2418.0	1.568	186.0	1.891	0.212	0.0	0.0	0.0	0.0	0.0	0.0	0.461	0.998	1.13
12.974	KRT5	1	0.996	0.944	368.0	27137.0	2130.0	1.32	383.0	3.06	0.512	45.0	12.0	1.0	8.0	1773.0	0.411	0.533	0.933	1.083
8.863	KRT8	1	0.978	0.737	0.0	56058.0	3479.0	1.795	897.0	1.772	0.247	0.0	0.0	0.0	0.0	0.0	0.0	0.455	0.958	0.986
6.353	NGFR	1	0.903	0.608	2000.0	80394.0	8746.0	1.531	1927.0	2.483	0.34	31.0	12.0	7.0	5.0	1284.0	0.332	0.445	0.924	0.996
4.552	NGFR	1	0.903	0.608	2000.0	80394.0	8746.0	1.531	1927.0	2.483	0.34	31.0	12.0	7.0	5.0	1284.0	0.332	0.445	0.924	0.996
-1.366	PAX6	1	0.724	0.817	5143.0	301565.0	16537.0	1.828	5215.0	4.557	1.948	28.0	8.0	5.0	4.0	1269.0	0.48	0.507	0.779	1.224
6.349	PAX6	1	0.724	0.817	5143.0	301565.0	16537.0	1.828	5215.0	4.557	1.948	28.0	8.0	5.0	4.0	1269.0	0.48	0.507	0.779	1.224
7.157	PRSS8	1	0.975	0.808	577.0	10144.0	2653.0	1.777	700.0	0.656	-0.043	30.0	10.0	0.0	7.0	1032.0	0.365	0.437	1.187	0.93
6.326	SOX9	1	0.559	0.533	2030.0	1951488.0	21030.0	2.052	701.0	3.299	0.662	21.0	33.0	19.0	3.0	1530.0	0.322	0.405	0.702	1.616
8.82	TGFBR2	1	0.918	0.523	0.0	1350175.0	7109.0	1.709	3466.0	2.873	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.594	1.026	0.94
7.056	TP63	1	0.992	0.905	2775.0	459418.0	7116.0	1.651	13502.0	4.405	1.004	29.0	20.0	13.0	6.0	2043.0	0.475	0.63	1.019	0.939
7.241	VDR	1	0.993	0.676	3210.0	149550.0	7346.0	1.922	5845.0	2.617	-0.18	49.0	8.0	2.0	10.0	1284.0	0.429	0.526	0.88	1.141
4.876	WNT7A	1	0.612	0.761	2687.0	330947.0	5794.0	1.291	1736.0	3.085	0.143	46.0	11.0	1.0	10.0	1050.0	0.386	0.484	0.827	1.12
5.466	CNOT3	1	0.577	0.277	0.0	22104.0	7606.0	1.357	310.0	3.398	0.557	0.0	0.0	0.0	0.0	0.0	0.0	0.424	0.963	1.008
4.979	ENY2	1	0.69	0.199	2654.0	204.0	3505.0	1.792	3410.0	3.444	1.26	2.0	0.0	0.0	1.5	171.0	0.608	0.633	0.891	1.241
-2.787	ESRRB	1	0.952	0.685	3380.0	224215.0	12560.0	2.177	5243.0	4.259	0.728	20.0	8.0	16.0	3.0	1365.0	0.39	0.513	0.928	1.045
4.357	FIP1L1	1	0.799	0.263	1414.0	11579.0	11356.0	1.811	1206.0	3.491	0.135	28.0	26.0	13.0	10.0	1785.0	0.533	0.645	0.903	1.128
4.997	FOXD3	1	0.966	0.878	634.0	538435.0	5793.0	1.797	330.0	1.449	0.0	16.0	22.0	10.0	10.0	1437.0	0.277	0.0	0.58	1.489
2.843	GDF3	1	0.986	0.613	95.0	29867.0	1388.0	3.475	18.0	1.258	0.222	30.0	8.0	4.0	3.0	1095.0	0.496	0.546	1.011	0.999
-3.998	KLF2	1	0.849	0.512	1655.0	126915.0	4988.0	1.366	1328.0	1.017	0.098	3.0	27.0	8.0	2.0	1068.0	0.257	0.338	0.804	1.082
3.015	LIF	1	0.983	0.575	3199.0	165749.0	5992.0	1.349	6210.0	1.526	1.01	29.0	4.0	2.0	3.0	609.0	0.402	0.382	0.91	1.058
2.966	MGA	1	0.834	0.3	5802.0	101185.0	19615.0	2.389	2246.0	2.64	1.164	170.0	93.0	33.0	30.0	8571.0	0.563	0.608	0.894	1.131
5.595	MYC	1	0.932	0.591	1994.0	327205.0	6405.0	1.909	1659.0	1.556	0.36	26.0	18.0	9.0	4.0	1365.0	0.413	0.468	0.769	1.271
5.241	MYC	1	0.932	0.591	1994.0	327205.0	6405.0	1.909	1659.0	1.556	0.36	26.0	18.0	9.0	4.0	1365.0	0.413	0.468	0.769	1.271
8.3	NACC1	1	0.617	0.222	2742.0	696.0	10045.0	2.569	2181.0	2.817	0.186	36.0	17.0	14.0	8.0	1584.0	0.353	0.464	0.926	1.032
5.658	NANOG	1	0.918	0.564	4052.0	24186.0	6964.0	2.641	3796.0	0.646	-0.044	13.0	11.0	6.0	4.0	918.0	0.507	0.574	0.999	0.994
6.06	NCL	1	0.615	0.251	0.0	68842.0	5562.0	1.255	1703.0	2.465	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.559	0.819	1.271
-2.268	NR0B1	1	0.952	0.911	374.0	65676.0	2370.0	1.617	58.0	1.549	0.47	37.0	12.0	2.0	12.0	1413.0	0.368	0.603	0.813	1.199
3.576	PCGF6	1	0.731	0.28	1110.0	74003.0	3520.0	3.182	787.0	3.233	0.287	16.0	3.0	7.0	4.0	1053.0	0.503	0.56	0.89	1.083
5.523	PCID2	1	0.623	0.286	0.0	29961.0	5118.0	1.224	1599.0	3.551	0.305	0.0	0.0	0.0	0.0	0.0	0.0	0.568	0.997	1.067
10.021	POU5F1	1	0.848	0.621	251.0	8582.0	6608.0	1.746	1775.0	1.484	0.086	10.0	6.0	1.0	2.0	495.0	0.436	0.463	0.0	0.0
6.512	PRDM14	1	0.875	1.0	427.0	236274.0	2876.0	3.121	602.0	2.501	-0.026	59.0	12.0	3.0	8.0	1716.0	0.462	0.543	0.779	1.192
7.679	SALL4	1	0.94	0.766	1935.0	34131.0	6628.0	2.242	1740.0	2.723	0.675	83.0	29.0	6.0	10.0	3162.0	0.43	0.531	0.95	1.018
2.638	SMAD1	1	0.602	0.29	0.0	363588.0	4769.0	1.512	1762.0	3.72	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.966	1.048
5.593	SMC1A	1	0.835	0.29	5955.0	101378.0	11411.0	2.866	5176.0	3.89	0.2	96.0	23.0	10.0	14.0	3636.0	0.494	0.549	0.925	1.094
3.793	SMC2	1	0.867	0.369	2095.0	1098927.0	6880.0	1.716	2983.0	3.796	-0.204	68.0	10.0	16.0	27.0	3594.0	0.613	0.642	0.893	1.152
8.434	SOX2	1	0.436	0.711	1123.0	722197.0	10088.0	2.033	625.0	3.924	1.426	12.0	14.0	12.0	2.0	954.0	0.342	0.0	0.798	1.153
9.244	SOX2	1	0.436	0.711	1123.0	722197.0	10088.0	2.033	625.0	3.924	1.426	12.0	14.0	12.0	2.0	954.0	0.342	0.0	0.798	1.153
-3.971	TBX3	1	0.963	0.702	1587.0	275733.0	8195.0	1.51	1582.0	3.875	1.32	62.0	13.0	4.0	10.0	2172.0	0.38	0.554	0.868	1.087
3.913	TCL1A	1	0.994	0.985	918.0	27759.0	2252.0	2.907	3237.0	-0.035	-0.206	14.0	5.0	2.0	1.0	345.0	0.414	0.527	1.08	1.15
4.811	TERT	1	0.992	0.856	3522.0	69667.0	7233.0	1.758	984.0	1.259	-0.165	42.0	18.0	0.0	14.0	1725.0	0.289	0.422	0.938	1.049
5.072	TET1	1	0.897	0.383	2674.0	32813.0	10883.0	2.605	332.0	2.999	0.201	135.0	75.0	24.0	25.0	6411.0	0.558	0.578	0.849	1.168
0.976	TFCP2L1	1	0.984	0.843	7755.0	549335.0	10679.0	2.276	2971.0	3.66	-0.127	54.0	12.0	1.0	4.0	1440.0	0.433	0.517	0.883	1.106
10.736	TRIM28	1	0.645	0.293	163.0	24509.0	3620.0	1.607	139.0	2.108	-0.13	50.0	23.0	7.0	15.0	2508.0	0.378	0.458	0.975	0.996
7.221	ZFP42	1	0.848	0.997	1307.0	1271914.0	3543.0	2.106	2318.0	0.021	-0.188	12.0	7.0	4.0	4.0	933.0	0.518	0.552	0.901	1.123
1.735	ZFX	1	0.72	0.327	4880.0	94773.0	8877.0	2.517	9303.0	2.919	0.826	66.0	16.0	11.0	12.0	2418.0	0.561	0.593	0.832	1.173
5.27	ZNF281	1	0.788	0.305	2079.0	382347.0	13636.0	2.27	1712.0	2.645	0.0	57.0	15.0	13.0	4.0	2688.0	0.528	0.31	0.822	1.281
10.384	CDKN1A	1	0.774	0.484	1538.0	84348.0	3283.0	1.805	6677.0	0.407	-0.115	6.0	4.0	2.0	2.0	495.0	0.364	0.454	0.963	0.986
10.775	COL1A1	1	0.981	0.732	1402.0	33917.0	7765.0	1.824	922.0	3.611	0.512	72.0	10.0	1.0	16.0	4395.0	0.349	0.431	1.024	0.959
11.489	COL1A2	1	0.977	0.705	0.0	418115.0	8520.0	1.845	115.0	2.774	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.987	1.046
10.63	CTGF	1	0.934	0.617	1089.0	143353.0	4176.0	1.664	459.0	3.051	0.634	36.0	5.0	1.0	11.0	1050.0	0.382	0.455	0.777	0.0
7.579	DDR2	1	0.818	0.551	7155.0	70959.0	12195.0	1.387	6134.0	3.52	0.0	55.0	18.0	20.0	13.5	2568.0	0.498	0.597	0.937	1.061
7.975	DKK3	1	0.959	0.573	8258.0	167111.0	21794.0	1.195	3030.0	1.88	-0.196	31.0	7.0	1.0	8.0	1053.0	0.392	0.514	0.866	1.045
7.472	GAS6	1	0.772	0.539	0.0	63969.0	7516.0	1.748	231.0	-0.274	-0.388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.97	GSN	1	0.849	0.535	0.0	106501.0	8541.0	1.43	754.0	0.396	-0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.564	0.967	1.024
2.273	KMT2B	1	0.438	0.0	322.0	13445.0	10683.0	1.407	250.0	2.974	0.211	155.0	133.0	23.0	31.0	8148.0	0.363	0.428	0.856	1.081
9.137	MIF	1	0.64	0.361	0.0	32262.0	2589.0	2.454	154.0	1.985	-0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.249	1.044	0.972
3.757	OSR1	1	0.978	0.712	0.0	767343.0	4474.0	1.793	892.0	1.428	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.522	0.979	1.065
8.392	P4HA1	1	0.65	0.384	999.0	142168.0	3145.0	2.606	1522.0	3.988	0.144	20.0	11.0	6.0	2.0	1605.0	0.583	0.613	0.924	1.106
9.478	PDGFRA	1	0.941	0.529	2974.0	129130.0	11473.0	1.651	1299.0	3.628	0.776	89.0	20.0	27.0	6.0	3270.0	0.526	0.563	0.759	1.343
6.686	PRRX1	1	0.87	0.649	3236.0	131965.0	5613.0	1.299	3125.0	3.66	0.0	14.0	6.0	4.0	6.0	738.0	0.423	0.61	0.751	1.388
4.522	S100A4	1	0.951	0.638	0.0	3332.0	1011.0	2.247	895.0	0.991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.505	0.0	0.0
2.799	SNAI1	1	0.864	0.512	831.0	46583.0	2105.0	1.479	959.0	1.69	-0.124	8.0	15.0	5.0	2.0	795.0	0.376	0.46	0.927	0.997
6.18	TCF21	1	0.98	0.748	2409.0	427425.0	5124.0	1.421	1806.0	2.929	1.287	11.0	8.0	3.0	3.0	540.0	0.387	0.553	1.007	0.972
4.939	TWIST2	1	0.963	0.756	730.0	421158.0	1467.0	1.98	1085.0	2.606	1.373	6.0	6.0	5.0	4.0	483.0	0.337	0.494	0.872	1.062
12.31	VIM	1	0.894	0.628	1352.0	28331.0	4970.0	1.884	114.0	3.409	0.682	11.0	1.0	5.0	3.0	687.0	0.491	0.613	0.846	1.223
7.523	ABCC1	1	0.924	0.429	1794.0	60973.0	7963.0	2.946	2570.0	3.019	-0.064	131.0	27.0	36.0	10.0	4626.0	0.435	0.518	0.941	1.039
8.077	ALDH1A1	1	0.95	0.453	538.0	431446.0	2781.0	1.602	260.0	3.43	0.519	23.0	10.0	8.0	3.0	1506.0	0.546	0.641	0.994	1.026
7.379	BMI1	1	0.541	0.238	1943.0	4690.0	11517.0	1.132	409.0	4.699	0.845	14.0	9.0	6.0	4.5	981.0	0.59	0.572	0.824	1.218
9.286	CD164	1	0.824	0.313	0.0	277363.0	5678.0	1.475	5569.0	0.634	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.916	1.155
8.859	CD34	1	0.878	0.524	6767.0	159058.0	12311.0	1.252	4986.0	0.741	0.142	23.0	8.0	3.0	4.0	1158.0	0.473	0.551	0.921	1.063
5.716	CD38	1	0.957	0.576	4631.0	75232.0	6598.0	1.501	2420.0	0.568	-0.141	26.0	6.0	3.0	2.0	903.0	0.511	0.59	0.943	1.092
6.448	CXCR4	1	0.982	0.686	521.0	130617.0	2455.0	2.774	521.0	2.861	0.193	39.0	6.0	1.0	3.0	1071.0	0.499	0.0	0.0	0.0
7.917	ETV6	1	0.871	0.445	4332.0	254106.0	9750.0	1.891	2057.0	3.734	0.536	16.0	14.0	9.0	3.0	1359.0	0.468	0.569	0.945	1.03
7.762	FLT3	1	0.91	0.772	779.0	111883.0	4312.0	2.433	485.0	2.554	0.22	72.0	16.0	18.0	11.0	2982.0	0.566	0.568	0.928	1.051
-1.22	GFI1B	1	0.998	0.85	0.0	65222.0	4721.0	2.095	3214.0	0.039	0.141	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.989	0.997
4.077	HOXB4	1	0.93	0.606	1216.0	24428.0	10720.0	1.565	1237.0	2.609	1.693	27.0	8.0	1.0	8.0	756.0	0.315	0.466	0.0	0.0
5.429	JAK2	1	0.867	0.432	3158.0	192328.0	11739.0	1.582	452.0	3.988	0.149	56.0	26.0	33.0	16.0	3399.0	0.613	0.626	0.826	1.204
