TPM_exon_exp_mean	Gene_name	label	mca3gini	mtdtau_log	mtdroku_specificity_log	Total_utr_5_len	tss_dis	TF_motif_meanexon	TF_motif_cv_tss_3kb	TF_motif_totaltss_2kb_norm_GL	utr5_mirna_count	exon_avg_CS_median	R_codon_bias_median_trans	AT_transcript_pct	GC_intron_pct	AT_intron_pct	GC_tss_2kb_pct
7.217	Tcl1	1	0.972	0.228	0.0	86.0	20781.0	0.175	2.87	0.078	174.0	-0.07	12.0	0.497	0.498	0.502	0.503
4.517	Cd40	1	0.594	0.697	0.099	82.0	20759.0	0.488	2.07	0.026	420.0	0.2	23.0	0.504	0.498	0.502	0.521
3.749	Sall4	1	0.902	0.781	0.0	173.0	25068.0	3.954	2.342	0.165	910.0	1.1	44.0	0.497	0.489	0.511	0.537
-0.54	Jag1	1	0.57	0.56	0.107	388.0	225037.0	1.028	2.365	0.016	183.0	2.5	51.0	0.526	0.471	0.529	0.582
6.298	Emd	1	0.164	0.204	0.131	123.0	5009.0	0.183	2.614	0.075	660.0	0.77	7.0	0.539	0.45	0.55	0.49
5.971	Klf5	1	0.633	0.622	0.072	305.0	198784.0	0.782	3.287	0.037	287.0	1.92	40.0	0.557	0.434	0.566	0.5
6.019	Klf5	1	0.633	0.622	0.072	305.0	198784.0	0.782	3.287	0.037	287.0	1.92	40.0	0.557	0.434	0.566	0.5
0.933	Abcc1	1	0.391	0.358	0.14	37.0	44184.0	0.963	2.269	0.003	141.0	1.74	80.0	0.538	0.459	0.541	0.498
2.008	Gabpb1	1	0.236	0.373	0.072	214.0	56890.0	0.829	4.615	0.017	2135.0	2.49	56.0	0.589	0.406	0.594	0.514
-2.338	Eya1	1	0.546	0.709	0.0	647.0	641465.0	0.864	2.25	0.003	2023.0	2.81	82.0	0.592	0.407	0.593	0.397
4.996	Tgfb1	1	0.398	0.486	0.092	868.0	6222.0	0.433	1.947	0.045	723.0	1.28	37.0	0.489	0.495	0.505	0.596
1.339	Tgfb1	1	0.398	0.486	0.092	868.0	6222.0	0.433	1.947	0.045	723.0	1.28	37.0	0.489	0.495	0.505	0.596
0.06	Etv2	1	0.903	0.0	0.0	23.0	9701.0	0.194	2.14	0.18	14.0	0.78	5.0	0.438	0.537	0.463	0.512
-0.735	Met	1	0.558	0.517	0.084	515.0	157465.0	1.141	2.582	0.006	608.0	1.72	127.0	0.582	0.415	0.585	0.47
0.946	Eng	1	0.639	0.435	0.069	364.0	24837.0	0.607	1.831	0.01	861.0	0.53	46.0	0.498	0.494	0.506	0.534
10.212	Col1a1	1	0.67	0.508	0.058	146.0	153520.0	1.099	2.182	0.025	90.0	2.2	31.0	0.461	0.512	0.488	0.535
2.196	Nfkb1	1	0.367	0.318	0.147	504.0	205936.0	0.775	3.803	0.007	253.0	1.44	127.0	0.554	0.443	0.557	0.524
-2.747	Zbtb16	1	0.573	0.516	0.098	249.0	230792.0	0.931	2.464	0.002	207.0	2.29	219.0	0.517	0.482	0.518	0.58
6.799	Cd81	1	0.383	0.184	0.052	263.0	47693.0	0.313	2.393	0.022	358.0	1.52	20.0	0.466	0.535	0.465	0.535
-8.952	Myf6	1	0.925	0.41	0.0	34.0	8603.0	0.222	2.436	0.225	21.0	1.51	3.0	0.512	0.535	0.465	0.433
-2.291	Myf5	1	0.891	0.439	0.0	204.0	214449.0	0.359	2.445	0.2	298.0	1.2	3.0	0.567	0.465	0.535	0.48
10.759	Krt18	1	0.703	0.0	0.0	100.0	23697.0	0.129	3.554	0.142	99.0	1.52	11.0	0.462	0.523	0.477	0.535
-0.161	Vdr	1	0.778	0.844	0.204	157.0	63808.0	0.604	3.226	0.007	124.0	1.53	67.0	0.501	0.497	0.503	0.522
3.123	Eno2	1	0.706	0.76	0.209	254.0	13149.0	0.555	2.661	0.088	763.0	2.46	17.0	0.474	0.517	0.483	0.562
6.255	Nanog	1	0.976	0.427	0.0	76.0	81079.0	0.392	2.337	0.07	312.0	0.34	7.0	0.557	0.435	0.565	0.479
2.508	Cd86	1	0.54	0.741	0.184	117.0	103943.0	0.335	2.374	0.01	147.0	0.09	39.0	0.57	0.429	0.571	0.446
9.253	Hes1	1	0.444	0.422	0.106	252.0	486006.0	0.295	2.302	0.213	133.0	2.53	9.0	0.466	0.575	0.425	0.605
-0.414	Foxp1	1	0.258	0.379	0.051	713.0	1178243.0	1.157	3.948	0.004	1565.0	2.48	597.0	0.556	0.443	0.557	0.562
9.373	Ncl	1	0.243	0.484	0.056	178.0	56167.0	1.544	4.088	0.077	194.0	1.41	14.0	0.576	0.417	0.583	0.534
1.447	Tfcp2l1	1	0.825	0.692	0.163	96.0	238888.0	1.689	1.943	0.012	57.0	2.1	37.0	0.536	0.463	0.537	0.487
2.833	Itga4	1	0.638	0.667	0.142	161.0	386453.0	1.764	2.185	0.007	219.0	1.4	46.0	0.612	0.385	0.615	0.491
4.918	Fn1	1	0.72	0.391	0.056	219.0	96051.0	1.233	3.071	0.009	1680.0	1.83	86.0	0.563	0.424	0.576	0.476
2.167	Sdc1	1	0.556	0.41	0.074	314.0	97189.0	0.505	2.071	0.019	224.0	0.48	35.0	0.471	0.526	0.474	0.584
2.608	Prrx1	1	0.647	0.592	0.038	1076.0	228040.0	1.05	4.223	0.01	2795.0	1.85	53.0	0.589	0.411	0.589	0.519
2.327	Mef2d	1	0.294	0.397	0.076	436.0	60401.0	0.979	2.016	0.016	624.0	2.17	32.0	0.473	0.521	0.479	0.574
3.073	Cr2	1	0.9	0.799	0.0	107.0	45372.0	1.049	2.978	0.015	175.0	0.35	15.0	0.631	0.361	0.639	0.396
4.345	Myb	1	0.799	0.811	0.153	188.0	208359.0	0.563	4.053	0.034	450.0	2.09	45.0	0.569	0.426	0.574	0.548
8.266	Ccn2	1	0.0	0.0	0.0	285.0	371925.0	0.379	2.177	0.122	313.0	1.59	9.0	0.485	0.505	0.495	0.494
10.087	Tcf21	1	0.826	0.486	0.0	272.0	88727.0	0.195	2.579	0.164	351.0	1.4	12.0	0.505	0.476	0.524	0.472
2.346	Esrrb	1	0.922	0.807	0.0	421.0	119259.0	0.591	3.105	0.004	461.0	1.97	197.0	0.511	0.487	0.513	0.492
2.434	Bcl11a	1	0.498	0.714	0.09	275.0	3062.0	0.498	4.184	0.007	665.0	2.54	114.0	0.545	0.455	0.545	0.579
2.923	Tek	1	0.725	0.425	0.064	353.0	89144.0	0.645	2.735	0.003	1257.0	2.15	93.0	0.589	0.41	0.59	0.406
6.43	Eny2	1	0.214	0.396	0.05	127.0	237.0	0.713	1.925	0.09	377.0	2.53	9.0	0.616	0.38	0.62	0.443
5.626	Cxcr4	1	0.536	0.721	0.08	82.0	174931.0	0.452	4.525	0.102	141.0	0.88	10.0	0.513	0.507	0.493	0.514
2.604	Flt3	1	0.542	0.847	0.189	225.0	78049.0	0.563	2.799	0.008	174.0	1.43	83.0	0.544	0.453	0.547	0.496
-1.094	Myog	1	0.937	0.339	0.0	68.0	54557.0	0.262	1.925	0.131	137.0	1.39	5.0	0.459	0.531	0.469	0.54
3.518	P4ha1	1	0.441	0.41	0.058	210.0	101343.0	0.752	3.259	0.016	866.0	2.39	48.0	0.585	0.411	0.589	0.472
1.26	Plcg1	1	0.33	0.352	0.107	136.0	85422.0	1.238	3.126	0.012	60.0	2.4	55.0	0.507	0.488	0.512	0.582
3.071	Plcg1	1	0.33	0.352	0.107	136.0	85422.0	1.238	3.126	0.012	60.0	2.4	55.0	0.507	0.488	0.512	0.582
6.326	Snai1	1	0.591	0.572	0.085	96.0	45307.0	0.319	2.416	0.135	57.0	0.66	11.0	0.431	0.554	0.446	0.576
7.436	Cdkn1a	1	0.612	0.514	0.065	136.0	58351.0	0.286	2.028	0.054	294.0	0.45	27.0	0.462	0.538	0.462	0.481
5.931	Sox4	1	0.379	0.532	0.078	693.0	696186.0	1.037	3.26	0.051	293.0	1.29	24.0	0.489	0.0	0.0	0.559
7.429	Sox9	1	0.781	0.494	0.067	362.0	1716060.0	0.956	3.793	0.109	270.0	1.92	23.0	0.491	0.559	0.441	0.558
7.872	Cd93	1	0.583	0.513	0.054	140.0	35375.0	1.09	2.616	0.039	98.0	0.08	7.0	0.526	0.506	0.494	0.5
2.434	Pcid2	1	0.264	0.26	0.135	650.0	44495.0	1.693	1.888	0.064	1034.0	2.11	41.0	0.524	0.469	0.531	0.58
3.171	Stat5a	1	0.511	0.522	0.054	336.0	8626.0	0.591	2.032	0.021	487.0	2.32	40.0	0.501	0.488	0.512	0.539
2.446	Six1	1	0.717	0.859	0.253	0.0	113996.0	0.044	1.897	0.045	269.0	1.09	41.0	0.477	0.517	0.483	0.516
2.102	Bcl11b	1	0.773	0.874	0.253	460.0	1993311.0	1.783	3.466	0.008	236.0	1.61	165.0	0.495	0.506	0.494	0.583
9.207	Klf2	1	0.466	0.433	0.06	46.0	13772.0	0.513	1.636	0.141	19.0	0.67	12.0	0.395	0.58	0.42	0.591
6.369	Kdr	1	0.718	0.476	0.118	291.0	403543.0	0.862	2.132	0.011	519.0	1.8	53.0	0.555	0.438	0.562	0.51
-0.274	Lif	1	0.756	0.662	0.109	236.0	21137.0	0.723	2.07	0.028	605.0	0.74	29.0	0.448	0.56	0.44	0.531
0.054	Myod1	1	0.922	0.475	0.0	200.0	135487.0	0.274	2.435	0.122	323.0	0.84	14.0	0.419	0.562	0.438	0.557
5.21	Cdo1	1	0.693	0.53	0.116	254.0	130686.0	0.286	2.279	0.047	567.0	1.71	19.0	0.576	0.417	0.583	0.483
3.246	Nectin2	1	0.449	0.0	0.0	272.0	34135.0	0.543	3.346	0.019	462.0	0.94	47.0	0.483	0.511	0.489	0.565
6.647	Trim28	1	0.249	0.284	0.096	0.0	921.0	0.08	2.639	0.028	276.0	1.68	61.0	0.522	0.477	0.523	0.448
5.281	Gfap	1	0.865	0.894	0.278	15.0	11963.0	0.403	1.894	0.041	229.0	1.66	17.0	0.491	0.493	0.507	0.552
0.514	Nfatc1	1	0.581	0.599	0.087	293.0	243363.0	0.66	3.445	0.003	418.0	1.61	168.0	0.491	0.507	0.493	0.575
4.569	Nes	1	0.579	0.645	0.12	111.0	22427.0	0.741	2.267	0.034	79.0	1.03	14.0	0.453	0.531	0.469	0.553
5.186	Pdgfra	1	0.69	0.492	0.08	166.0	76705.0	0.93	3.201	0.014	1367.0	2.01	76.0	0.529	0.471	0.529	0.53
3.162	Ets1	1	0.584	0.594	0.107	83.0	94652.0	0.412	2.392	0.006	582.0	1.87	117.0	0.552	0.447	0.553	0.449
0.653	Msi1	1	0.696	0.677	0.06	150.0	80617.0	0.65	3.937	0.02	89.0	2.81	74.0	0.459	0.536	0.464	0.62
2.889	Tbx3	1	0.796	0.512	0.061	1348.0	1109950.0	0.931	2.587	0.033	1068.0	2.26	40.0	0.511	0.46	0.54	0.568
2.31	Nt5e	1	0.666	0.549	0.044	490.0	595936.0	0.882	3.24	0.016	83.0	1.28	39.0	0.555	0.441	0.559	0.48
6.75	Lmo2	1	0.514	0.418	0.082	270.0	160345.0	0.762	2.457	0.022	929.0	1.43	39.0	0.534	0.464	0.536	0.467
4.767	Ehf	1	0.838	0.685	0.0	229.0	229604.0	0.615	1.74	0.011	174.0	1.66	30.0	0.557	0.446	0.554	0.453
2.741	B4galnt1	1	0.531	0.483	0.06	298.0	44093.0	0.379	1.852	0.044	554.0	1.21	25.0	0.445	0.531	0.469	0.56
6.079	Cd164	1	0.19	0.208	0.15	122.0	28975.0	0.498	2.656	0.051	49.0	0.36	17.0	0.59	0.408	0.592	0.489
-4.074	Pax3	1	0.892	0.472	0.0	386.0	682046.0	0.85	4.46	0.005	773.0	2.62	103.0	0.575	0.423	0.577	0.526
3.818	Gad2	1	0.937	0.444	0.0	459.0	279903.0	1.125	3.295	0.01	248.0	2.48	47.0	0.587	0.41	0.59	0.546
4.402	Smc2	1	0.389	0.708	0.138	225.0	1222565.0	3.435	3.044	0.037	570.0	2.14	31.0	0.62	0.378	0.622	0.438
8.566	Klf4	1	0.601	0.641	0.092	596.0	182424.0	0.515	2.75	0.064	223.0	1.67	26.0	0.472	0.503	0.497	0.607
5.617	Klf4	1	0.601	0.641	0.092	596.0	182424.0	0.515	2.75	0.064	223.0	1.67	26.0	0.472	0.503	0.497	0.607
4.153	Myc	1	0.479	0.52	0.05	532.0	1066127.0	1.381	3.325	0.339	5786.0	1.22	22.0	0.47	0.528	0.472	0.542
6.86	Myc	1	0.479	0.52	0.05	532.0	1066127.0	1.381	3.325	0.339	5786.0	1.22	22.0	0.47	0.528	0.472	0.542
1.998	Tet1	1	0.494	0.716	0.144	296.0	106887.0	2.002	1.837	0.01	158.0	1.13	90.0	0.56	0.441	0.559	0.444
3.984	Ppig	1	0.155	0.501	0.074	241.0	10198.0	1.203	3.949	0.027	788.0	2.39	23.0	0.624	0.378	0.622	0.474
4.955	Anxa3	1	0.401	0.492	0.096	219.0	419430.0	0.192	3.718	0.008	513.0	1.22	43.0	0.566	0.433	0.567	0.462
0.49	Lef1	1	0.705	0.757	0.13	1002.0	380072.0	6.992	2.963	0.05	8529.0	2.47	163.0	0.538	0.461	0.539	0.554
1.223	Etv6	1	0.315	0.285	0.103	836.0	181937.0	1.141	3.841	0.004	706.0	1.92	277.0	0.544	0.455	0.545	0.519
6.227	Cd27	1	0.865	0.92	0.385	119.0	5150.0	0.7	2.188	0.358	524.0	0.34	5.0	0.493	0.493	0.507	0.484
4.46	Ascl1	1	0.857	0.754	0.0	573.0	435614.0	0.414	2.349	0.133	713.0	0.94	11.0	0.462	0.499	0.501	0.575
-0.689	Tcf12	1	0.323	0.353	0.104	296.0	340245.0	1.401	4.741	0.004	884.0	2.48	165.0	0.622	0.377	0.623	0.528
6.247	Rlbp1	1	0.91	0.712	0.0	501.0	113850.0	0.326	1.829	0.039	1384.0	1.49	14.0	0.517	0.473	0.527	0.498
4.265	Cbx4	1	0.385	0.411	0.139	205.0	45252.0	1.048	3.118	0.075	65.0	1.66	40.0	0.431	0.571	0.429	0.603
0.975	Erbb2	1	0.532	0.434	0.144	194.0	11979.0	0.731	2.983	0.017	81.0	1.77	52.0	0.464	0.527	0.473	0.528
6.102	Osr1	1	0.649	0.595	0.0	90.0	540089.0	0.063	2.678	0.048	292.0	0.99	20.0	0.5	0.495	0.505	0.458
3.078	Fip1l1	1	0.136	0.308	0.086	232.0	3699.0	1.075	2.783	0.01	1212.0	2.37	38.0	0.611	0.385	0.615	0.446
-1.546	Pdgfc	1	0.49	0.557	0.094	1022.0	122755.0	1.118	4.88	0.008	712.0	1.59	95.0	0.618	0.379	0.621	0.509
2.23	Prdm14	1	0.821	0.296	0.0	77.0	134513.0	0.337	2.549	0.032	100.0	1.16	25.0	0.537	0.454	0.546	0.522
9.612	Gsn	1	0.781	0.411	0.057	190.0	55259.0	0.364	1.802	0.007	293.0	1.87	53.0	0.498	0.499	0.501	0.525
2.666	Notch1	1	0.363	0.497	0.091	265.0	58606.0	1.5	1.76	0.01	104.0	1.99	78.0	0.456	0.536	0.464	0.576
2.217	Notch1	1	0.363	0.497	0.091	265.0	58606.0	1.5	1.76	0.01	104.0	1.99	78.0	0.456	0.536	0.464	0.576
-0.663	Zeb1	1	0.453	0.321	0.055	47.0	257056.0	0.931	6.001	0.008	116.0	2.43	130.0	0.595	0.404	0.596	0.571
5.613	Ina	1	0.924	0.68	0.0	58.0	253102.0	0.741	2.924	0.108	45.0	1.89	16.0	0.517	0.451	0.549	0.562
-0.787	Ptprj	1	0.541	0.339	0.063	61.0	181965.0	1.406	3.965	0.004	225.0	0.86	153.0	0.542	0.456	0.544	0.573
2.831	Ncam1	1	0.65	0.632	0.084	197.0	312700.0	1.273	3.099	0.003	1408.0	2.21	230.0	0.57	0.429	0.571	0.528
3.677	Itgb1	1	0.329	0.327	0.087	307.0	326370.0	0.816	3.198	0.019	209.0	2.21	29.0	0.608	0.387	0.613	0.475
3.923	Itgb1	1	0.329	0.327	0.087	307.0	326370.0	0.816	3.198	0.019	209.0	2.21	29.0	0.608	0.387	0.613	0.475
2.289	Foxo1	1	0.457	0.531	0.105	467.0	163259.0	1.582	3.677	0.009	240.0	0.98	102.0	0.557	0.438	0.562	0.596
1.308	Fli1	1	0.459	0.533	0.065	388.0	169103.0	0.787	4.069	0.005	323.0	2.15	110.0	0.544	0.456	0.544	0.57
5.374	Thy1	1	0.733	0.621	0.082	120.0	298740.0	0.292	2.191	0.188	139.0	0.5	9.0	0.461	0.529	0.471	0.518
-0.005	Wnt7a	1	0.888	0.548	0.0	255.0	198909.0	0.637	2.416	0.01	154.0	1.58	50.0	0.489	0.508	0.492	0.58
4.436	Pcgf6	1	0.292	0.402	0.047	86.0	35751.0	0.61	3.26	0.068	150.0	1.85	20.0	0.571	0.424	0.576	0.49
8.571	Ms4a1	1	0.791	0.664	0.0	211.0	33793.0	0.612	2.802	0.022	135.0	0.49	11.0	0.584	0.418	0.582	0.459
-2.414	Nrg1	1	0.619	0.636	0.0	60.0	966039.0	0.359	4.581	0.001	5524.0	2.18	619.0	0.605	0.394	0.606	0.544
1.776	Kit	1	0.427	0.459	0.095	137.0	422609.0	0.844	2.789	0.006	132.0	1.68	122.0	0.54	0.458	0.542	0.524
-2.529	Kit	1	0.427	0.459	0.095	137.0	422609.0	0.844	2.789	0.006	132.0	1.68	122.0	0.54	0.458	0.542	0.524
0.412	Erg	1	0.584	0.477	0.072	250.0	329036.0	0.365	2.604	0.003	782.0	1.86	239.0	0.541	0.459	0.541	0.5
3.835	Grhl3	1	0.895	0.868	0.0	207.0	77644.0	0.426	3.498	0.016	214.0	1.53	43.0	0.476	0.524	0.476	0.513
6.3	Cd1d1	1	0.411	0.643	0.109	190.0	12856.0	0.414	1.807	0.115	251.0	0.07	4.0	0.529	0.464	0.536	0.468
5.837	F11r	1	0.432	0.371	0.181	107.0	18502.0	0.552	3.672	0.018	108.0	0.68	36.0	0.535	0.461	0.539	0.489
1.411	Runx1	1	0.412	0.712	0.156	276.0	328016.0	1.163	3.606	0.002	1245.0	2.39	288.0	0.528	0.473	0.527	0.478
7.063	S100b	1	0.921	0.823	0.122	116.0	15987.0	0.303	2.137	0.065	186.0	0.4	9.0	0.529	0.467	0.533	0.461
4.457	Nacc1	1	0.233	0.309	0.096	238.0	25048.0	0.662	2.591	0.059	79.0	1.62	26.0	0.493	0.483	0.517	0.563
2.737	Ikzf3	1	0.732	0.815	0.0	51.0	98967.0	0.623	2.865	0.008	138.0	1.63	91.0	0.559	0.438	0.562	0.438
2.314	Lemd2	1	0.225	0.336	0.134	52.0	36674.0	0.377	3.495	0.038	17.0	1.48	49.0	0.434	0.55	0.45	0.573
2.638	Tal1	1	0.626	0.668	0.093	196.0	56267.0	0.697	2.43	0.037	341.0	0.75	33.0	0.49	0.503	0.497	0.513
2.142	Alpl	1	0.596	0.612	0.082	245.0	131659.0	0.423	2.928	0.009	237.0	1.56	69.0	0.488	0.51	0.49	0.54
1.749	Gfi1	1	0.81	0.899	0.0	295.0	127917.0	0.349	2.197	0.032	623.0	1.46	32.0	0.47	0.513	0.487	0.562
1.244	Gfi1	1	0.81	0.899	0.0	295.0	127917.0	0.349	2.197	0.032	623.0	1.46	32.0	0.47	0.513	0.487	0.562
4.475	Vcam1	1	0.48	0.581	0.084	322.0	122227.0	0.675	2.947	0.022	426.0	0.62	19.0	0.601	0.39	0.61	0.403
5.913	Zfp281	1	0.194	0.478	0.102	167.0	156966.0	3.419	4.632	0.491	586.0	1.99	12.0	0.553	0.818	0.182	0.504
1.895	Ddr2	1	0.699	0.605	0.085	480.0	141320.0	1.171	1.81	0.004	693.0	2.13	103.0	0.569	0.429	0.571	0.496
8.765	Elf3	1	0.826	0.55	0.0	230.0	90887.0	0.245	2.151	0.067	299.0	1.07	9.0	0.453	0.535	0.465	0.512
1.112	Tgfbr2	1	0.609	0.411	0.077	229.0	265811.0	1.555	2.599	0.005	506.0	1.7	102.0	0.532	0.465	0.535	0.525
2.261	Ebf1	1	0.511	0.634	0.08	863.0	98353.0	1.46	4.351	0.002	42.0	3.41	321.0	0.576	0.424	0.576	0.488
-4.97	Tert	1	0.684	0.614	0.083	115.0	22910.0	0.598	2.261	0.014	77.0	0.57	36.0	0.503	0.488	0.512	0.532
14.23	Fabp7	1	0.886	0.688	0.0	129.0	152830.0	0.163	2.921	0.106	178.0	1.27	3.0	0.616	0.375	0.625	0.42
9.77	Col1a2	1	0.66	0.445	0.079	348.0	418520.0	1.026	2.906	0.015	111.0	1.6	33.0	0.594	0.38	0.62	0.466
4.57	Nos3	1	0.66	0.584	0.117	29.0	13205.0	0.717	1.758	0.023	22.0	1.79	26.0	0.482	0.501	0.499	0.539
0.08	Aldh1a1	1	0.72	0.54	0.094	357.0	101770.0	0.458	1.885	0.003	617.0	1.53	87.0	0.615	0.384	0.616	0.409
2.924	Gfi1b	1	0.739	0.6	0.0	157.0	38703.0	0.203	3.012	0.055	271.0	1.04	15.0	0.481	0.51	0.49	0.501
0.706	Rbfox3	1	0.794	0.789	0.208	484.0	434769.0	0.23	2.912	0.001	2152.0	1.93	485.0	0.481	0.519	0.481	0.518
