symbol	Geneid	cardiomyocytes_probability	cardiomyocytes_distance	cardiomyocytes_p_value	cardiomyocytes_FDR	cardiomyocytes_rank	endothelial cells_probability	endothelial cells_distance	endothelial cells_p_value	endothelial cells_FDR	endothelial cells_rank	fibroblasts_probability	fibroblasts_distance	fibroblasts_p_value	fibroblasts_FDR	fibroblasts_rank	cardiomyocytes_exp	endothelial cells_exp	fibroblasts_exp
MEX3B	ENSG00000183496	1.0	11.078	0.0	0.0	13	1.0	9.198	0.0	0.0	36	1.0	11.374	0.0	0.0	9	2.98	-0.767	3.404
ZNF75A	ENSG00000162086	1.0	11.03	0.0	0.0	14	1.0	11.672	0.0	0.0	5	1.0	11.034	0.0	0.0	13	5.108	6.068	4.61
MYH7	ENSG00000092054	1.0	10.936	0.0	0.0	15	1.0	9.106	0.0	0.0	40	1.0	10.586	0.0	0.0	19	10.967	6.504	8.723
CMYA5	ENSG00000164309	1.0	10.857	0.0	0.0	16	1.0	8.987	0.0	0.0	47	1.0	10.355	0.0	0.0	25	8.376	4.098	6.367
CELF2	ENSG00000048740	1.0	10.738	0.0	0.0	17	1.0	10.012	0.0	0.0	20	1.0	10.752	0.0	0.0	17	3.15	1.641	3.052
CACNA1C	ENSG00000151067	1.0	10.705	0.0	0.0	18	1.0	8.253	0.0	0.0	65	1.0	8.985	0.0	0.0	62	-0.278	-4.81	-2.768
NFIB	ENSG00000147862	1.0	10.555	0.0	0.0	19	1.0	11.017	0.0	0.0	10	1.0	10.53	0.0	0.0	21	3.184	3.99	3.011
TPM1	ENSG00000140416	1.0	10.424	0.0	0.0	20	1.0	9.705	0.0	0.0	29	1.0	10.963	0.0	0.0	15	13.721	11.146	12.514
ANKRD1	ENSG00000148677	1.0	10.325	0.0	0.0	21	1.0	9.177	0.0	0.0	37	1.0	10.572	0.0	0.0	20	13.09	9.741	11.491
MAB21L2	ENSG00000181541	1.0	10.297	0.0	0.0	22	0.981	3.921	0.002	0.029	941	1.0	8.577	0.0	0.0	85	2.561	-9.921	-0.478
HOXA2	ENSG00000105996	1.0	10.281	0.0	0.0	23	1.0	12.83	0.0	0.0	2	0.999	7.288	0.0	0.0	166	-2.484	2.975	-6.795
NR2F2	ENSG00000185551	1.0	10.236	0.0	0.0	24	1.0	11.211	0.0	0.0	9	1.0	10.844	0.0	0.0	16	5.688	7.239	6.143
IRX5	ENSG00000176842	1.0	10.2	0.0	0.0	25	1.0	11.259	0.0	0.0	8	1.0	8.053	0.0	0.0	111	2.882	4.885	-0.964
FAT4	ENSG00000196159	1.0	10.121	0.0	0.0	26	1.0	10.702	0.0	0.0	12	1.0	10.522	0.0	0.0	22	-0.871	0.576	0.481
HSPB3	ENSG00000169271	1.0	10.05	0.0	0.0	27	1.0	9.089	0.0	0.0	44	1.0	10.355	0.0	0.0	26	12.248	9.351	10.912
BCL11A	ENSG00000119866	1.0	9.978	0.0	0.0	28	0.998	6.046	0.0	0.0	281	0.996	5.508	0.0	0.0	426	0.725	-6.797	-6.795
SPEG	ENSG00000072195	1.0	9.972	0.0	0.0	29	1.0	7.634	0.0	0.0	109	1.0	8.743	0.0	0.0	75	3.342	-1.335	1.024
KLHL41	ENSG00000239474	1.0	9.921	0.0	0.0	30	0.999	7.458	0.0	0.0	120	1.0	9.551	0.0	0.0	40	6.142	0.935	4.792
MEIS1	ENSG00000143995	1.0	9.914	0.0	0.0	31	1.0	8.451	0.0	0.0	57	1.0	8.375	0.0	0.0	95	0.867	-1.848	-1.527
HSPB7	ENSG00000173641	1.0	9.826	0.0	0.0	32	1.0	8.319	0.0	0.0	61	1.0	9.49	0.0	0.0	42	9.365	5.696	7.455
NR4A3	ENSG00000119508	1.0	9.786	0.0	0.0	33	0.999	7.19	0.0	0.0	141	1.0	9.106	0.0	0.0	57	5.995	0.543	4.129
NPPA	ENSG00000175206	1.0	9.738	0.0	0.0	34	1.0	10.126	0.0	0.0	18	1.0	11.166	0.0	0.0	11	15.579	14.976	15.579
IKZF3	ENSG00000161405	1.0	9.712	0.0	0.0	35	1.0	9.097	0.0	0.0	41	1.0	9.438	0.0	0.0	44	-1.458	-2.279	-1.177
SNAP25	ENSG00000132639	1.0	9.699	0.0	0.0	36	1.0	8.879	0.0	0.0	49	0.996	5.549	0.0	0.0	421	0.031	-1.344	-6.795
FOXL1	ENSG00000176678	1.0	9.698	0.0	0.0	37	1.0	10.411	0.0	0.0	16	1.0	9.959	0.0	0.0	31	-2.871	-0.958	-1.385
MAPK10	ENSG00000109339	1.0	9.648	0.0	0.0	38	1.0	10.118	0.0	0.0	19	1.0	11.963	0.0	0.0	5	-5.626	-3.904	0.009
ADRB1	ENSG00000043591	1.0	9.597	0.0	0.0	39	0.999	7.289	0.0	0.0	134	1.0	7.902	0.0	0.0	122	7.924	2.837	3.903
EGR1	ENSG00000120738	1.0	9.597	0.0	0.0	40	1.0	9.927	0.0	0.0	23	1.0	10.404	0.0	0.0	24	9.706	9.589	9.741
ETV1	ENSG00000006468	1.0	9.508	0.0	0.0	41	1.0	8.12	0.0	0.0	70	1.0	8.932	0.0	0.0	66	3.493	0.656	2.29
MEF2C	ENSG00000081189	1.0	9.454	0.0	0.0	42	1.0	9.88	0.0	0.0	24	1.0	8.899	0.0	0.0	68	2.718	3.502	1.701
FZD7	ENSG00000155760	1.0	9.39	0.0	0.0	43	0.999	6.737	0.0	0.0	183	1.0	9.514	0.0	0.0	41	5.474	-0.037	5.119
PPARGC1A	ENSG00000109819	1.0	9.32	0.0	0.0	44	0.998	6.253	0.0	0.0	247	0.999	7.508	0.0	0.0	148	3.642	-2.49	0.235
PCDH7	ENSG00000169851	1.0	9.274	0.0	0.0	45	1.0	8.709	0.0	0.0	52	1.0	7.732	0.0	0.0	132	0.924	-0.042	-1.486
FZD1	ENSG00000157240	1.0	9.26	0.0	0.0	46	1.0	8.308	0.0	0.0	62	1.0	9.047	0.0	0.0	60	5.349	3.171	4.424
MYL2	ENSG00000111245	1.0	9.242	0.0	0.0	47	1.0	8.006	0.0	0.0	79	1.0	9.385	0.0	0.0	47	12.907	9.405	11.16
EGR2	ENSG00000122877	1.0	9.213	0.0	0.0	48	1.0	7.93	0.0	0.0	82	1.0	9.759	0.0	0.0	35	4.453	1.721	5.034
LDB3	ENSG00000122367	1.0	9.12	0.0	0.0	49	0.999	6.927	0.0	0.0	162	1.0	8.353	0.0	0.0	99	7.745	2.901	5.391
ANK2	ENSG00000145362	1.0	9.108	0.0	0.0	50	0.999	6.741	0.0	0.0	182	1.0	8.304	0.0	0.0	101	3.146	-1.564	1.61
TCF4	ENSG00000196628	1.0	9.089	0.0	0.0	51	1.0	10.823	0.0	0.0	11	1.0	10.432	0.0	0.0	23	-0.14	3.489	2.726
ZNF462	ENSG00000148143	1.0	9.071	0.0	0.0	52	1.0	8.671	0.0	0.0	54	1.0	8.45	0.0	0.0	92	1.319	0.63	0.454
LMOD2	ENSG00000170807	1.0	9.049	0.0	0.0	53	0.999	6.97	0.0	0.0	159	1.0	8.769	0.0	0.0	73	9.985	5.135	8.055
TCAP	ENSG00000173991	1.0	9.042	0.0	0.0	54	1.0	8.178	0.0	0.0	66	1.0	9.364	0.0	0.0	49	12.401	9.677	11.065
GPR22	ENSG00000172209	1.0	9.024	0.0	0.0	55	0.999	6.607	0.0	0.0	202	1.0	8.357	0.0	0.0	98	6.85	1.662	4.842
ZFHX4	ENSG00000091656	1.0	9.013	0.0	0.0	56	0.999	7.549	0.0	0.0	114	1.0	9.705	0.0	0.0	36	-5.091	-7.198	-2.418
PTPRQ	ENSG00000139304	1.0	9.001	0.0	0.0	57	0.994	5.102	0.0	0.001	454	1.0	7.983	0.0	0.0	115	-2.819	-9.921	-3.588
EGR3	ENSG00000179388	1.0	8.999	0.0	0.0	58	1.0	8.473	0.0	0.0	56	1.0	9.058	0.0	0.0	58	5.857	4.46	5.313
ZEB2	ENSG00000169554	1.0	8.985	0.0	0.0	59	1.0	8.161	0.0	0.0	67	1.0	9.145	0.0	0.0	55	3.059	1.367	3.23
TNNT2	ENSG00000118194	1.0	8.932	0.0	0.0	60	0.999	7.566	0.0	0.0	113	1.0	8.692	0.0	0.0	76	9.559	6.145	7.781
BDNF	ENSG00000176697	1.0	8.914	0.0	0.0	61	0.996	5.492	0.0	0.0	364	1.0	9.183	0.0	0.0	54	3.833	-3.01	4.051
CKM	ENSG00000104879	1.0	8.91	0.0	0.0	62	1.0	7.841	0.0	0.0	91	1.0	8.961	0.0	0.0	64	10.365	7.448	8.944
SPRTN	ENSG00000010072	1.0	8.787	0.0	0.0	63	1.0	9.816	0.0	0.0	25	1.0	9.847	0.0	0.0	33	1.814	3.867	3.807
COX6A2	ENSG00000156885	1.0	8.784	0.0	0.0	64	1.0	8.298	0.0	0.0	63	1.0	9.909	0.0	0.0	32	14.976	12.726	14.558
DES	ENSG00000175084	1.0	8.726	0.0	0.0	65	0.999	6.965	0.0	0.0	160	1.0	8.374	0.0	0.0	96	9.496	5.316	7.534
MYF6	ENSG00000111046	1.0	8.669	0.0	0.0	66	1.0	9.227	0.0	0.0	35	0.992	4.794	0.0	0.002	645	-0.571	0.807	-6.795
HRC	ENSG00000130528	1.0	8.661	0.0	0.0	67	0.999	6.666	0.0	0.0	193	1.0	8.565	0.0	0.0	86	11.443	6.608	9.555
FOS	ENSG00000170345	1.0	8.649	0.0	0.0	68	1.0	9.471	0.0	0.0	31	1.0	9.772	0.0	0.0	34	10.856	11.581	11.225
NRAP	ENSG00000197893	1.0	8.597	0.0	0.0	69	0.999	6.592	0.0	0.0	205	1.0	7.838	0.0	0.0	125	6.404	2.065	4.316
FSBP	ENSG00000265817	1.0	8.572	0.0	0.0	70	0.999	7.249	0.0	0.0	136	1.0	8.691	0.0	0.0	78	2.45	-0.154	2.666
RBM24	ENSG00000112183	1.0	8.518	0.0	0.0	71	0.997	5.658	0.0	0.0	334	0.999	7.407	0.0	0.0	157	7.288	1.189	4.416
SLC25A4	ENSG00000151729	1.0	8.493	0.0	0.0	72	1.0	7.663	0.0	0.0	107	1.0	8.755	0.0	0.0	74	12.006	9.388	10.64
MYL7	ENSG00000106631	1.0	8.464	0.0	0.0	73	1.0	8.06	0.0	0.0	75	1.0	9.44	0.0	0.0	43	14.263	12.248	13.721
ARL4C	ENSG00000188042	1.0	8.446	0.0	0.0	74	1.0	8.486	0.0	0.0	55	1.0	7.607	0.0	0.0	141	5.062	4.853	3.092
LRP1	ENSG00000123384	1.0	8.427	0.0	0.0	75	1.0	7.974	0.0	0.0	81	1.0	10.056	0.0	0.0	30	-0.233	-0.868	3.154
CRYAB	ENSG00000109846	1.0	8.41	0.0	0.0	76	1.0	7.741	0.0	0.0	101	1.0	8.92	0.0	0.0	67	12.789	10.407	11.709
DLX1	ENSG00000144355	1.0	8.408	0.0	0.0	77	0.994	5.05	0.0	0.001	464	0.998	6.111	0.0	0.0	315	-4.001	-9.921	-6.795
POU3F2	ENSG00000184486	1.0	8.315	0.0	0.0	78	0.988	4.428	0.0	0.007	696	0.996	5.49	0.0	0.0	432	-2.853	-9.921	-6.795
HAND2	ENSG00000164107	1.0	8.281	0.0	0.0	79	1.0	7.75	0.0	0.0	99	1.0	8.832	0.0	0.0	70	8.01	6.384	7.92
ENO3	ENSG00000108515	1.0	8.272	0.0	0.0	80	0.998	6.249	0.0	0.0	248	1.0	8.202	0.0	0.0	104	9.632	4.929	8.139
TECRL	ENSG00000205678	1.0	8.242	0.0	0.0	81	0.997	5.662	0.0	0.0	331	0.999	7.444	0.0	0.0	152	7.114	1.579	4.825
PAPPA	ENSG00000182752	1.0	8.236	0.0	0.0	82	1.0	7.81	0.0	0.0	96	1.0	10.229	0.0	0.0	27	-4.767	-4.884	0.125
VEGFA	ENSG00000112715	1.0	8.18	0.0	0.0	83	0.999	7.52	0.0	0.0	116	1.0	8.144	0.0	0.0	107	6.985	5.211	6.058
ANK3	ENSG00000151150	1.0	8.177	0.0	0.0	84	0.996	5.524	0.0	0.0	359	0.999	7.268	0.0	0.0	168	2.888	-2.359	1.205
ACTN2	ENSG00000077522	1.0	8.136	0.0	0.0	85	0.997	5.842	0.0	0.0	312	0.999	7.526	0.0	0.0	146	7.527	2.51	5.488
KCNMA1	ENSG00000156113	1.0	8.13	0.0	0.0	86	0.999	7.167	0.0	0.0	143	1.0	8.86	0.0	0.0	69	-6.524	-7.509	-3.508
SHCBP1	ENSG00000171241	1.0	8.123	0.0	0.0	87	0.995	5.38	0.0	0.0	385	0.989	4.478	0.0	0.005	772	-1.076	-6.09	-6.795
SOX9	ENSG00000125398	1.0	8.109	0.0	0.0	88	1.0	7.903	0.0	0.0	86	1.0	10.085	0.0	0.0	29	3.941	3.365	7.138
FZD2	ENSG00000180340	1.0	8.101	0.0	0.0	89	0.999	6.913	0.0	0.0	164	1.0	8.362	0.0	0.0	97	2.592	0.237	3.031
PPP1R3A	ENSG00000154415	1.0	8.086	0.0	0.0	90	0.996	5.58	0.0	0.0	347	0.999	7.014	0.0	0.0	190	5.498	0.273	3.036
KCNA5	ENSG00000130037	1.0	8.071	0.0	0.0	91	0.999	6.833	0.0	0.0	172	1.0	8.326	0.0	0.0	100	6.785	3.904	6.408
PCDH10	ENSG00000138650	1.0	8.056	0.0	0.0	92	0.999	7.426	0.0	0.0	121	1.0	9.579	0.0	0.0	39	-3.98	-4.576	-0.062
RBFOX1	ENSG00000078328	1.0	8.034	0.0	0.0	93	0.995	5.3	0.0	0.0	406	0.998	6.361	0.0	0.0	272	-0.608	-5.656	-2.951
TRIL	ENSG00000255690	1.0	7.988	0.0	0.0	94	1.0	7.707	0.0	0.0	106	1.0	9.117	0.0	0.0	56	2.145	1.605	4.192
BHLHE41	ENSG00000123095	1.0	7.988	0.0	0.0	95	0.999	6.649	0.0	0.0	194	1.0	7.608	0.0	0.0	140	7.068	3.962	5.52
FHL1	ENSG00000022267	1.0	7.985	0.0	0.0	96	0.999	6.918	0.0	0.0	163	1.0	7.997	0.0	0.0	114	7.585	4.957	6.631
MYBPC3	ENSG00000134571	1.0	7.966	0.0	0.0	97	0.997	5.779	0.0	0.0	321	0.999	7.52	0.0	0.0	147	9.136	4.163	7.078
ANK1	ENSG00000029534	1.0	7.954	0.0	0.0	98	0.998	6.198	0.0	0.0	255	0.998	6.342	0.0	0.0	275	2.692	-0.784	-0.184
MB	ENSG00000198125	1.0	7.95	0.0	0.0	99	0.998	6.358	0.0	0.0	229	1.0	7.909	0.0	0.0	121	10.032	6.129	8.513
LRRC10	ENSG00000198812	1.0	7.946	0.0	0.0	100	0.994	5.11	0.0	0.001	453	1.0	7.917	0.0	0.0	120	7.189	1.147	6.235
TPM2	ENSG00000198467	1.0	7.921	0.0	0.0	101	0.999	7.204	0.0	0.0	140	1.0	8.102	0.0	0.0	109	9.882	7.701	8.78
HOXB5	ENSG00000120075	1.0	7.844	0.0	0.0	102	1.0	9.075	0.0	0.0	45	0.994	5.049	0.0	0.001	558	-2.918	0.012	-6.795
KBTBD13	ENSG00000234438	1.0	7.841	0.0	0.0	103	0.644	0.594	0.658	1.0	5499	0.999	6.819	0.0	0.0	209	4.455	-9.921	2.28
PCDH9	ENSG00000184226	1.0	7.818	0.0	0.0	104	0.997	5.877	0.0	0.0	308	1.0	8.825	0.0	0.0	71	6.155	1.966	7.218
PCDH17	ENSG00000118946	1.0	7.815	0.0	0.0	105	1.0	9.437	0.0	0.0	32	1.0	8.942	0.0	0.0	65	-1.101	2.408	1.568
EPHA7	ENSG00000135333	1.0	7.801	0.0	0.0	106	0.993	4.934	0.0	0.001	499	0.999	6.811	0.0	0.0	210	1.071	-4.407	-0.396
ABRA	ENSG00000174429	1.0	7.8	0.0	0.0	107	0.991	4.7	0.0	0.003	586	0.999	6.891	0.0	0.0	200	7.371	0.794	4.837
MYL3	ENSG00000160808	1.0	7.79	0.0	0.0	108	0.997	5.666	0.0	0.0	329	0.999	7.254	0.0	0.0	173	8.704	3.897	6.569
VCAN	ENSG00000038427	1.0	7.789	0.0	0.0	109	1.0	9.271	0.0	0.0	34	1.0	11.108	0.0	0.0	12	0.013	3.134	6.322
DUSP6	ENSG00000139318	1.0	7.742	0.0	0.0	110	1.0	9.387	0.0	0.0	33	1.0	8.517	0.0	0.0	88	4.804	7.754	5.721
GATA6	ENSG00000141448	1.0	7.734	0.0	0.0	111	0.999	7.096	0.0	0.0	147	0.999	7.227	0.0	0.0	174	5.016	3.487	3.641
HNRNPL	ENSG00000104824	1.0	7.724	0.0	0.0	112	1.0	7.896	0.0	0.0	87	1.0	8.12	0.0	0.0	108	5.833	5.8	5.885
ESRRG	ENSG00000196482	1.0	7.703	0.0	0.0	113	0.995	5.381	0.0	0.0	384	0.998	6.315	0.0	0.0	277	1.622	-2.848	-0.651
GRIN2A	ENSG00000183454	1.0	7.692	0.0	0.0	114	0.984	4.149	0.001	0.016	823	0.999	6.845	0.0	0.0	205	-0.942	-7.534	-1.776
FOSB	ENSG00000125740	1.0	7.688	0.0	0.0	115	1.0	7.708	0.0	0.0	105	1.0	8.155	0.0	0.0	106	6.842	6.414	6.829
JUNB	ENSG00000171223	1.0	7.687	0.0	0.0	116	1.0	8.267	0.0	0.0	64	1.0	8.447	0.0	0.0	93	10.158	10.481	10.023
CAVIN4	ENSG00000170681	1.0	7.663	0.0	0.0	117	0.998	6.134	0.0	0.0	267	0.999	6.784	0.0	0.0	213	6.945	3.48	4.545
KCNIP2	ENSG00000120049	1.0	7.624	0.0	0.0	118	0.998	6.05	0.0	0.0	279	0.999	6.857	0.0	0.0	203	5.799	2.362	3.815
CAMK2A	ENSG00000070808	1.0	7.605	0.0	0.0	119	0.986	4.244	0.001	0.012	775	0.999	6.902	0.0	0.0	197	0.994	-5.441	0.044
SYNPO2L	ENSG00000166317	1.0	7.604	0.0	0.0	120	0.996	5.524	0.0	0.0	358	0.999	7.082	0.0	0.0	182	8.663	3.948	6.56
TNNC1	ENSG00000114854	0.999	7.57	0.0	0.0	121	0.998	6.1	0.0	0.0	271	1.0	7.773	0.0	0.0	128	11.546	7.727	10.166
MAP1B	ENSG00000131711	0.999	7.566	0.0	0.0	122	0.999	6.775	0.0	0.0	178	0.999	7.559	0.0	0.0	145	5.713	3.813	5.084
RUNX1T1	ENSG00000079102	0.999	7.557	0.0	0.0	123	1.0	8.104	0.0	0.0	74	0.999	7.263	0.0	0.0	170	2.068	3.155	1.634
KCNJ3	ENSG00000162989	0.999	7.548	0.0	0.0	124	0.993	4.964	0.0	0.001	491	0.999	6.581	0.0	0.0	240	2.652	-2.435	0.92
ZBTB18	ENSG00000179456	0.999	7.518	0.0	0.0	125	0.999	7.5	0.0	0.0	118	0.999	7.266	0.0	0.0	169	5.269	4.925	4.291
PAQR9	ENSG00000188582	0.999	7.51	0.0	0.0	126	0.989	4.542	0.0	0.005	643	0.997	5.889	0.0	0.0	356	4.12	-1.868	0.955
FOXP1	ENSG00000114861	0.999	7.505	0.0	0.0	127	1.0	8.448	0.0	0.0	58	1.0	7.849	0.0	0.0	123	-0.454	1.663	0.718
ZNF106	ENSG00000103994	0.999	7.503	0.0	0.0	128	0.998	6.152	0.0	0.0	265	0.999	7.26	0.0	0.0	171	8.523	5.244	6.936
RYR2	ENSG00000198626	0.999	7.498	0.0	0.0	129	0.988	4.371	0.0	0.008	725	0.998	6.29	0.0	0.0	281	4.892	-1.487	2.306
SOX11	ENSG00000176887	0.999	7.481	0.0	0.0	130	0.612	0.456	0.707	1.0	5828	0.995	5.205	0.0	0.0	507	3.97	-9.921	-0.316
ACTC1	ENSG00000159251	0.999	7.478	0.0	0.0	131	0.998	6.376	0.0	0.0	226	1.0	7.684	0.0	0.0	135	11.374	8.291	10.032
MAFB	ENSG00000204103	0.999	7.477	0.0	0.0	132	0.998	6.394	0.0	0.0	223	1.0	7.629	0.0	0.0	139	9.17	6.349	8.156
ARHGEF9	ENSG00000131089	0.999	7.472	0.0	0.0	133	0.998	6.271	0.0	0.0	242	0.999	6.672	0.0	0.0	230	2.194	-0.147	0.846
MEIS2	ENSG00000134138	0.999	7.47	0.0	0.0	134	0.999	6.672	0.0	0.0	191	1.0	7.667	0.0	0.0	136	0.145	-1.199	0.941
ACTA1	ENSG00000143632	0.999	7.47	0.0	0.0	135	0.999	6.831	0.0	0.0	173	1.0	7.785	0.0	0.0	127	11.693	9.483	10.481
KLF4	ENSG00000136826	0.999	7.462	0.0	0.0	136	1.0	9.109	0.0	0.0	39	1.0	8.498	0.0	0.0	90	7.067	9.79	8.007
IRX2	ENSG00000170561	0.999	7.452	0.0	0.0	137	1.0	7.909	0.0	0.0	84	1.0	8.962	0.0	0.0	63	-0.137	0.998	3.018
STC2	ENSG00000113739	0.999	7.42	0.0	0.0	138	0.994	5.069	0.0	0.001	459	0.999	6.837	0.0	0.0	207	4.824	-0.03	3.35
MUC5B	ENSG00000117983	0.999	7.391	0.0	0.0	139	0.998	6.315	0.0	0.0	234	0.999	7.371	0.0	0.0	161	-8.964	-9.921	-6.795
TBX3	ENSG00000135111	0.999	7.383	0.0	0.0	140	1.0	8.716	0.0	0.0	51	0.999	7.028	0.0	0.0	189	3.293	5.789	2.513
SCN5A	ENSG00000183873	0.999	7.382	0.0	0.0	141	0.992	4.781	0.0	0.002	557	0.996	5.56	0.0	0.0	419	2.787	-2.347	-0.474
XIRP2	ENSG00000163092	0.999	7.36	0.0	0.0	142	0.989	4.531	0.0	0.005	649	0.998	6.23	0.0	0.0	299	5.552	-0.309	2.974
NDRG4	ENSG00000103034	0.999	7.354	0.0	0.0	143	0.998	6.254	0.0	0.0	246	0.999	6.544	0.0	0.0	245	5.531	3.047	3.522
TBX5	ENSG00000089225	0.999	7.345	0.0	0.0	144	0.994	5.142	0.0	0.001	449	0.998	6.457	0.0	0.0	256	4.719	0.166	2.731
MYOM2	ENSG00000036448	0.999	7.341	0.0	0.0	145	0.989	4.476	0.0	0.006	679	0.998	6.339	0.0	0.0	276	5.803	-0.158	3.405
HMX3	ENSG00000188620	0.999	7.339	0.0	0.0	146	1.0	7.813	0.0	0.0	94	0.999	7.578	0.0	0.0	144	-2.236	-0.854	-0.911
CCND1	ENSG00000110092	0.999	7.309	0.0	0.0	147	1.0	7.908	0.0	0.0	85	0.999	7.069	0.0	0.0	183	5.716	6.531	4.675
CTNND1	ENSG00000198561	0.999	7.286	0.0	0.0	148	1.0	9.094	0.0	0.0	42	1.0	7.982	0.0	0.0	116	1.412	5.028	2.845
HES1	ENSG00000114315	0.999	7.281	0.0	0.0	149	1.0	9.175	0.0	0.0	38	1.0	9.198	0.0	0.0	53	8.416	11.483	10.65
MYL4	ENSG00000198336	0.999	7.242	0.0	0.0	150	0.997	5.916	0.0	0.0	300	0.999	7.254	0.0	0.0	172	9.741	6.388	8.372
SMPX	ENSG00000091482	0.999	7.24	0.0	0.0	151	0.996	5.44	0.0	0.0	370	0.999	6.715	0.0	0.0	224	7.26	3.235	5.421
MYBPC1	ENSG00000196091	0.999	7.223	0.0	0.0	152	0.986	4.236	0.001	0.012	777	0.998	5.997	0.0	0.0	337	3.409	-2.543	1.078
CEBPB	ENSG00000172216	0.999	7.223	0.0	0.0	153	0.999	6.593	0.0	0.0	204	0.999	6.98	0.0	0.0	193	7.695	5.909	6.27
CACNA1G	ENSG00000006283	0.999	7.215	0.0	0.0	154	0.99	4.628	0.0	0.004	613	0.995	5.211	0.0	0.0	504	-1.133	-5.84	-3.96
WFIKKN2	ENSG00000173714	0.999	7.19	0.0	0.0	155	0.905	2.256	0.105	0.672	2438	0.965	3.318	0.01	0.112	1430	-0.576	-9.921	-6.795
ZBTB20	ENSG00000181722	0.999	7.185	0.0	0.0	156	0.999	6.707	0.0	0.0	185	0.999	7.308	0.0	0.0	165	0.89	0.095	1.411
MYLK3	ENSG00000140795	0.999	7.177	0.0	0.0	157	0.995	5.285	0.0	0.0	408	0.998	6.4	0.0	0.0	264	5.59	1.557	3.63
TRIM2	ENSG00000109654	0.999	7.175	0.0	0.0	158	0.999	7.393	0.0	0.0	124	0.999	7.062	0.0	0.0	185	2.011	2.461	1.905
NEBL	ENSG00000078114	0.999	7.165	0.0	0.0	159	0.993	4.891	0.0	0.002	511	0.999	6.506	0.0	0.0	251	7.756	2.754	5.587
CCN1	ENSG00000142871	0.999	7.163	0.0	0.0	160	1.0	7.812	0.0	0.0	95	1.0	8.453	0.0	0.0	91	8.202	8.86	9.371
CCDC168	ENSG00000175820	0.999	7.135	0.0	0.0	161	0.829	1.577	0.282	1.0	3417	0.933	2.639	0.051	0.392	2022	0.792	-9.921	-6.795
FSIP2	ENSG00000188738	0.999	7.124	0.0	0.0	162	0.999	6.642	0.0	0.0	198	0.998	6.414	0.0	0.0	263	-1.734	-2.276	-2.178
COX7A1	ENSG00000161281	0.999	7.123	0.0	0.0	163	0.999	7.037	0.0	0.0	155	1.0	8.512	0.0	0.0	89	15.212	13.721	15.212
MYOZ2	ENSG00000172399	0.999	7.122	0.0	0.0	164	0.997	5.944	0.0	0.0	292	0.999	6.822	0.0	0.0	208	8.544	5.602	6.856
CAMK2B	ENSG00000058404	0.999	7.118	0.0	0.0	165	0.981	3.947	0.002	0.027	927	0.997	5.844	0.0	0.0	364	3.59	-2.736	1.14
PKHD1L1	ENSG00000205038	0.999	7.117	0.0	0.0	166	1.0	10.391	0.0	0.0	17	0.999	7.093	0.0	0.0	180	-4.127	2.909	-2.901
